Importers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015
World,1281534,1443000,2124084,3006633,3346528,4069983,4734165,6298492,6470049,7783538,9934143,9416348,9563053,12761893
Germany,212640,253599,490821,733763,839718,1005571,1128949,1172626,1269088,1580461,2166761,1981053,2040287,2521340
United Kingdom,139562,158806,257848,358631,358659,415195,546046,603216,716801,814629,1090156,1161532,1098454,1600929
United States of America,388664,393704,400665,464755,569411,679944,737565,830028,857751,1068001,1045098,1009263,1043109,1416047
France,146254,172313,248558,390811,388731,461659,564828,613810,696031,805659,1004528,764702,772319,983695
Spain,31267,58250,115507,190929,237980,294460,338928,382845,392924,471311,664935,634679,649680,957475
Italy,55362,70726,120740,189649,194330,245343,273522,333148,359936,430382,596563,521096,527202,769600
Belgium,64739,66745,97130,127193,136880,149171,157864,177595,139178,202099,356361,295104,311616,412497
Canada,31827,34030,77379,123062,158553,195073,194641,242637,283484,348305,425884,433732,384283,403292
Denmark,33945,38932,48763,63984,56499,80308,85075,110019,140671,213942,301620,337910,336869,398378
Australia,867,1027,541,2610,4859,4817,9411,17452,51738,82971,178992,254935,265781,389394
Poland,721,882,2203,1715,5593,15765,22535,34737,43002,54655,194319,209241,218460,348025
Netherlands,98048,93170,125516,159494,157689,202667,242664,452434,491392,638942,410664,303576,307193,341895
Japan,3208,2756,3505,5859,4005,4676,5155,8614,48377,60297,139700,177382,193295,316650
Sweden,30848,33770,52592,76588,81221,94224,106377,133570,113489,164641,219764,195780,198660,273154
China,105,10,169,289,300,886,1548,2789,7407,14201,40563,47094,55876,130679
Türkiye,288,138,1073,4140,11207,29008,50994,102769,340756,218556,216499,115178,154514,124225
Russian Federation,209,605,452,1117,3270,4153,5356,10644,9993,22541,49418,56198,82970,124224
Ireland,4995,8300,16663,27684,36987,46173,41908,42804,61657,91576,112113,137422,125313,121593
United Arab Emirates,692,1221,505,1401,1350,2821,8682,11558,65839,27878,44360,64213,67043,109747
Mexico,842,1592,4214,5852,10663,15435,22441,34800,35268,42260,56209,62627,61109,84633
Brazil,0,65,13,194,306,1813,6661,22020,28597,49291,77729,98782,78436,82671
"Korea, Republic of",285,329,127,1085,853,964,1609,1366,4408,9703,18633,26885,43378,72874
Norway,6004,9597,11787,7522,8408,9162,16610,19469,25873,41791,53941,53895,55699,71768
Malaysia,210,608,625,1245,1435,1681,2537,3219,4766,8010,18117,33016,41542,62244
Switzerland,7557,10939,12373,10839,10750,12823,22621,40057,53502,58782,68842,60112,55129,61049
Czech Republic,599,886,1599,1920,3947,7978,12070,16116,13336,19024,25739,31855,30513,53390
Slovakia,0,15,45,517,1471,9110,18060,19566,28327,31976,39433,38599,35985,45274
Singapore,617,701,1724,948,1135,1292,3620,7027,5372,5544,10393,12520,17385,39851
"Hong Kong, China",3507,1852,1584,3735,2297,4207,5555,8394,10847,13719,18863,24158,26429,38431
Saudi Arabia,352,473,630,2075,2717,3687,7404,32723,13144,20224,22430,19922,22337,37403
New Zealand,381,607,528,116,152,239,474,925,5855,10438,18928,23724,24645,36985
South Africa,167,173,286,703,1576,3133,8135,58919,16001,16843,22362,29381,21830,32949
Portugal,1856,3973,2899,4683,9614,11469,12768,18313,23843,27644,32117,20648,22942,32388
Austria,3415,4312,4919,8117,8401,11995,13456,18497,14737,18952,33895,30745,26948,27196
India,21,69,10,61,160,348,680,920,996,5121,12705,10600,14195,26793
Chile,52,225,48,277,339,916,1364,1992,5818,4456,12467,15309,18247,22143
Finland,8385,11276,12108,14642,13792,14690,17210,15898,14052,18947,34316,23305,22146,21332
Slovenia,0,0,24,597,964,1732,2120,2458,2689,3172,5009,6271,12992,19036
Greece,448,2612,3062,5019,6691,9776,14834,24987,25540,19302,21720,17225,11201,18094
Peru,0,0,0,955,3278,1560,1686,2747,2977,1930,4807,4109,5618,13776
"Taipei, Chinese",187,352,315,645,314,345,441,650,1937,3493,4218,2679,4875,13068
Philippines,0,0,5,9,16,140,187,169,433,772,824,1870,1530,9616
Croatia,0,2,14,170,365,230,505,651,1240,2142,3386,4977,6330,9049
Thailand,46,46,84,23,38,201,306,517,1004,2332,4455,6025,7020,8069
Romania,128,1,62,63,377,388,2460,8025,6171,3764,6233,5543,3713,7243
Lebanon,0,79,138,26,38,97,1007,1981,2509,1883,2509,3459,3331,7093
Malta,22,29,29,335,731,1373,1530,744,211,106,297,683,1079,4800
Ukraine,0,0,397,2675,845,936,1621,2800,1301,2474,4351,3259,4711,4479
Indonesia,38,23,42,12,24,237,239,216,132,114,269,1227,1008,4311
Kuwait,23,24,278,296,250,264,527,890,1037,1235,1492,2030,3732,4277
Hungary,685,845,1051,3346,3905,5874,3336,9166,12727,7100,4124,1955,4962,3938
Uruguay,17,10,12,26,2,7,1475,880,2070,2355,3709,2854,2304,3491
Colombia,0,0,0,0,18,65,383,440,557,291,1143,2944,4436,2922
Albania,0,0,0,0,9,16,6,0,0,30,123,448,1443,2750
Latvia,0,0,0,32,5,38,99,8,225,324,630,882,2025,2601
Panama,125,197,25,184,353,326,267,1090,557,1260,2060,3110,1738,2549
Myanmar,0,0,17,0,15,0,0,0,0,0,0,5,73,2464
Cyprus,356,296,491,806,963,656,805,577,641,980,999,1337,1719,1816
Jordan,39,59,35,16,145,88,292,865,1440,1516,1678,1953,2173,1679
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,1,122,255,37,1200
Qatar,17,118,73,35,36,49,149,1037,439,567,726,951,988,1169
Argentina,35,94,98,239,443,622,944,1330,1146,2355,3056,1373,1650,1066
Tunisia,0,0,31,2,0,0,6,12,21,29,14,906,1478,1043
Eswatini,60,247,317,508,327,377,461,6251,1515,1784,2301,1073,2683,974
Sri Lanka,24,34,14,118,93,50,141,1666,2165,2339,5474,5017,1984,970
"Macao, China",0,0,0,0,0,0,0,0,12,0,0,0,0,967
Lithuania,0,0,0,0,14,122,100,98,45,159,703,2321,1069,892
Morocco,0,36,14,71,18,87,17,94,129,189,834,371,571,862
Estonia,0,0,7,49,2,13,243,296,39,242,1637,1879,1280,832
Angola,0,0,0,0,0,0,85,44,26,51,659,885,534,786
Bulgaria,1,1,105,99,148,138,249,416,467,526,857,969,723,765
Uganda,0,1,0,0,0,0,5,0,6,10,18,585,582,675
Pakistan,2,1,2,5,31,40,86,82,119,209,269,503,694,668
Ghana,0,0,25,0,0,0,120,33,66,84,70,617,120,621
Kenya,1,0,0,0,0,0,103,113,23,7,34,0,34,613
Kazakhstan,0,0,0,0,0,0,0,0,12,82,175,266,410,571
Trinidad and Tobago,0,0,10,1,2,0,5,158,19,226,127,101,211,545
Bahrain,2,117,86,16,15,23,142,139,221,482,749,549,579,510
Algeria,0,23,0,0,36,10,119,361,205,202,338,795,608,437
Georgia,0,11,79,18,0,110,213,124,153,122,162,140,141,434
Syrian Arab Republic,0,57,107,95,6,0,4,0,0,50,67,0,0,430
Paraguay,0,0,0,0,2,127,12,198,116,50,159,193,487,409
Iraq,0,0,0,46,0,0,0,0,79,39,9,187,77,333
El Salvador,0,0,0,0,63,15,12,42,43,0,135,48,51,323
"Iran, Islamic Republic of",89,50,93,299,95,66,36,41,116,148,209,178,530,310
Seychelles,0,0,0,0,0,0,0,27,85,103,175,88,123,297
Nepal,9,2,0,37,33,1,54,30,106,69,66,101,153,277
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,5,20,30,257
Fiji,0,0,0,0,0,1,0,0,0,28,15,6,46,249
Viet Nam,22,283,0,0,0,3,9,20,1,36,168,360,66,225
Nigeria,0,0,0,5,0,24,280,38,4,67,63,271,743,209
Costa Rica,0,0,5,13,16,4,5,5,0,2,67,87,178,206
Yemen,0,98,15,0,2,2,0,3,6,65,0,114,122,204
"Libya, State of",2,1,0,0,0,0,108,127,57,136,53,394,332,178
"Venezuela, Bolivarian Republic of",166,0,0,23,25,146,138,550,689,418,1361,771,609,177
Mauritius,0,0,0,0,13,0,24,216,121,68,342,311,30,161
Cuba,0,0,0,0,0,0,0,86,0,0,0,1,0,156
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,1,0,2,7,66,142
Ecuador,0,0,0,0,1,0,4,12,132,4,70,82,160,140
Oman,33,2,5,22,2,4,152,2,46,101,112,574,406,103
Maldives,5,0,0,0,0,0,0,0,1,3,12,31,27,79
Mauritania,0,0,0,0,0,0,1,0,0,0,0,0,4,79
"Bolivia, Plurinational State of",0,0,0,0,2,9,10,28,7,5,27,42,23,77
"Moldova, Republic of",0,0,0,0,15,15,12,23,21,6,10,38,57,76
Sudan,0,0,0,0,0,0,0,0,0,0,0,45,1,67
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,135,171,51,63
Afghanistan,0,2,0,1,0,0,0,6,1,29,13,0,0,59
Bhutan,0,6,0,0,0,18,0,0,0,1,2,0,0,58
Bermuda,0,0,1,1,0,0,0,0,0,0,0,0,0,57
Zimbabwe,0,0,0,0,0,0,0,0,0,6,9,0,29,49
Côte d'Ivoire,0,0,11,0,0,0,0,0,90,0,0,0,94,48
Falkland Islands (Malvinas),0,0,0,0,0,16,0,0,0,0,0,0,7,46
Senegal,0,127,0,6,0,0,21,0,80,255,495,92,167,46
Israel,0,0,0,0,0,0,3,0,3,20,77,480,792,45
Belarus,0,0,22,0,0,0,0,0,11,0,7,83,344,42
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,6,40
Madagascar,0,0,0,0,0,0,0,0,22,50,0,7,23,33
Saint Kitts and Nevis,0,0,0,0,0,0,0,20,0,0,0,17,0,32
Niger,0,0,17,923,169,0,51,99,0,14,15,10,0,31
Tokelau,0,0,0,0,0,0,0,35,0,242,21,0,65,29
Tonga,0,0,0,0,11,1,0,0,0,0,0,21,9,26
Papua New Guinea,0,24,2,0,5,21,32,54,6,76,72,32,77,18
Somalia,0,0,0,0,0,0,0,0,0,4,101,2,5,17
Mongolia,0,0,0,0,0,0,116,0,0,0,19,47,27,13
Guatemala,0,0,0,0,0,0,0,5,110,84,0,30,19,12
Turkmenistan,0,0,0,0,0,0,0,0,4,0,0,0,0,7
Ethiopia,30,171,114,4,46,0,0,0,0,5,0,0,8,5
Namibia,0,0,0,0,0,3,0,63,0,144,0,0,0,4
French Polynesia,7,7,0,0,0,0,0,0,0,0,24,38,95,3
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,9,3
Sierra Leone,0,0,0,0,3,0,16,0,10,0,3,0,0,3
Botswana,0,0,0,0,0,153,29,131,0,0,0,0,0,2
Azerbaijan,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Christmas Island,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,6,0,0,0
