Importers,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,149623,67860,70016,49113,44510,60756,98636,90184,38984,24622,22277,24890
Pakistan,136330,65373,40982,43576,35585,42409,75050,77635,32667,20111,18059,16989
Germany,558,0,1104,454,446,0,12950,4198,2799,1861,1071,2950
United States of America,1442,12,130,1028,0,82,746,1250,1076,936,911,1725
Türkiye,369,161,24467,1386,2983,7437,5243,2586,1100,327,666,688
United Kingdom,39,1,14,144,0,520,1,40,135,122,89,644
Italy,0,0,0,1260,0,0,7,2262,11,14,152,490
United Arab Emirates,3826,248,592,783,3245,8163,3816,1520,465,434,424,320
China,23,0,446,86,0,18,397,104,65,110,149,286
Austria,0,0,0,0,0,0,0,51,0,37,0,191
Australia,11,0,0,17,14,0,5,69,66,16,24,155
Netherlands,0,0,0,0,0,0,0,0,5,34,25,119
France,0,0,0,0,0,28,0,0,111,37,17,74
Canada,0,119,0,64,16,0,0,261,99,131,141,42
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,38
Singapore,0,0,0,0,0,0,0,0,75,0,60,32
Sweden,0,0,0,0,0,0,0,3,17,6,0,26
Spain,26,0,0,0,0,0,3,0,46,46,31,22
Kuwait,0,0,0,0,0,0,0,0,0,6,11,21
Azerbaijan,0,0,0,0,0,0,0,0,0,0,11,16
Tajikistan,0,109,0,0,0,0,323,0,0,0,13,16
Kazakhstan,240,26,0,0,0,0,0,24,0,182,29,15
Portugal,0,0,0,0,0,0,0,0,0,0,0,8
Belgium,0,0,0,0,0,0,0,2,71,18,26,6
Lithuania,0,0,0,0,0,0,0,0,0,0,0,6
Russian Federation,4419,1301,276,157,1547,1670,68,45,13,4,1,4
India,206,123,1746,139,675,210,8,38,10,108,325,4
Nepal,0,0,0,0,0,0,0,0,0,0,0,2
Czech Republic,0,0,0,0,0,0,0,6,0,0,7,1
Turkmenistan,927,0,0,0,0,213,0,0,4,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,1,0,0
Brazil,1207,305,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,17,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,25,5,1,0,0
Finland,0,0,0,0,0,0,0,0,19,0,0,0
Hungary,0,0,0,0,0,0,0,0,5,18,10,0
"Iran, Islamic Republic of",0,81,0,18,0,0,0,3,0,0,14,0
Lebanon,0,0,0,0,0,0,2,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,1,0
New Zealand,0,0,0,0,0,0,0,0,39,0,0,0
Norway,0,0,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,0,0,260,0,0,0,0,4,0,0,7,0
Slovakia,0,0,0,0,0,0,0,1,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,4,0,0,0
South Africa,0,0,0,0,0,0,0,33,71,61,0,0
Eswatini,0,0,0,0,0,0,0,0,0,4,0,0
Switzerland,0,0,0,0,0,0,0,0,5,0,0,0
Uganda,0,0,0,0,0,0,0,25,0,0,0,0
Ukraine,0,0,0,0,0,0,0,2,0,0,0,0
Egypt,0,0,0,0,0,6,0,0,0,0,0,0
HHI,0.880059456,0.948782297,0.535585814,0.845755206,0.70074468,0.60183995,0.696645082,0.828154967,0.804429242,0.776945847,0.768764719,0.627449766
