Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,1,0.047810851,1,0.589098404
2,0,0,1,0,0,0,0,1,0,0.8149323,1,0
3,0,0,0,0,0,0,1,0,0,0,0,0
4,1,0.752738479,0.39664501,0.401008631,0.670500322,1,0.854513545,0.337116282,0.515010553,0.222334442,0.086889246,0.323221652
5,0.99907386,0.481565545,0.331750269,0.21039553,0.570337219,0.461071174,0.452308316,0.349599788,0.231955358,0.421653178,0.502201936,0.545985468
6,0,0,0,0,0,0,0,0,0,0,0.924048852,0.243781968
7,0.401768869,0.509539577,0.521473512,0.424463965,0.421777761,0.508116864,0.351835094,0.666721025,0.835315066,0.939506934,0.880010159,0.732078226
8,0.421482279,0.449946987,0.38152807,0.348809827,0.417262176,0.35187852,0.40610212,0.439662808,0.561755767,0.58127446,0.560932153,0.577677436
9,0.250414958,0.281985935,0.393624167,0.17605292,0.356951449,0.402194186,0.281070809,0.348363108,0.534782783,0.462012152,0.662693243,0.611513242
10,0,0.55351301,1,0,1,0,1,1,0.91623734,0.05553035,0.76964637,0.61103484
12,0.396984115,0.480045694,0.499383969,0.273531554,0.32011879,0.295532588,0.254606401,0.206740364,0.305909982,0.361184017,0.327492808,0.293921467
13,0.394497581,0.307124407,0.416703691,0.683120361,0.34754968,0.694761163,0.522937421,0.610716893,0.591064438,0.891031623,0.9227178,0.979599284
14,0,0,0,0,0,0,0,0,0,0,0,0.589143726
15,0.007132109,0.814881686,1,0.929178254,0,0.014856839,1,1,1,1,1,0
18,0,0,0,0,0,0,0,0,0,0.62138589,0.74866537,0.51418406
19,0,0,0,0,0,0,0,0,0,0,0,0.402516041
20,0.65486717,0,0,0,0,0,0,0,0,0.383322073,0.206122086,0.846623684
22,0,0,0,0,0,0,0.64874984,1,1,0.67248378,0.21754359,0.29442543
23,0,0,0,0,0,0,0,0,0,0,0,0.804359317
24,0,0,0,0,0,0,0,0,0,0.535784745,0.366425674,0.061348088
25,0,0.453315124,0.182204266,0.252556087,0.494203997,0.430484963,0.437955611,0.375191672,0.572409647,0.853862172,0.851073476,0.936445193
26,0,0,0,0,0,0,0.500041918,0.559070373,1,1,1,0
27,0,1,0,0,0.98190081,0.999764772,1,1,0.997779936,1,1,0.998571555
28,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,0,0,1,0,0,0,1
31,0,0,0,0,0,0,0,0,0,0,1,1
32,0,0,0,0,0,0,0,0,0,0,1,1
35,0,0,0,0,0,0,0,0,0,0.209417485,0.3285514,0.551400364
38,0,0,0,0,0,0,0,1,0,0.948986913,1,0
39,0,0,0,0,0,0,0,0,0,0.561367933,0.365150674,0.315550133
41,0.259690086,0.668011547,0.366399344,0.477583863,0.500064044,0.814373373,0.552542675,0.507472263,0.737531404,0.363533463,0.412093565,0.59550922
42,0.267702444,0.962533279,0.349994521,1,0.478983252,0.676893926,0.562256533,0.560731144,0.451562726,0.38936012,0.77634104,1
43,0,0,0,0,0,0,0,0,0,0,0,0.577414989
44,0,0,0,0,0,0,1,0,0,1,0.401219067,1
48,0,0,0,0,0,0,0,1,1,0.621349171,0.828556571,0.770719063
49,0,0,0,0,0,0,0,1,1,0.287169272,0.390292973,1
50,0,0,0,0,0,0,0,0,0,0,0,1
51,0.291886285,0.223938959,0.654764389,0.498351861,0.424388612,0.672334279,0.326370127,0.288784221,0.414771553,0.633031351,0.672798151,0.709159815
52,0.705097496,1,0.94436404,1,0.902009328,0.999436343,1,0.984151968,0.961365129,0.978600071,0.886373911,0.788305315
53,0,0,0,0,0,0,0.269408512,0.540936262,0.051130195,0.671150409,0.958288401,0
57,0.880059456,0.948782297,0.535585814,0.845755206,0.70074468,0.60183995,0.696645082,0.828154967,0.804429242,0.776945847,0.768764719,0.627449766
58,0,0,0,0,0,0,0,0,0,0,0.503112662,0.212705612
61,0,0,0,0,0,0,0,0,0,0.13059098,0,0
63,0,0,0,0,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,0,0,1,1,1
67,0,0,0,0,0,0,0,0,0,0,0,0.295494241
68,0.996188434,1,1,1,1,0.375665205,1,1,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0.04781085,1,0.5994606
71,0.593601901,1,0,0,0,0,0,0.166856715,0,1,0.48354672,0.096125885
73,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0.109450668,0,0,1,0.830129777
78,0,0,0,0,0,0,0,0,0,0.340919582,0.357430536,0.690288332
79,0,0,0,0,0,0,0,0,0,0.805433919,0.603553391,1
81,0,0,0,0,0,0,0,0,0,0,1,0
83,0,0,0,0,0,0,0,0,0,0.183223762,0.216356288,0.51364306
84,0,0,0,0,0,0,0,0,0,0.239431279,0.903181531,0.441927712
85,0,0,0,0,0,0,0,0,0,0.663316954,1,0.39352326
90,0,0,0,0,0,0,0,0,0,0,1,1
91,0,0,0,0,0,0,0,0,0,0.667114726,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0.107298258
94,0,0,0,0,0,0,0,0,0,1,0.613353053,0.801952089
95,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,0,0,0.445154908,0.789526325,0.175432786
97,0.419356645,0,0,0,0,0,0,0,0,0,0,0
99,0,0.361625312,0.721707578,0.887009376,0.811366763,0.433436434,0.524068767,0.269801448,0.451105868,0.436057874,0.342102513,0.603477729
