Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,1.68E-05,1.80E-05,3.43E-06,4.40E-05
2,0,0,0.002638461,0,0,0,0,0.000131255,0,0.000667126,0.000388464,0
3,0,0,0,0,0,0,1.93E-05,0,0,0,0,0
4,0.000327738,0.000389152,9.27E-05,0.000636086,0.001164715,4.74E-05,0.001365388,0.000211759,0.000336991,7.93E-05,7.77E-05,6.60E-05
5,0.00682324,0.000329664,0.003768495,0.000372271,0.001567886,0.00063361,0.001035872,0.00362965,0.006246909,0.005239642,0.004895794,0.005012543
6,0,0,0,0,0,0,0,0,0,0,0.000564416,0.00074783
7,0.006282565,0.029367367,0.041965692,0.022884429,0.040914351,0.052393493,0.02877655,0.0496968,0.057814923,0.077563296,0.101076161,0.093411574
8,0.522230616,0.506961365,0.350071045,0.356272479,0.309284123,0.295367752,0.432273975,0.379604659,0.37130211,0.507165893,0.45664337,0.447227647
9,0.00328108,0.017073128,0.042964446,0.015113631,0.026659035,0.021732384,0.047934041,0.072512491,0.051685374,0.048967037,0.050267298,0.065098231
10,0,3.72E-05,0.000139002,0,0.000176698,0,0.000210329,7.88E-05,0.056827422,0.001958104,0.010181196,0.010161686
12,0.02064007,0.101474565,0.086078191,0.085390841,0.141694561,0.049604748,0.066509621,0.098355807,0.108883319,0.070693703,0.043169824,0.050071021
13,0.042242985,0.07510144,0.10321918,0.07486758,0.085265607,0.090069568,0.104048137,0.143294161,0.143947154,0.1352811,0.122305742,0.133193569
14,0,0,0,0,0,0,0,0,0,0,0,8.10E-05
15,2.41E-05,0.001239339,0.000102964,0.002233628,1.49E-05,1.94E-05,0.000474994,0.000199508,0.000110654,4.81E-06,2.29E-06,0
18,0,0,0,0,0,0,0,0,0,0.006689289,0.00532082,0.000487363
19,0,0,0,0,0,0,0,0,0,0,0,0.000248891
20,0.002666341,0,0,0,0,0,0,0,0,0.000199537,0.000213655,0.002132357
22,0,0,0,0,0,0,0.000196307,0.000416517,0.000152568,0.000447155,0.000138248,0.000764037
23,0,0,0,0,0,0,0,0,0,0,0,0.000489678
24,0,0,0,0,0,0,0,0,0,0.000203143,0.000291348,4.86E-05
25,0,0.001380623,0.002751722,0.00336803,0.01559673,0.016529887,0.025094035,0.004912453,0.010931252,0.008235098,0.011989841,0.021998465
26,0,0,0,0,0,0,0.006916328,0.005738487,0.000313519,0.000146647,0.000109684,0
27,0,0.000976599,0,0,0.024344537,0.031277478,0.021769079,0.034504423,0.046395788,0.052344737,0.10213187,0.080513247
