Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,10,15,3,38
2,0,0,1025,0,0,0,0,75,0,555,340,0
3,0,0,0,0,0,0,11,0,0,0,0,0
4,177,157,36,217,468,22,779,121,201,66,68,57
5,3685,133,1464,127,630,294,591,2074,3726,4359,4285,4330
6,0,0,0,0,0,0,0,0,0,0,494,646
7,3393,11848,16303,7807,16440,24311,16418,28397,34484,64527,88466,80692
8,282039,204529,135997,121542,124275,137053,246627,216908,221465,421925,399673,386330
9,1772,6888,16691,5156,10712,10084,27348,41434,30828,40737,43996,56234
10,0,15,54,0,71,0,120,45,33895,1629,8911,8778
11,0,0,0,0,0,0,0,0,0,0,0,0
12,11147,40939,33440,29131,56935,23017,37946,56201,64944,58812,37784,43253
13,22814,30299,40099,25541,34261,41793,59363,81879,85858,112544,107047,115057
14,0,0,0,0,0,0,0,0,0,0,0,70
15,13,500,40,762,6,9,271,114,66,4,2,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,5565,4657,421
19,0,0,0,0,0,0,0,0,0,0,0,215
20,1440,0,0,0,0,0,0,0,0,166,187,1842
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,112,238,91,372,121,660
23,0,0,0,0,0,0,0,0,0,0,0,423
24,0,0,0,0,0,0,0,0,0,169,255,42
25,0,557,1069,1149,6267,7670,14317,2807,6520,6851,10494,19003
26,0,0,0,0,0,0,3946,3279,187,122,96,0
27,0,394,0,0,9782,14513,12420,19716,27673,43547,89390,69550
28,0,0,0,0,0,0,0,0,0,0,10,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,47,0,0,0,9
31,0,0,0,0,0,0,0,0,0,0,238,659
32,0,0,0,0,0,0,0,0,0,0,7,20
33,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,275,223,328
36,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,22,0,797,142,0
39,0,0,0,0,0,0,0,0,0,13,44,77
40,0,0,0,0,0,0,0,0,0,0,0,0
41,20882,5965,14676,15978,16826,15564,13432,9301,16049,14863,15035,7972
42,2879,182,26,2,276,51,1059,350,42,520,71,23
43,0,0,0,0,0,0,0,0,0,0,0,86
44,0,0,0,0,0,0,210,0,0,4,6,4
46,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,1,111,213,471,43
49,0,0,0,0,0,0,0,5,2,13,7,2
50,0,0,0,0,0,0,0,0,0,0,0,486
51,5736,7917,13423,6438,13507,20907,15401,7280,17267,10685,12857,5635
52,11,306,17752,5009,6762,24227,5697,6233,5095,12405,16793,27511
53,0,0,0,0,0,0,371,334,116,2026,5207,0
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0
57,149623,67860,70016,49113,44510,60756,98636,90184,38984,24622,22337,24890
58,0,0,0,0,0,0,0,0,0,0,632,589
59,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,3,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,1
64,0,0,0,0,0,0,0,0,0,2,26,20
65,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,281
68,3581,4751,6204,3915,8715,2994,796,28,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,5,14,22
71,955,1,0,0,0,0,0,29,0,110,147,44
72,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,1
74,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,7,0,0,6,80
78,0,0,0,0,0,0,0,0,0,2310,3920,7007
79,0,0,0,0,0,0,0,0,0,17,8,1
80,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,72,0
82,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,121,57,23
84,0,0,0,0,0,0,0,0,0,130,164,139
85,0,0,0,0,0,0,0,0,0,4,156,31
86,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,4,3
91,0,0,0,0,0,0,0,0,0,29,0,0
92,0,0,0,0,0,0,0,0,0,0,0,7
93,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,4,34,51
95,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,0,0,12,10,66
97,29918,0,0,0,0,0,0,0,0,0,0,0
99,0,20201,20170,69261,51373,80744,14665,4293,8840,780,274,77
TOTAL,540066,403441,388484,341149,401815,464008,570534,571405,596455,831927,875241,863833
