Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,870,68,173,261,8927,28165,17734,33120,56946,30930,31051,26785
"Iran, Islamic Republic of",0,60,7,88,1605,7432,10787,17680,18778,13032,15815,13642
China,12,0,71,0,491,726,1207,4450,9521,4592,4898,5115
Pakistan,742,1,96,32,4307,14046,2187,3390,6872,8549,6063,4248
Uzbekistan,0,3,0,61,1477,2644,28,17,264,252,1275,1651
Russian Federation,0,0,0,0,0,0,0,0,0,101,0,536
Türkiye,0,0,0,10,0,313,92,1048,1174,72,150,461
"Korea, Republic of",0,0,0,0,156,267,98,1303,425,1450,1299,410
India,0,0,0,0,85,42,46,354,1454,1745,1150,404
United States of America,0,0,0,0,0,0,58,25,87,419,55,103
Malaysia,62,0,0,0,0,0,1,51,188,64,152,85
United Arab Emirates,0,1,0,70,278,2283,1932,1926,2824,172,111,50
Belgium,0,0,0,0,0,0,0,0,0,0,0,29
Romania,0,0,0,0,0,0,0,0,8,0,0,22
Italy,0,0,0,0,0,0,111,0,12,2,0,13
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,10
United Kingdom,0,0,0,0,0,0,0,16,61,15,6,5
Germany,0,0,0,0,0,0,1,54,239,219,4,2
Austria,0,0,0,0,0,0,0,0,11,2,0,1
Canada,0,0,0,0,0,0,0,0,2,0,0,1
Thailand,0,0,0,0,0,0,604,595,0,0,0,1
Turkmenistan,0,0,0,0,0,0,50,1710,11657,0,0,0
Australia,0,0,0,0,0,0,0,0,2807,0,0,0
Denmark,0,0,0,0,0,0,0,0,1,0,0,0
France,0,0,0,0,0,67,0,0,29,15,1,0
Greece,0,0,0,0,0,0,0,7,0,0,0,0
Hungary,0,0,0,0,0,0,0,0,1,0,0,0
Indonesia,0,0,0,0,0,0,10,8,46,0,0,0
Ireland,0,0,0,0,390,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,17,0,17,6,0,0
Kazakhstan,0,0,0,0,0,0,2,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,11,0,0,0
Kenya,0,0,0,0,0,0,7,2,0,0,0,0
"Taipei, Chinese",0,0,0,0,21,347,291,249,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,19,0
Saudi Arabia,0,4,0,0,118,0,0,234,208,0,0,0
Viet Nam,0,0,0,0,0,0,140,1,202,203,53,0
Spain,0,0,0,0,0,0,0,1,35,20,0,0
Switzerland,0,0,0,0,0,0,0,0,4,0,0,0
Tajikistan,53,0,0,0,0,0,66,0,3,0,0,0
Egypt,0,0,0,0,0,0,0,0,8,0,0,0
HHI,0.716243998,0.793149008,0.269782908,0.107593084,0.337160289,0.383684516,0.533222752,0.447428918,0.322731221,0.3911006,0.423154337,0.4474106
