Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1,0.831862657,0.861164582,0.613384207,0.671354327,0.976658758,0.950068079,0.960328037,0.962632816,0.968473285,0.960584101,0.966598319
2,0.787606874,0.763185315,0.713260727,0.747781409,0.21735483,0.236720969,0.403532617,0.615246412,0.607354112,0.63781178,0.648790987,0.461891835
3,0,0,1,0,0,0,0,0,0.502361348,0.822557492,0.885835892,0.67042418
4,0.343173545,0.535558025,0.303943622,0.635274717,0.311668618,0.352017207,0.469407605,0.355631776,0.448974601,0.262074635,0.216608242,0.197741414
5,0,0,0,0,0,0,0,0,0,0.035620301,0.099685587,0.010735139
6,0,0,0,0,0,0,0,0,0,0.255969323,0.391126543,0.235687635
7,0.38139041,0.738369674,0.891767214,0.895136347,0.46857949,0.432475978,0.569519154,0.544003796,0.499380402,0.378460064,0.358983165,0.382769967
8,1,0.99797316,0.996855676,0.980610231,0.980807043,1,1,0.964095616,0.859008995,0.601165293,0.446408572,0.425496595
9,0.279683663,0.376802088,0.479793139,0.589129774,0.572143971,0.279671268,0.390988925,0.467285095,0.46765452,0.536412578,0.542222314,0.459262029
10,0.728306329,0.810861713,0.902332135,0.803987743,0.50990882,0.752281982,0.858921633,0.739496334,0.726500824,0.354175034,0.456999867,0.535002558
11,0.633975634,0.666461127,0.733951689,0.609314506,0.947327598,0.833417944,0.527520948,0.547295187,0.540342687,0.654110203,0.526037838,0.421066393
12,0.951660782,0,0.812314144,0.780123991,0.253278664,0.404086745,0.634635026,0.633039331,1,0.393259473,0.387556369,0.339941188
13,0,0,0,0,0,0,0,0,0,0.561328441,0.561328441,0.443022751
14,0,0,0,0,0,0,0,0,0,0.611408682,0.754878549,0.718961882
15,0.374260141,0.385322229,0.315583655,0.30123361,0.347001901,0.317865272,0.393835003,0.550438533,0.592848048,0.623451538,0.570361425,0.620621557
16,0,0,0,0,0,0,0,0,0,0,0.649203293,0.379823472
17,0.40652318,0.16504659,0.24450274,0.46730292,0.83723417,0.70272392,0.74960882,0.69738205,0.33716414,0.86406388,0.8215029,0.62267613
18,0.416713032,0.471727378,0.370929533,0.412822356,0.392500994,0.371191615,0.472664894,0.346150407,0.390907902,0.332295658,0.439608851,0.420229069
19,0,0,0,0,0,0,0,0,0,0.241305183,0.306933212,0.496346549
20,0,0,0,0,0.790870259,0.896265803,0.836240886,0.58295617,0.582797213,0.294016398,0.381857082,0.334676155
21,0,0,0,0,0,0,0,0,0,0,0,0.38521192
22,0.523630935,0.385708656,0.348066146,0.371642204,0.462380756,0.410274909,0.293923145,0.340668707,0.261406357,0.449519221,0.691931317,0.498040341
23,0,0,0,0,0,0,0,0,0,0.704564935,0.762248971,0.911081446
24,0.567225206,0.686886741,0.353464992,0.661345647,0.2949475,0.382763005,0.449795176,0.505053155,0.248035066,0.504591034,0.392750976,0.364536201
25,0.977364298,0.252974019,0.317850135,0.472055049,0.929726734,0.33839053,0.27957898,0.425153305,0.551080582,0.534089059,0.551840991,0.321412258
26,0,0,0,0,0,0,0,0,0,0.113530297,0.577915469,0.889599819
27,0.66210142,0.831652664,0.722044841,0.329812736,0.388284825,0.296955046,0.395183131,0.52365344,0.537659707,0.499982182,0.525824484,0.505755033
28,0.716243998,0.793149008,0.269782908,0.107593084,0.337160289,0.383684516,0.533222752,0.447428918,0.322731221,0.3911006,0.423154337,0.4474106
29,0,0,0,0,0,0,0,0,0,0,0.461329662,0.826582505
30,0.269424223,0.282188371,0.339283038,0.436056899,0.403332784,0.262605852,0.32985313,0.224698061,0.304354002,0.358151879,0.361732221,0.436733709
31,0.342901796,0.70045821,0.469340053,0.189617305,0.599003999,0.43923407,0.412023186,0.353216545,0.261228725,0.241151073,0.253884486,0.153811335
32,0.613174865,0.857636801,0.779273442,0.800714689,0.517858814,0.479953603,0.564479747,0.703148675,0.905336446,0.528460455,0.469761757,0.728666982
33,0,0,0,0,0,0,0,0,0,0.19833122,0.240844611,0.274204114
34,0.185244787,0.313571193,0.182361852,0.272936628,0.297116424,0.329923399,0.286836062,0.245418499,0.293487562,0.380095581,0.273153808,0.294723108
35,0,0,0,0,0,0,0,0,0,0.428279303,0.36409127,0.48558
36,0.074408625,0.615534252,0.052642744,0.624979459,0.828163711,0.791532161,0.702163904,0.639122699,0.568678482,0.539577085,0.513920671,0.388219284
37,0,0,0,0,0,0,0,0,0,0,0.318293968,0.29727601
38,0,0,0,0,0,0,0,0,0,0,0,0.39988206
39,0.44946942,0.483482035,0.39047217,0.504557651,0.549927505,0.447367537,0.460128789,0.435445985,0.387173746,0.44606217,0.506691606,0.395598519
40,0.438045175,0.379923449,0.370281487,0.434318435,0.416634061,0.720178968,0.386336121,0.387682828,0.530846254,0.567518836,0.704216529,0.688185011
41,0,0,0,0,0,0,0,0,0,0.587176114,0.709993187,0.940876655
42,0.306839818,0.300492144,0.27935665,0.672719933,0.30705583,0.536309399,0.260343372,0.37547992,0.345031977,0.354348307,0.376898519,0.530334011
44,0.640250483,0.630094119,0.831727913,0.904955712,0.495616325,0.460196817,0.491825088,0.64525505,0.488662726,0.492751541,0.42708522,0.427400642
45,0,0,0,0,0,0,0,0,0,0.677918225,1,0.985848582
46,0,0,0,0,0,0,0,0,0,0.53879925,0.43711531,0.83303638
47,0,0,0,0,0,0,0,0,0,0,0,1
48,0.252147897,0.290040274,0.358785248,0.311636695,0.370271089,0.263518883,0.383996907,0.430906707,0.508462217,0.410833559,0.386139517,0.42480846
49,0,0,0,1,0,0,0,0,0,0,0.50433822,0.5871566
50,1,0,0,0,0,0,0,0,0,0.4449282,1,0.24764985
51,0,0,0,0,0,0,0,0,0,0,0.384967465,0.653357326
52,0.136839727,0.89909126,0.928250113,0.968911224,0.577701603,0.544755538,0.696677264,0.650519458,0.730410986,0.734840669,0.779406111,0.773765571
53,0.273784701,0.246409211,0.338980628,0.469750799,0.641888399,0.410173439,0.530462673,0.588051775,0.507622411,0.732484271,0.737638007,0.758247831
54,0,0,0,0,0,0,0,0,0,0,0,0.98415704
55,0,0,0,0,0,0,0,0,0,0,0,0.342310341
56,0,0,0,0,0,0,0,0,0,1,0.86423545,0.914565976
57,0.514229307,0.521918542,0.46890333,0.505104563,0.61265229,0.448805567,0.435718998,0.479710778,0.578427074,0.69127046,0.399787602,0.422175699
58,0.487105038,0.652551918,0.708224012,0.598363559,0.304315067,0.704455183,0.657562794,0.719811714,0.809111464,0.681558617,0.759443258,0.705312212
59,0,0,0,0,0,0,0,0,0,0,0,0.9849874
61,0.766388716,0.62460539,0.563165313,0.328281345,0.35013485,0.28564565,0.20017972,0.495509246,0.572461725,0.473592008,0.625642194,0.517699856
62,0.290974972,0.490079181,0.45296114,0.287591586,0.331837245,0.458865859,0.389302298,0.66743361,0.257232906,0.432919288,0.471489329,0.476059265
63,0.887672396,0.874365369,0.922907949,0.831905276,0.339156795,0.325042842,0.536486247,0.558350762,0.791061165,0.988663354,0.811543096,0.740276533
64,0.58315527,0.41093176,0.47535593,0.44080978,0.43936074,0.47547923,0.30837716,0.66601611,0.54974927,0.41808387,0.50076904,0.57505676
65,0,0,0,0,0,0,0,0,0,0.628447522,0.647059722,0.559398896
66,0,0,0,0,0,0,0,0,0,0,0,0.91250133
67,0,0,0,0,0,0,0,0,0,0,0,0.496486541
68,0.283570219,0.642527345,0.793118927,0.737134015,0.572199865,0.545610698,0.584556805,0.574578167,0.51254578,0.449627241,0.473073945,0.457044932
69,0,0,0,0,0,0,0,0,0,0,1,0.632375652
70,0.382005874,0.597076919,0.328835234,0.472353834,0.324660233,0.29770459,0.403418143,0.425133697,0.578480339,0.349778339,0.418415791,0.553252272
71,0.285682379,0.248878806,0.419996011,0.476505432,0.250796297,0.421699967,0.36199758,0.448422956,0.33838992,0.968521553,0.744635446,0.530416996
72,0.353206753,0.365605726,0.35229408,0.306721291,0.340586129,0.225602225,0.356606858,0.454013592,0.328060441,0.274688096,0.350709335,0.435589321
73,0.23451722,0.348681441,0.255355227,0.424169033,0.473393706,0.903987615,0.421223,1,0.888411239,0.422712906,0.372065791,0.579889467
74,0,0,0,0,0,0,0,0,0,0.42501263,0.526846688,0.795824643
75,0.460934809,0.305039935,0.374024103,0.426234043,0.586194649,0.477985844,0.159986667,0.368598078,0.260226874,0.140870743,0.158385945,0.636955346
76,0.192462615,0.55948209,0.343109655,0.569153624,0.57490844,0.405238112,0.500293666,0.376662229,0.280670738,0.63502319,0.438070959,0.280241464
79,0,0,0,0,0,0,0,0,0,0.60774635,0.592793518,0.803615687
82,0.234496412,0,0.806752302,0.202673518,0.181264088,0.221068734,0.322810754,0.23390207,0.327703939,0.217157572,0.354129768,0.646026564
83,0.62701427,0.78904307,0.405667915,0.382344847,0.401849008,0.299966942,0.505194885,0.358280963,0.691776826,0.641375538,0.524668633,0.594191492
84,0.31962771,0.27671521,0.406771514,0.467175451,0.357091283,0.361242097,0.444987028,0.428474354,0.369436916,0.441217337,0.423112108,0.411064119
85,0.271979852,0.174519659,0.211015877,0.277119254,0.283352794,0.370892006,0.344765649,0.416892129,0.498200327,0.527114783,0.488713652,0.553946736
86,0,0,0,0,0,0,0,0,0,0.901918385,0.893429121,0.84557251
87,0.550512453,0.468201571,0.484133141,0.499028673,0.278734273,0.376668236,0.318880966,0.312473214,0.396670515,0.547504873,0.573828961,0.507869019
88,0,0,0,0,0,0,0,0,0,0.89781024,0.758821202,0.57922932
90,0.504403757,0.180004844,0.437850925,0.356817634,0.231788996,0.315054658,0.313573588,0.35162642,0.351403259,0.31928103,0.337436283,0.348288165
91,0.774992958,0.769796257,0.715789281,0.443322881,0.270482067,0.532144031,0.35351743,0.302330219,0.491916902,0.55745306,0.472779323,0.590519542
92,0,0,0,0,0,0,0,0,0,0.186202673,0.60963011,0.219774331
93,0,0,0,0,0,0,0,0,0,0.628820848,0.458226898,0.759294144
94,0,0,0,0,0,0,0,0,0,0.59678003,0.36749731,0.56566692
95,0,0,1,1,1,1,0.252357069,0.632917319,0.359306755,0.584440025,0.671765454,0.714472472
96,0,0,0,0,0,0,0,0,0,0.914681235,0.560448484,0.547815789
97,0.35130905,0,0,0,0,0,0,0,0,0,0,0
99,0,0.23816799,0.37565355,0.28479242,0.22648169,0.18053251,0.28645547,0.27974587,0.27482563,0.31339171,0.27991152,0.40022167
