Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.000340082,0.000399172,0.000596971,0.000642932,0.001425418,0.003626038,0.005491198,0.01124025,0.003701357,0.005386966,0.004204652,0.002395108
2,0.001269358,0.006001066,0.006709639,0.008119798,0.001876039,0.002511192,0.004700382,0.00562423,0.004168847,0.003860952,0.002665998,0.001604439
3,0,0,1.75E-06,0,0,0,0,0,2.79E-05,0.000890895,0.000812808,0.000497616
4,0.002309824,0.003320476,0.002086341,0.005230339,0.004049019,0.004901547,0.005675706,0.004070151,0.006665556,0.004427752,0.003274308,0.002376592
5,0,0,0,0,0,0,0,0,0,1.33E-07,8.34E-07,6.17E-08
6,0,0,0,0,0,0,0,0,0,6.37E-06,1.63E-05,1.36E-05
7,0.000725307,0.002058136,0.002565826,0.002545822,0.003088304,0.002504458,0.004571822,0.006819784,0.00639314,0.004996337,0.007054965,0.005834084
8,0.000368229,0.001007415,0.000629726,0.000533598,0.000290176,0.00109411,0.001202329,0.003376454,0.000687823,0.003058363,0.003298857,0.004346961
9,0.00409663,0.001050526,0.003541956,0.008219912,0.016539629,0.004662423,0.007953105,0.007806877,0.006417838,0.009755666,0.010769862,0.009282448
10,0.006219349,0.004554669,0.004397999,0.004927394,0.009496514,0.009458344,0.007625111,0.005596925,0.010912511,0.017075267,0.018199314,0.014819663
11,0.034102542,0.071896706,0.032689739,0.021854107,0.014569477,0.029656872,0.035705001,0.03353597,0.055259565,0.063679256,0.055157485,0.036764938
12,0.000168597,0,8.62E-05,0.000140993,1.73E-05,1.85E-05,6.99E-05,2.98E-05,0.000151053,0.003872439,0.006190937,0.003456757
13,0,0,0,0,0,0,0,0,0,3.66E-05,3.85E-05,0.001108802
14,0,0,0,0,0,0,0,0,0,9.95E-05,0.000585326,0.000685142
15,0.020228955,0.004932659,0.007304911,0.008217471,0.017352869,0.012586507,0.025014832,0.024703526,0.028715406,0.038937999,0.031951557,0.041235898
16,0,0,0,0,0,0,0,0,0,0,5.00E-06,7.44E-06
17,0.003154201,0.001630464,0.003247118,0.001797662,0.005879048,0.007224469,0.014099885,0.010411609,0.003197573,0.044791033,0.023474078,0.020894827
18,0.008945394,0.012663154,0.009276747,0.011191177,0.007377093,0.006868708,0.007108838,0.006239646,0.01336722,0.003000025,0.002535058,0.000742819
19,0,0,0,0,0,0,0,0,0,0.000167743,0.000400274,0.001610231
20,0,0,0,0,0.001781351,0.002094504,0.001220524,0.002220375,0.002304113,0.000360022,0.000709828,0.001363688
21,0,0,0,0,0,0,0,0,0,0,0,0.000237546
22,0.003144879,0.000469703,0.002090186,0.004042212,0.004568594,0.002512784,0.001526701,0.000870147,0.001020279,0.000957924,0.001542288,0.001438021
23,0,0,0,0,0,0,0,0,0,0.003784937,0.001731339,0.002126732
24,0.006317341,0.01027293,0.004090298,0.010070879,0.005202808,0.002171149,0.003240736,0.005732385,0.001909002,0.007279357,0.004881687,0.00423235
25,0.009381514,2.81E-06,2.11E-05,3.55E-05,0.000161031,1.29E-05,5.72E-05,8.53E-05,0.000317535,0.000541313,0.000453672,0.000325264
26,0,0,0,0,0,0,0,0,0,3.92E-06,2.94E-05,1.99E-05
27,0.106900572,0.196477252,0.150620017,0.113609881,0.07407575,0.057650873,0.075353839,0.111062646,0.082949719,0.059255517,0.068841313,0.080596688
28,0.000206345,1.62E-05,9.06E-06,4.58E-06,0.000386154,0.001429682,0.00122344,0.001918828,0.00281265,0.001552337,0.00177401,0.001768441
29,0,0,0,0,0,0,0,0,0,0,7.51E-05,0.002346389
30,0.001754997,0.001406867,0.002678389,0.003097514,0.011751821,0.009881607,0.004733582,0.001748707,0.002395095,0.004446817,0.004377217,0.005211264
31,0.00047929,0.002774175,0.000950745,0.000431494,0.005021279,0.002465029,0.001820773,0.003069557,0.003474739,0.004913384,0.004031355,0.002893708
