Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0.000340082,0.000479853,0.000693214,0.001048172,0.002123198,0.003712697,0.005779794,0.011704594,0.003845035,0.005562328,0.004377183,0.002477873
2,0.001611664,0.007863183,0.009406994,0.010858518,0.008631226,0.010608235,0.011648084,0.009141426,0.006863948,0.006053435,0.004109178,0.003473626
3,0,0,1.75E-06,0,0,0,0,0,5.56E-05,0.001083079,0.000917561,0.00074224
4,0.006730776,0.006200031,0.006864238,0.008233193,0.012991422,0.013924169,0.012091211,0.011444846,0.014846177,0.016895003,0.015116268,0.012018686
5,0,0,0,0,0,0,0,0,0,3.72E-06,8.37E-06,5.75E-06
6,0,0,0,0,0,0,0,0,0,2.49E-05,4.16E-05,5.77E-05
7,0.001901744,0.002787406,0.002877237,0.002844061,0.006590779,0.005790977,0.008027513,0.01253628,0.012802144,0.013201756,0.019652634,0.01524175
8,0.000368229,0.001009461,0.000631712,0.000544149,0.000295854,0.00109411,0.001202329,0.003502198,0.000800717,0.005087391,0.00738977,0.010216207
9,0.014647368,0.002788006,0.007382257,0.013952633,0.028908159,0.016671085,0.020340999,0.016706883,0.013723459,0.01818687,0.019862447,0.020211661
10,0.008539469,0.005617073,0.004874036,0.006128693,0.018623946,0.01257287,0.00887754,0.007568564,0.015020645,0.04821138,0.039823455,0.027700172
11,0.053791566,0.107878319,0.044539361,0.03586671,0.015379555,0.035584633,0.067684517,0.061275835,0.102267628,0.097352488,0.104854596,0.087313874
12,0.000177161,0,0.000106126,0.000180731,6.83E-05,4.59E-05,0.000110102,4.71E-05,0.000151053,0.009847034,0.015974288,0.010168692
13,0,0,0,0,0,0,0,0,0,6.52E-05,6.86E-05,0.002502811
14,0,0,0,0,0,0,0,0,0,0.000162718,0.000775391,0.00095296
15,0.054050519,0.012801388,0.023147306,0.027279396,0.050007993,0.039596987,0.063516021,0.044879718,0.048436367,0.062455535,0.056019842,0.066442903
16,0,0,0,0,0,0,0,0,0,0,7.70E-06,1.96E-05
17,0.007758969,0.009878808,0.013280497,0.003846887,0.007021988,0.010280664,0.018809657,0.014929563,0.009483727,0.051837641,0.028574553,0.033556492
18,0.021466558,0.026844221,0.025009458,0.027108941,0.018795095,0.01850448,0.015039911,0.018025823,0.034195319,0.009028181,0.005766621,0.001767653
19,0,0,0,0,0,0,0,0,0,0.000695147,0.001304109,0.003244166
20,0,0,0,0,0.002252394,0.002336923,0.001459536,0.00380882,0.003953542,0.001224495,0.001858885,0.004074648
21,0,0,0,0,0,0,0,0,0,0,0,0.000616664
22,0.006005908,0.001217767,0.006005141,0.010876623,0.009880588,0.006124634,0.00519422,0.002554233,0.003903039,0.002130996,0.002228961,0.002887359
23,0,0,0,0,0,0,0,0,0,0.00537202,0.002271356,0.002334294
24,0.011137271,0.014955784,0.011572004,0.01522786,0.017639775,0.005672305,0.007204915,0.011350062,0.007696499,0.014426251,0.012429472,0.011610232
25,0.009598789,1.11E-05,6.64E-05,7.52E-05,0.000173202,3.81E-05,0.000204679,0.000200703,0.000576204,0.001013526,0.000822106,0.001011985
26,0,0,0,0,0,0,0,0,0,3.45E-05,5.08E-05,2.24E-05
27,0.161456491,0.23624917,0.208602027,0.34446784,0.190776835,0.194140069,0.190680808,0.212091886,0.154279217,0.118515258,0.130920707,0.159359141
28,0.000288093,2.04E-05,3.36E-05,4.26E-05,0.001145313,0.003726192,0.002294425,0.004288564,0.008715148,0.00396915,0.004192348,0.003952614
29,0,0,0,0,0,0,0,0,0,0,0.000162828,0.002838663
30,0.006513878,0.004985561,0.007894262,0.007103464,0.029136785,0.037629044,0.014350574,0.007782475,0.007869437,0.01241601,0.01210071,0.011932361
31,0.001397747,0.003960515,0.002025707,0.002275607,0.008382713,0.005612109,0.004419104,0.008690298,0.013301521,0.020374714,0.015878697,0.018813357
32,0.001124887,0.001868761,0.001983994,0.002486188,0.005902462,0.005769544,0.002626803,0.001109044,0.003632766,0.002065293,0.002635086,0.002574083
33,0,0,0,0,0,0,0,0,0,0.002159613,0.003352015,0.002651997
34,0.009664024,0.004431077,0.005675705,0.005425997,0.011419775,0.013348802,0.009738047,0.004283773,0.005293887,0.00393155,0.004924533,0.003848287
35,0,0,0,0,0,0,0,0,0,0.00040115,0.000519267,0.000602351
36,0.00080964,0.000615327,0.000529466,0.000326555,0.000198348,0.001889754,0.000764507,0.000522733,0.000954678,0.000944357,0.001033809,0.00140155
37,0,0,0,0,0,0,0,0,0,0,4.90E-05,0.000145202
38,0,0,0,0,0,0,0,0,0,0,0,0.001165598
39,0.002915036,0.001313378,0.002859776,0.003305022,0.007566098,0.008626798,0.004690932,0.002219384,0.00109364,0.009941611,0.015657543,0.016888254
40,0.039041545,0.012174072,0.009573847,0.006342046,0.01413263,0.016284376,0.008277864,0.007408779,0.012343017,0.013477915,0.021799776,0.027454333
41,0,0,0,0,0,0,0,0,0,0.000198265,0.000507791,0.000488875
42,0.000722219,0.000883278,0.000800892,0.00163049,0.002645498,0.002444482,0.000550771,0.000776137,0.00048545,0.002585273,0.003120599,0.000814989
44,0.012504553,0.018148413,0.015164185,0.007622494,0.012128492,0.015367811,0.013488774,0.00892402,0.013524504,0.015576573,0.015980903,0.015975284
45,0,0,0,0,0,0,0,0,0,0.000213921,0.000256663,0.000457444
46,0,0,0,0,0,0,0,0,0,5.38E-05,6.01E-05,3.45E-05
47,0,0,0,0,0,0,0,0,0,0,0,5.31E-06
48,0.004696575,0.004569248,0.003544842,0.004345528,0.006101709,0.003712565,0.008115621,0.00534672,0.011120515,0.011866514,0.01653433,0.019493326
49,0,0,0,3.26E-06,0,0,0,0,0,0,0.000123944,7.69E-05
50,2.38E-05,0,0,0,0,0,0,0,0,2.36E-05,5.54E-06,1.49E-05
51,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.000387352
52,7.65E-05,0.000610832,0.00081816,0.000546922,0.001237688,0.00124546,0.000593854,0.000507066,0.001171233,0.002081719,0.001449115,0.002809003
53,0.002238514,0.002387878,0.001777368,0.000751304,0.008110594,0.006129926,0.001451773,0.008012311,0.012037238,0.048478428,0.045344214,0.052964379
54,0,0,0,0,0,0,0,0,0,0,0,0.000380712
55,0,0,0,0,0,0,0,0,0,0,0,0.000885524
56,0,0,0,0,0,0,0,0,0,0.000246388,0.000580159,0.00080038
57,0.001439471,0.001599612,0.001765727,0.001184862,0.001425259,0.003595877,0.002627967,0.000497354,0.000983144,0.006187024,0.001011397,0.000975242
58,0.023153391,0.032550612,0.022847941,0.015914245,0.016112647,0.020638987,0.044072014,0.030982155,0.05119572,0.009390447,0.018674586,0.011763107
59,0,0,0,0,0,0,0,0,0,0,0,0.002712202
