Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1027,1601,3573,6426,16549,28063,44673,90393,25124,43345,32420,16792
2,4867,26235,48486,66570,67275,80184,90030,70598,44850,47172,30435,23540
3,0,0,9,0,0,0,0,0,363,8440,6796,5030
4,20326,20686,35380,50475,101260,105248,93455,88387,97007,131656,111960,81448
5,0,0,0,0,0,0,0,0,0,29,62,39
6,0,0,0,0,0,0,0,0,0,194,308,391
7,5743,9300,14830,17436,51371,43772,62046,96816,83651,102876,145559,103290
8,1112,3368,3256,3336,2306,8270,9293,27047,5232,39644,54733,69233
9,44233,9302,38050,85539,225321,126011,157219,129025,89671,141723,147113,136970
10,25788,18741,25122,37573,145162,95034,68616,58451,98147,375692,294956,187718
11,162443,359929,229567,219887,119874,268972,523145,473225,668231,758629,776615,591707
12,535,0,547,1108,532,347,851,364,987,76734,118315,68911
13,0,0,0,0,0,0,0,0,0,508,508,16961
14,0,0,0,0,0,0,0,0,0,1268,5743,6458
15,163225,42711,119307,167241,389781,299300,490926,346600,316490,486691,414916,450269
16,0,0,0,0,0,0,0,0,0,0,57,133
17,23431,32960,68451,23584,54732,77708,145383,115299,61968,403950,211640,227405
18,64826,89564,128905,166196,146496,139869,116246,139211,223437,70353,42711,11979
19,0,0,0,0,0,0,0,0,0,5417,9659,21985
20,0,0,0,0,17556,17664,11281,29415,25833,9542,13768,27613
21,0,0,0,0,0,0,0,0,0,0,0,4179
22,18137,4063,30952,66681,77013,46294,40147,19726,25503,16606,16509,19567
23,0,0,0,0,0,0,0,0,0,41862,16823,15819
24,33633,49899,59645,93357,137491,42875,55688,87655,50290,112418,92060,78680
25,28987,37,342,461,1350,288,1582,1550,3765,7898,6089,6858
26,0,0,0,0,0,0,0,0,0,269,376,152
27,487576,788230,1075187,2111819,1486986,1467438,1473804,1637957,1008082,923542,969676,1079942
28,870,68,173,261,8927,28165,17734,33120,56946,30930,31051,26786
29,0,0,0,0,0,0,0,0,0,0,1206,19237
30,19671,16634,40689,43549,227103,284425,110918,60103,51420,96753,89625,80863
31,4221,13214,10441,13951,65338,42420,34156,67114,86914,158772,117607,127494
32,3397,6235,10226,15242,46006,43610,20303,8565,23737,16094,19517,17444
33,0,0,0,0,0,0,0,0,0,16829,24827,17972
34,29184,14784,29254,33265,89010,100899,75267,33083,34591,30637,36474,26079
35,0,0,0,0,0,0,0,0,0,3126,3846,4082
36,2445,2053,2729,2002,1546,14284,5909,4037,6238,7359,7657,9498
37,0,0,0,0,0,0,0,0,0,0,363,984
38,0,0,0,0,0,0,0,0,0,0,0,7899
39,8803,4382,14740,20262,58973,65207,36257,17140,7146,77471,115969,114448
40,117900,40618,49346,38881,110155,123088,63981,57217,80651,105028,161462,186052
41,0,0,0,0,0,0,0,0,0,1545,3761,3313
42,2181,2947,4128,9996,20620,18477,4257,5994,3172,20146,23113,5523
43,0,0,0,0,0,0,0,0,0,0,0,0
44,37762,60551,78160,46731,94534,116160,104257,68919,88371,121382,118364,108261
45,0,0,0,0,0,0,0,0,0,1667,1901,3100
46,0,0,0,0,0,0,0,0,0,419,445,234
47,0,0,0,0,0,0,0,0,0,0,0,36
48,14183,15245,18271,26641,47559,28062,62727,41292,72663,92471,122463,132102
49,0,0,0,20,0,0,0,0,0,0,918,521
50,72,0,0,0,0,0,0,0,0,184,41,101
51,0,0,0,0,0,0,0,0,0,0,145,2625
52,231,2038,4217,3353,9647,9414,4590,3916,7653,16222,10733,19036
53,6760,7967,9161,4606,63217,46334,11221,61878,78653,377773,335846,358928
54,0,0,0,0,0,0,0,0,0,0,0,2580
55,0,0,0,0,0,0,0,0,0,0,0,6001
56,0,0,0,0,0,0,0,0,0,1920,4297,5424
57,4347,5337,9101,7264,11109,27180,20312,3841,6424,48213,7491,6609
58,69920,108603,117764,97565,125588,156003,340640,239271,334520,73176,138315,79716
59,0,0,0,0,0,0,0,0,0,0,0,18380
60,0,0,0,0,0,0,0,0,0,0,0,0
61,6541,6523,10285,11606,43944,57186,27249,25132,30336,14838,18793,13853
62,3186,5182,12036,6479,19768,17756,13458,11308,10620,14942,12456,12350
63,13393,10638,20015,8092,21119,38936,19851,7686,8740,19055,11399,8283
64,17249,21487,45378,29947,88267,100016,66528,41773,63377,62334,73680,53154
65,0,0,0,0,0,0,0,0,0,188,298,328
66,0,0,0,0,0,0,0,0,0,0,0,231
67,0,0,0,0,0,0,0,0,0,0,0,279
68,11151,41233,192253,177635,472423,542526,259395,197168,156819,362274,330668,390548
69,0,0,0,0,0,0,0,0,0,0,18,47842
70,13695,10328,18585,20660,37490,55097,38773,20038,21350,65237,70730,51905
71,9660,4055,7602,20903,19095,10441,10028,9380,14641,1089,2401,5493
72,378733,260598,463264,490775,458835,538792,413410,346060,231569,251535,338697,242705
73,220,672,507,293,571,836,64,2,373,18516,19908,77998
74,0,0,0,0,0,0,0,0,0,66,614,380
75,1386,1172,4087,1487,12755,7738,6635,3946,7024,70,413,1935
76,11095,6953,12576,17004,65154,72893,32743,19807,28854,114727,24066,53720
78,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,1660,2884,1495
80,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0
82,1453,0,433,3100,1182,562,1691,1206,1051,491,909,2662
83,5611,13061,16595,11801,54485,53687,40812,57956,39160,98179,136644,68987
84,80174,94775,201127,140461,421197,281396,319238,148759,321127,204058,180623,108155
85,135126,127806,207329,235165,403689,380638,238199,203153,230455,242114,269069,303302
86,0,0,0,0,0,0,0,0,0,15394,25314,20688
87,468777,536864,1004351,737799,570971,562031,301136,161208,176619,390645,368234,234555
88,0,0,0,0,0,0,0,0,0,4481,3804,4088
89,0,0,0,0,0,0,0,0,0,0,0,0
90,45270,57761,89118,55795,253079,292619,348883,323872,410235,590197,556594,315299
91,200,171,589,707,6553,2425,429,186,1029,641,467,514
92,0,0,0,0,0,0,0,0,0,25,44,16
93,0,0,0,0,0,0,0,0,0,7518,7155,3779
94,0,0,0,0,0,0,0,0,0,1967,3374,2227
95,0,0,5,3,28,2696,113,1616,290,551,587,1306
96,0,0,0,0,0,0,0,0,0,8935,23520,31679
97,409105,0,0,0,0,0,0,0,0,0,0,0
99,0,379856,568105,679679,823383,589319,1293623,2025401,1012741,196299,25983,72624
TOTAL,3019860,3336435,5154250,6130671,7794374,7558656,7729168,7722865,6534140,7792600,7406590,6776781
