Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,43,98,25,0,0,0,0,0,0,0,2656,4427,2660,371,420,2986,8035,19573
South Africa,3,0,7,0,0,0,0,0,0,0,4,7,1,26,4,3,183,7807
Namibia,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1248,5229,7246
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,211,1336
Benin,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,854
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,1469,332,261,272,230,1282,386,758
Guinea,0,0,0,0,0,0,0,0,0,0,3,1,2,1,103,94,119,592
Congo,0,1,0,0,0,0,0,0,0,0,836,629,1758,26,28,257,1495,546
Switzerland,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,170
Senegal,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,113
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,700,110,0,0,0,0,67
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
United States of America,6,58,9,0,0,0,0,0,0,0,3,13,4,2,10,25,15,11
Portugal,3,0,2,0,0,0,0,0,0,0,8,26,20,10,6,10,9,8
France,6,9,0,0,0,0,0,0,0,0,30,13,258,3,4,4,33,4
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3
Brazil,0,1,0,0,0,0,0,0,0,0,5,2,4,3,9,4,2,2
Lebanon,0,0,3,0,0,0,0,0,0,0,1,18,1,1,0,0,0,2
Zambia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1
Cuba,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,42,1
Ghana,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,40,1
United Kingdom,2,1,0,0,0,0,0,0,0,0,1,1,8,1,0,1,26,1
Australia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Belgium,1,0,0,0,0,0,0,0,0,0,0,7,0,0,5,23,8,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,1,0
China,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
