Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,137934,159169,188849,221133,441527,295685,480620,654152,554853,645254,276882,454942,509699,361552,277944,217677,186624,199345
Türkiye,10899,0,0,1859,2946,3441,5029,31925,41526,63629,39211,70732,80239,94091,96044,92776,75253,88207
France,8589,17506,31770,46995,104896,105123,148230,187569,150963,147820,53009,66244,29720,18562,30585,20856,19759,29045
South Africa,19371,8630,13313,4751,27532,10789,35572,66863,53217,87002,33890,34856,51993,31642,24539,17187,12425,13197
Netherlands,9,240,6456,19152,22733,11806,18743,28714,12629,18452,12184,18592,15811,7500,5894,5364,10732,12408
Portugal,24363,21057,27438,1474,8890,4539,9397,16922,17491,21504,16900,39186,42784,29361,33037,23560,11708,10724
Belgium,23123,64126,54513,81556,106130,74788,66986,99324,92628,113960,55659,76204,69081,42632,16064,7692,14698,8841
Brazil,15345,11741,16980,23462,43435,26554,49475,54333,46856,92244,27635,52787,91957,58180,28443,34897,8891,7133
Croatia,0,0,0,0,0,84,666,200,827,4043,474,838,202,0,0,0,0,6988
Latvia,0,0,0,0,0,0,2974,1821,4906,12536,10848,11538,10274,4686,1337,637,445,3947
Namibia,0,14,19,727,15328,1319,3217,5614,8937,4336,362,2018,546,490,901,1332,8173,3721
Spain,816,930,632,298,6,703,64066,28674,22175,3297,21,3840,10034,1844,1094,417,2224,3277
Germany,6518,5138,1697,3430,72060,39694,25517,22256,14379,11344,219,16710,14152,12188,2427,4635,3411,3237
Ukraine,0,0,0,0,11,0,11,126,390,1,1166,19330,31242,26926,23126,1054,1161,2504
Congo,177,139,369,267,487,1334,615,915,6,0,0,750,0,0,13,2056,1947,1319
Australia,0,0,0,0,0,0,249,0,55,0,0,0,0,246,0,0,0,878
Liberia,0,0,0,94,0,108,0,0,0,0,0,0,0,1889,662,0,0,516
Thailand,0,0,0,0,0,51,52,17,76,279,295,0,77,142,68,2,1226,419
Malta,0,1,18,20,403,233,434,513,361,396,356,233,381,358,1016,151,238,390
India,0,0,0,8,87,0,97,1067,233,641,393,503,994,81,105,172,166,385
"Congo, Democratic Republic of the",0,0,0,0,0,1,2,0,0,0,1,1,0,0,157,1,322,293
Viet Nam,0,0,0,1,0,5,5,115,20,33,4,2,2,2,2,114,102,262
Argentina,5358,8585,19614,13787,22930,10363,39371,47027,19499,15318,4031,7047,7286,3567,566,331,183,240
United Arab Emirates,0,2272,15,1,125,11,310,5621,9299,7361,3085,4267,2018,1431,1218,804,460,237
Morocco,0,0,0,0,0,0,42,13658,15753,13439,9089,1890,715,3632,2884,0,11,173
Lithuania,0,0,0,0,0,0,0,0,0,0,237,3998,4265,1848,340,210,521,161
Slovenia,0,0,0,0,0,0,0,0,93,635,327,431,528,187,59,0,162,154
China,0,0,3,215,218,83,427,369,73,787,216,3296,2276,852,1459,1319,650,152
Russian Federation,0,0,0,0,0,0,25,2222,0,0,0,0,21,0,0,0,0,113
Poland,0,0,0,0,26,26,87,4604,2137,209,903,3532,7964,1930,2773,193,1249,103
Egypt,0,0,0,0,0,286,192,49,352,680,542,617,1913,1427,243,57,110,98
Lebanon,2653,7020,6458,227,671,36,269,78,4633,370,409,2041,2966,3325,558,2,31,89
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,73
Italy,8328,7444,2366,11569,2633,74,252,108,168,43,194,4,58,112,20,0,17,24
United Kingdom,26,8,135,215,13,95,8,17,10,13,6,1981,10018,2790,445,6,0,24
Canada,232,215,0,8,0,1,0,299,0,554,58,610,289,1026,3,1,0,3
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pakistan,0,0,0,0,20,0,137,0,0,0,0,0,0,6,3,401,0,2
Japan,0,0,0,20,460,44,51,13,40,0,0,0,0,0,0,0,0,1
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,428,35,1475,1507,22,137,728,637,2887,0,0,0,0,0,0,0,0
Nauru,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0
Tokelau,0,0,0,0,0,0,0,1012,104,0,92,0,0,457,0,550,0,0
United States Minor Outlying Islands,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,440,0,190,853,0,0,0,0,0,0
Angola,8724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,5,46,0,0,0,0,0,0,0,0,0,0,149,0,0
Azerbaijan,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,1015,0,0,0,0,0,0
Sri Lanka,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,50,0
Chile,0,0,0,1024,0,0,0,0,0,158,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,88,409,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,88,289,0,669,0,0,0,0,0
Czech Republic,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,10,0,0,0,0,0,0,0,0,424,3958,629,0,375,1141,0
Ecuador,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
Gabon,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,560,37,0,214,1964,3646,7617,5170,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0
Guyana,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,11,0,0,30,0,0,46,0,0,0,0,0
Hungary,0,0,0,0,0,0,90,0,0,80,0,1172,637,291,0,0,477,0
Iceland,0,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,181,0,142,0,0,0,0,1,0
Ireland,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,113,0,0,1,4,1,1,1,2,0,1,1,53,0,0
Côte d'Ivoire,0,4,0,0,0,0,0,0,0,0,4,0,0,0,25,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0
"Korea, Republic of",0,0,191,3,4,9,4,6,3,3,1,0,0,3,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0
