Exporters,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015
World,187235,153260,234366,284896,219256,151488,180929,504535,469451,560904,611707,643875,668369,831769
"Hong Kong, China",85535,65011,85161,117056,111124,66934,86070,302943,301310,370706,194882,410587,424207,509181
China,6002,5587,9777,25391,32841,17546,24578,103055,66617,81913,53928,103892,119581,180059
"Korea, Republic of",64709,49010,42347,29244,45285,40601,27978,29069,26861,30792,19150,34417,31010,25780
Singapore,3162,1712,1975,4400,2529,392,1454,7862,11804,12760,14245,15459,13493,20125
India,772,3350,5136,7597,8072,9927,10400,13892,11843,11679,12653,9978,9938,19473
"Taipei, Chinese",12533,7068,6515,9180,7549,3581,4008,12499,14083,16632,7948,14656,15218,14671
Sri Lanka,929,1453,888,1160,1564,840,1087,3695,4635,7400,8385,10039,11484,10713
Japan,3391,1116,2021,2115,1591,1839,4396,2332,4104,7972,4422,7077,5258,9514
Thailand,1308,1447,1896,1968,2230,2561,4217,7333,6353,6740,275064,6946,5862,6411
Italy,300,354,139,166,171,284,820,1121,963,1924,916,3434,7803,5677
Spain,15,12,321,44,1,33,19,166,130,129,1061,2933,2347,4994
Türkiye,0,0,2,104,68,128,121,568,919,984,879,2107,2363,4358
Germany,483,191,255,755,577,645,696,989,1078,599,3249,5226,3099,3503
Pakistan,248,7397,117,209,409,597,785,1718,1473,1348,1509,2174,1697,2915
Viet Nam,18,42,108,510,292,70,141,709,438,996,229,1659,2485,2437
Malaysia,144,245,229,435,452,246,341,1363,1873,1792,2153,2938,2298,2238
Belgium,46,483,587,53,678,486,770,1185,1271,594,1284,1321,2125,1954
Netherlands,185,123,320,217,406,200,171,742,931,1186,2967,1453,1437,1433
United States of America,3116,2226,590,560,357,1436,3748,1292,1879,1207,1810,1904,1474,1040
United Kingdom,1184,2259,1665,905,618,546,597,768,806,637,600,1040,1181,902
Indonesia,669,591,592,283,515,1560,3471,3270,2583,842,1049,1457,1454,655
France,35,41,105,178,100,4,567,353,232,219,177,143,136,597
United Arab Emirates,55,55,141,122,142,99,92,336,582,364,125,202,132,459
Mauritius,0,0,0,0,46,0,0,7,16,106,102,169,347,406
Bahrain,0,0,2,0,149,1,12,242,436,139,541,62,25,212
Canada,40,11,28,164,20,199,107,206,83,77,433,427,297,211
Switzerland,24,16,42,216,239,176,34,40,89,37,37,26,86,209
Sweden,34,15,7,127,108,66,52,388,485,301,723,673,329,205
Ukraine,0,0,0,8,4,218,1,11,70,15,121,10,63,172
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Russian Federation,0,0,0,0,0,0,1,0,0,0,0,0,0,163
Sierra Leone,0,3,18,9,54,25,176,194,84,120,325,91,99,119
Romania,0,0,0,0,0,0,12,0,52,2,17,0,36,91
Uganda,0,0,0,0,2,0,0,1,0,0,0,88,124,79
"Korea, Democratic People's Republic of",1916,2766,89,130,6,0,0,14,49,129,66,356,400,64
Myanmar,3,5,3,0,0,0,0,0,0,0,0,0,0,51
Australia,26,42,14,2,5,31,8,15,4,2,8,65,15,47
Tokelau,0,0,0,0,1,0,0,0,0,0,0,21,24,39
Nepal,9,0,0,0,2,0,0,0,1,0,0,0,6,35
South Africa,1,0,34,0,8,0,1,27,0,0,0,0,0,35
Jordan,11,0,0,1,1,0,0,0,20,12,5,145,5,31
Cameroon,0,0,0,6,0,0,1,0,0,13,0,5,0,30
Colombia,4,0,0,3,0,0,0,35,99,146,0,0,25,30
"Macao, China",0,0,0,0,0,55,55,193,95,14,6,0,6,28
Dominica,0,0,0,0,0,2,0,0,0,0,0,0,0,23
Israel,6,0,0,0,0,1,0,0,0,0,0,0,4,22
Tunisia,0,0,0,0,0,24,0,3,0,0,0,0,0,19
Cambodia,0,1,3,9,9,0,1,5,27,0,8,9,21,16
Denmark,99,39,37,3,14,8,7,30,17,17,15,2,11,16
Norway,43,4,10,0,7,0,24,3,3,0,1,0,11,15
Portugal,1,8,2,0,0,0,0,22,51,53,76,120,36,15
Slovakia,0,0,0,0,14,0,4,4,0,0,10,0,0,12
Hungary,5,0,5,0,0,0,0,0,0,0,0,0,0,11
Mexico,0,18,0,0,257,0,26,2,0,13,44,196,52,11
Finland,3,0,64,22,81,13,0,0,0,3,0,0,0,10
Ireland,17,373,0,0,0,0,4,9,16,2,0,61,0,10
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,10
