Exporters,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015
World,16104,7053,6872,84557,30717,21622,29537,7686,11523,28842,93029,120379,112370,105746
Russian Federation,0,33,0,0,0,0,0,0,0,0,0,2146,0,60635
China,8126,2499,1408,8088,25944,16420,24190,2457,9680,22628,69015,100839,21397,37265
Brazil,249,0,0,0,1186,0,457,0,0,451,283,1783,1920,3192
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,2537
Türkiye,0,0,0,428,0,786,0,64,293,53,482,1061,377,633
Italy,82,26,689,6392,737,192,769,111,27,2800,1913,2734,36383,322
United States of America,1116,5,0,7,9,26,560,0,17,23,924,1683,5038,318
"Korea, Republic of",0,0,0,72,0,0,0,0,17,201,0,163,1955,198
Germany,632,11,371,264,17,64,0,426,31,32,487,41,54,157
"Macedonia, North",0,0,0,0,0,0,0,0,0,0,0,0,0,109
Austria,0,0,175,0,0,0,0,105,1,1,0,51,18,69
Czech Republic,0,0,0,30,0,0,0,0,0,0,35,240,26,63
United Kingdom,1022,1305,181,456,9,377,156,57,14,63,0,340,118,57
"Hong Kong, China",2,0,12,0,1,9,147,6,26,6,79,0,0,38
Tokelau,0,0,0,0,0,0,0,0,0,0,13,6,15,32
Greece,0,0,0,0,58,0,0,0,0,15,31,30,355,32
Belgium,12,8,0,0,0,0,0,0,0,0,0,0,0,26
Spain,0,0,0,0,0,0,0,0,0,0,1105,248,0,17
Australia,0,0,0,0,0,1,4,26,0,1,0,4,37,16
Cyprus,0,0,0,0,1331,0,0,0,4,9,0,0,0,13
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Philippines,0,0,0,0,0,0,0,0,0,0,0,19,7,7
"Korea, Democratic People's Republic of",0,294,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Bangladesh,0,0,31,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,884,0,0,0,0,0,0
Bulgaria,567,0,0,0,0,0,0,0,0,752,0,1058,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,2,0,0
France,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,1436,0,0
"Iran, Islamic Republic of",1722,0,2585,58272,0,3028,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,524,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,1555,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,170,1468,0
Malaysia,47,0,0,0,0,0,0,0,0,0,0,0,7,0
"Taipei, Chinese",0,0,0,0,0,0,4,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Pakistan,1310,1250,1069,8803,1343,182,453,313,861,267,430,0,0,0
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,945,0,0
Romania,0,247,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,2856,0,0,0,0,0,0
Sierra Leone,0,1274,0,1324,0,0,0,0,0,0,0,0,0,0
India,14,8,2,0,0,0,2389,0,52,0,3,0,0,0
Singapore,4,8,1,16,0,4,0,8,0,0,0,1,0,0
Slovakia,0,0,0,0,0,0,0,372,500,0,0,0,0,0
Slovenia,1198,0,0,0,0,0,0,0,0,0,0,1468,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,355,0,0
Sudan (before 2012),0,0,0,0,0,0,0,0,0,0,910,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,25262,0
Sweden,0,85,0,0,71,0,407,0,0,1491,0,1999,2839,0
Switzerland,0,0,346,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,10691,0,6,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tunisia,0,0,0,0,0,0,0,0,0,32,0,0,0,0
Ukraine,0,0,0,0,0,8,0,0,0,0,6623,0,15080,0
Serbia and Montenegro,0,0,0,405,0,0,0,0,0,0,0,0,0,0
HHI,0.377995683,0.285433425,0.260341259,0.59563027,0.786424877,0.686917994,0.748059335,0.323294434,0.785373041,0.729029362,0.676079137,0.799732262,0.319762997,0.585898651
