Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,0.000567701,0.000537811,0.000750368,0.000584116,0.000478919,0.000561811,0.000422576,0.000261074,0.000376381,0.000421849,0.000314349,0.000325144,0.000331583,,0.000214571
2,0.001100085,0.000444812,0.000730162,0.000345475,5.38E-05,3.18E-05,3.58E-05,2.56E-05,2.34E-05,2.11E-05,1.39E-05,1.56E-05,1.75E-05,,2.41E-05
3,0.002202035,0.001737251,0.00053402,0.000547889,0.000197696,0.000229021,0.000327132,0.000201898,0.000773756,0.000534261,0.000355396,0.000460334,0.000846778,,0.001150197
4,0.009733251,0.007754744,0.006485116,0.010954172,0.007107463,0.00571538,0.008475179,0.012064054,0.005408853,0.005762816,0.006059946,0.007345208,0.006426951,,0.006036866
5,0.000715068,0.00068062,0.00059986,0.000138049,0.000645658,0.000484494,0.000539413,0.000499299,0.000463583,0.000470564,0.000202248,0.000320468,0.000351981,,0.001244499
6,1.99E-05,1.83E-05,2.76E-05,3.41E-05,7.44E-06,1.20E-05,9.02E-06,8.96E-06,1.26E-05,1.08E-05,1.08E-05,8.50E-06,1.15E-05,,6.06E-06
7,0.011507614,0.011229138,0.01689101,0.013580802,0.010052234,0.013552117,0.019665182,0.010200908,0.01390658,0.013111499,0.007366396,0.010200951,0.014554727,,0.014664522
8,0.003583297,0.002088413,0.003590489,0.002437758,0.002408292,0.001917386,0.003986864,0.002774912,0.004391432,0.003844402,0.003479191,0.003635857,0.002907108,,0.005693744
9,0.000676889,0.002363938,0.003443826,0.003659275,0.002714218,0.003162116,0.003799324,0.00167144,0.002784422,0.003341547,0.002947335,0.002520037,0.003203051,,0.004778655
10,0.047079676,0.029132298,0.046756294,0.023230539,0.031853305,0.041263801,0.057644233,0.039188246,0.036089765,0.037670509,0.04458749,0.016992389,0.021999052,,0.031654054
11,0.000534871,0.001404755,0.000776586,0.00082812,0.001101854,0.000777574,0.000905868,0.000865164,0.000743298,0.00078636,0.00066516,0.000726203,0.000753747,,0.000670305
12,0.009852512,0.005957375,0.008936206,0.009364846,0.006502025,0.007813981,0.009000632,0.005395184,0.009012719,0.005372898,0.006722195,0.00931527,0.011106645,,0.012323115
13,0.000232925,0.000141615,0.000172783,0.000148953,0.000134199,0.000103897,0.000147763,0.000121147,0.000145622,0.000123099,0.000112829,0.000153674,0.000129489,,0.000171207
14,1.59E-05,2.15E-05,1.89E-05,1.31E-05,1.68E-05,2.12E-05,1.52E-05,1.33E-05,6.32E-05,6.99E-05,3.90E-05,2.98E-05,4.38E-05,,0.000103582
15,0.063152779,0.069293411,0.0746913,0.0615045,0.051223916,0.060966903,0.088175861,0.08284002,0.079192984,0.070412032,0.086165833,0.081728961,0.07620704,,0.057629949
16,1.67E-05,2.30E-05,1.83E-05,3.22E-05,2.15E-05,1.59E-05,1.86E-05,2.42E-05,2.86E-05,2.32E-05,2.64E-05,4.44E-05,5.68E-05,,1.90E-05
17,0.009998635,0.005431826,0.010242671,0.016147465,0.01656083,0.020223545,0.017824165,0.019688291,0.025483072,0.024351692,0.028471906,0.027850833,0.019101326,,0.017431533
18,0.000190519,0.00017341,0.000171403,0.000121782,6.86E-05,4.77E-05,7.47E-05,6.80E-05,6.33E-05,8.18E-05,8.66E-05,0.000121382,0.000111401,,0.000152126
19,0.001797991,0.001913157,0.001767055,0.001749006,0.001768414,0.001506386,0.001970905,0.001772122,0.001289092,0.001361108,0.001620677,0.001660431,0.001683132,,0.001473531
20,0.000347461,0.000341829,0.000336497,0.000242861,0.000260163,0.0001888,0.000234525,0.000218377,0.000401075,0.000229447,0.000293511,0.000270435,0.000187951,,0.000165506
21,0.001309009,0.001010403,0.001611916,0.001999253,0.001817026,0.00130114,0.001250818,0.000979325,0.001439834,0.0011591,0.001263462,0.001340926,0.001186053,,0.001545589
22,0.00056509,0.000631027,0.000702958,0.000417226,0.000399033,0.000460973,0.000197868,0.000372522,0.000484189,0.000434568,0.00034232,0.000283445,0.000242243,,0.000261243
23,0.008978015,0.006634088,0.006789876,0.004294917,0.004036649,0.006330734,0.009020493,0.003644432,0.004534043,0.005350049,0.004239253,0.005085072,0.007979157,,0.010210803
24,0.001593544,0.003324857,0.004022002,0.002004969,0.001020148,0.001401213,0.000992006,0.000687923,0.000597117,0.000482202,0.000352121,0.000401169,0.000280081,,0.000245054
25,0.028873061,0.022754636,0.01961936,0.019177076,0.024403497,0.021030631,0.022314636,0.019972131,0.016210126,0.04592711,0.016097632,0.02087134,0.021929405,,0.020641295
26,0.0001797,0.000237001,0.000695862,0.001225737,0.001783774,0.001426646,0.001163431,0.001081075,0.001163861,0.001487944,0.000983828,0.001602422,0.001800168,,0.001507677
27,0.048315811,0.068081275,0.108722095,0.081309042,0.102124567,0.127509594,0.104540219,0.073960303,0.12214004,0.082960192,0.075843394,0.088448251,0.080529653,,0.10861617
28,0.009529177,0.008362657,0.008765394,0.007529932,0.010415797,0.008628142,0.010957464,0.012079054,0.008170173,0.007400807,0.006186627,0.007523857,0.007343432,,0.007811134
29,0.018411933,0.017509568,0.016446683,0.017554249,0.017082582,0.015234937,0.014812908,0.013927406,0.015170377,0.013491451,0.011115712,0.013721091,0.012895261,,0.013665931
30,0.010539101,0.009668553,0.009399949,0.008015391,0.00726866,0.007014417,0.009056242,0.005947372,0.007668346,0.006661326,0.004714052,0.005451997,0.004764977,,0.003886434
31,0.015065666,0.014371578,0.012139338,0.019191673,0.029618561,0.017529478,0.020624957,0.046990216,0.023653348,0.032344064,0.048112798,0.030457705,0.026948261,,0.02612644
32,0.009441131,0.009689497,0.01069301,0.009799833,0.010298067,0.011707013,0.01189789,0.011870745,0.01137675,0.010833261,0.009196041,0.011052662,0.011908485,,0.012233142
33,0.002417426,0.003185955,0.002742642,0.001977359,0.001973394,0.001655539,0.001767022,0.001654673,0.001821163,0.001789185,0.001614224,0.002117382,0.001988936,,0.00153454
34,0.001655599,0.001659444,0.001682783,0.001607879,0.001987091,0.002743594,0.003372095,0.003324511,0.002755298,0.002967037,0.002681382,0.003543823,0.003690523,,0.003347364
