Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,313,175,223,82,110,69,67,437,458,38,475,53,307,337,131,206,50,292,90,258
France,0,0,1,1,0,0,0,388,392,0,212,7,191,179,115,16,0,0,0,100
Niger,6,0,0,0,0,0,0,0,0,0,0,0,40,111,0,24,0,0,0,41
Nigeria,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,14,21,1,37
Togo,156,173,160,68,110,4,13,40,0,31,0,7,0,0,1,10,0,92,45,33
Equatorial Guinea,0,2,6,2,0,0,0,1,2,0,0,1,0,8,4,2,0,0,2,15
Gabon,0,0,1,0,0,0,1,2,2,5,18,14,8,12,2,23,27,16,11,11
Spain,0,0,0,0,0,0,0,0,14,0,38,0,17,0,0,13,0,1,0,7
Congo,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
"Congo, Democratic Republic of the",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
United States of America,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,2,3,2
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1
Belgium,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,31,13,0,0,0,0,2,0,6,0,3,0,0,0,0
Switzerland,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,1,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,6,0,0,0
Cameroon,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,2,131,0,0
Gambia,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,15,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,77,0,25,24,0
HHI,0.312608498,0.961205956,0.579844089,0.724752909,1,0.192577465,0.294641031,0.805888582,0.774212874,0.593060158,0.262989462,0.143373469,0.450666671,0.442159863,0.813064274,0.234201381,0.315487526,0.322819032,0.372735164,0.238467836
