Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,2,208,12,43,217,72,42,0,1,0,1,6,0,0,0,2,5,1,17,0
Togo,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0
Congo,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,12,43,102,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,10,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Lebanon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,114,34,42,0,0,0,0,0,0,0,0,0,2,0,0,0
Senegal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
HHI,1,0.035892819,1,1,0.302007887,0.285569674,1,0,1,0,1,1,0,0,0,1,0.053589838,1,0.158592814,0
