Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0,1,1,0,1,0,1,0,0,0,0,1,0.644260854,0.054092553,0.373590801,0.067129924,0,0.058557078,0.222985244,0.046353472
2,0,0.089113371,0,0,0.955489855,0,0.994601158,1,0,1,0,0.732424858,0.386608164,0.848501418,0.998959609,0.999667808,0.999826729,0.36112772,1,0.04583995
3,0.313861259,0.834324666,0.817020051,0.156691529,0.58172161,1,0.256874811,0.552803746,0.447068086,0.322077883,0.588008885,0.630048022,0.221068657,0.231874811,0.423606533,0.532198791,0.83052688,0.445379794,0.447347996,0.177551117
4,0.46054264,0.90900532,0.21737287,0.19665563,1,0.14642386,0.04642258,0.7444732,1,0.50833818,0.51929801,0.58815922,0.71576623,0.75383189,0.18400351,0.19265922,0.25158285,0.44720686,0.53832372,0.27445156
5,0,0,0,1,1,0,0,0,0,1,0,0,1,0.990834376,0.996590903,1,1,0,0,0
6,1,0,0,0,0,0,1,1,1,0.182901812,0,0.639551884,0.130590976,1,1,0.850214928,0.285648693,0.462442675,0.105956824,0.060660172
7,0.379765602,0.223238337,0.144172502,0.445154908,1,0.332346775,0.434981393,0.519868415,0.443375673,0.763534389,0.440595766,0.512924894,0.196612878,0.484708751,0.415382868,0.144440147,0.161176454,0.284253677,0.149160992,0.352838223
8,0.609572536,0.665588321,0.754332261,0.903693998,0.660829079,0.633356657,0.78944265,0.474106313,0.540889817,0.578971234,0.538669338,0.552616085,0.631009277,0.485361994,0.455026463,0.727775767,0.71997088,0.617181594,0.572645089,0.586493609
9,0.808127429,0.515508205,0.384184021,0.408964665,0.632801494,0.298376315,0.380730329,0.092811472,0.432163529,0.214036447,0.110805894,0.316090295,0.170047422,0.249221211,0.142730544,0.790281509,1,0.416992934,0.154700538,0
10,1,0.047810851,0,1,0.809440732,0.918164023,0.992652754,0.850981623,0.99759095,0.714908466,0.49090606,0.386779815,0.730483811,0.144348154,0.134025076,0.850308832,0.465432103,0.123593169,0.243098562,0.524945785
11,0.333218118,0.259028579,0.549752439,0.449613524,0.456289806,0.450356201,0.517976868,0.555845808,0.586760099,0.451725445,0.361242329,0.332115728,0.731499599,0.185754144,0.554402876,0.585343633,0.295442205,0.408673184,0.541833193,0.457364804
12,0.298572777,0.370974116,0.370992866,0.365493243,0.488335516,0.129762082,0.12178361,0.502639601,0.224984045,0.181302918,0.266266313,0.181238376,0.237395493,0.277306987,0.492204979,0.588325643,0.443598049,0.453675034,0.415448662,0.264559619
13,1,0,0,0,0,1,1,1,0.257151361,1,0.074300818,0,0.192668502,1,0.042972983,0.005358971,0.370162584,0.063450001,0.311150648,0.550297045
14,0.284959256,1,1,0.644260854,0.705097496,0.23317829,0.247031375,1,1,0.957136138,1,0.993239342,1,0.486707987,0.795199737,0.50451083,0.381759184,0.218356334,0.190497457,0.891290478
15,0.40621043,0.482659889,0.930271739,0.722887535,0.640260143,0.79738306,0.992631488,0.832519542,0.624963314,0.723886815,0.781124904,0.991292618,0.856595317,0.650564003,0.84539088,0.69077674,0.616239689,0.348341923,0.380771702,0.384442385
16,0,0,0.907464859,0,0,0,1,0,1,0,0.047810851,1,1,0.150607051,0.812213599,0.717217481,1,1,1,0.964702586
17,0,0.210789232,0.943108189,0.957563096,0.965318733,0.557628365,0.966266283,0.796302832,0.522103444,0.356097693,0.505012293,1,0.868882585,0.643556107,0.994955871,0.99242529,0.251263672,0.951434237,1,1
18,0,0.284959256,0,1,0,0,1,0.052920557,0.132269675,1,0.15466328,0,1,1,0.714782629,0.613288827,1,0.130590976,0.683012702,0
19,0.210753375,1,0.93958611,0.868150797,1,0,1,0,0.040806373,0.377420382,0.590985796,0.199478117,0.702805301,0.581053342,0.378609309,0.341422245,0.283154245,0.86017117,0.359938589,0.569409011
20,0.381673024,0.483115899,0.573218974,0.184567432,0.121949041,0.661399551,0.736978953,0.100550728,0.262517917,0.130186811,0.202923015,0.179693009,0.170035922,0.125455194,0.253791475,0.312231366,0.218279461,0.310974425,0.12697282,0.098723403
21,1,0,0,0,1,0.515175968,0.334707848,0.874843247,0.529891065,0.849787178,0.596125716,0.292247969,0.34636185,0.139107016,0.523012298,0.24654313,0.266867169,0.893802138,0.54043858,0.864616828
22,0.153012355,0.232810162,0.349357443,0.118604269,0.570733063,0.445281152,0.6907764,0.311896233,0.262059174,0.348599592,0.29008434,0.237287404,0.472994705,0.319899194,0.355574051,0.402056334,0.432757611,0.725871215,0.781081772,0.524291431
23,0.226563099,0.362062853,0.358874392,0.452018206,0.453284838,0.250116449,0.351789947,0.211361744,0.299042302,0.26872197,0.230244671,0.283730976,0.632132239,0.256242688,0.394610482,0.305515718,0.361904096,0.573543679,0.458987997,0.554664553
24,0.6968022,0.225690934,0.285255501,0.211916419,0.244335383,0.308409601,0.435869885,1,0.617167237,0.232950911,0.406782508,0.422276563,0.967502188,0.700998825,1,0.724553221,0,1,0,0
25,0.838552864,0.955044014,0.935398016,0.927075238,0.936744656,0.876018305,0.455974186,0.830522167,0.824105649,0.415355453,0.36191611,0.627858913,0.717881748,0.383045089,0.563439905,0.840924021,0.415781623,0.450106123,0.69801199,0.630356235
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
27,0.03190822,0.377699287,0.462168356,0.245200745,0.769763895,0.840879109,0.046129764,0.181070349,0.243466965,0.404794525,0.679695085,0.21395801,0.338009699,0.26936992,0.227849667,0.195786213,0.178003637,0.159636503,0.216399277,0.649033474
