Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0,1.01E-05,1.73E-05,0,4.01E-05,0,1.41E-05,0,0,8.69E-06,0,1.03E-06,1.44E-05,1.47E-05,4.18E-05,9.45E-06,4.70E-06,1.18E-05,1.27E-05,2.76E-05
2,0,0.000348628,0,0,0.02097767,0,0.15747341,0.177603755,0,6.52E-05,0,0.000426509,0.000319843,5.38E-05,0.031098995,0.032382983,0.023162946,2.01E-05,3.90E-06,8.52E-05
3,0.007122706,0.002470568,0.004399783,0.005277175,0.001406772,7.84E-05,0.000359705,0.002507951,0.003242475,0.000808102,0.000558127,0.000969715,0.000383811,0.000274047,0.00013213,5.46E-05,4.70E-05,0.000145492,6.24E-05,0.000262925
4,0.000729212,0.000124031,0.000954212,0.001141374,4.74E-05,0.000546235,0.000282122,0.000462632,1.03E-05,0.0025503,0.008531363,0.009512292,0.006102602,0.003611548,0.000510991,0.000500995,0.000606581,0.000500351,0.00049113,0.000912434
5,0,0,0,4.48E-06,1.09E-05,0,0,0,0,2.17E-06,0,0,1.60E-06,0.000910228,0.00134961,0.000808734,0.001260185,0,0,0
6,6.63E-05,0,0,0,0,0,2.35E-06,5.62E-06,2.57E-06,1.74E-05,3.32E-06,5.16E-06,9.60E-06,4.89E-06,1.21E-05,0.000273079,1.29E-05,1.42E-05,1.07E-05,9.60E-06
7,0.000257802,8.72E-05,3.12E-05,5.37E-05,4.74E-05,3.09E-05,3.06E-05,3.75E-05,9.26E-05,8.91E-05,9.80E-05,5.99E-05,0.000198303,0.000895546,0.000794126,0.000191155,0.000178683,0.000110006,0.000178327,0.00027373
8,0.064391624,0.057503553,0.070563089,0.074672694,0.095995802,0.088886725,0.078516885,0.060818278,0.133816445,0.128155833,0.128681393,0.092337704,0.145245455,0.134515487,0.132903508,0.150215575,0.091245831,0.071099482,0.050984015,0.039098995
9,0.000346192,0.00010727,9.72E-05,0.000631113,0.001541618,0.00056761,5.64E-05,4.87E-05,0.000141537,0.000278057,0.000245841,0.000136318,3.52E-05,8.32E-05,0.00012404,0.000657491,4.70E-06,1.06E-05,1.17E-05,1.20E-06
10,3.68E-06,1.68E-05,0,6.27E-05,0.013313313,0.026739403,0.089583118,0.189006597,0.02349508,0.030844727,0.024834971,0.008069596,0.000294255,0.000127236,6.20E-05,0.000221614,0.000617161,0.000221195,0.000231923,0.001289413
11,0.000578214,0.00117662,0.016228539,0.011297361,0.008859749,0.003313036,0.002658999,0.000988946,0.001338164,0.010785553,0.007046348,0.003058887,0.002968142,0.001602686,0.001450729,0.001579658,0.001387144,0.001691493,0.001941135,0.001129737
12,0.033344873,0.020461798,0.021849713,0.030669382,0.018379151,0.006754318,0.005078195,0.011408461,0.008844752,0.009258414,0.011433289,0.007052377,0.009289837,0.029756123,0.044375324,0.054916212,0.073458654,0.072406545,0.049565194,0.061452427
13,4.79E-05,0,0,0,0,2.37E-06,4.47E-05,3.56E-05,9.78E-05,1.96E-05,1.33E-05,0,4.32E-05,0.000518732,3.10E-05,1.58E-05,1.53E-05,1.54E-05,2.05E-05,5.28E-05
14,1.47E-05,2.01E-05,2.08E-05,4.03E-05,4.01E-05,9.50E-05,0.000155167,0.002060303,0.002763824,0.001203464,0.00120263,0.000519453,1.44E-05,0.00184003,0.000624245,0.000134439,0.001718647,8.52E-05,0.000271876,0.000232911
15,0.019644528,0.011122583,0.03240156,0.069149341,0.077970166,0.094588946,0.076455044,0.032843106,0.042648845,0.043166108,0.02797111,0.007069933,0.042858948,0.061797602,0.059563487,0.050290672,0.039062197,0.020405556,0.021371969,0.020262037
16,0,0,0.001009729,0,0,0,9.40E-06,0,1.03E-05,0,6.81E-05,1.03E-06,1.60E-06,0.000212876,6.61E-05,7.25E-05,9.52E-05,3.55E-06,6.82E-06,7.92E-05
17,0,0.000472659,0.009500479,0.021815903,0.029866575,0.016358558,0.020333938,0.009378126,0.016930354,0.023908519,0.019948041,0.009225199,0.006059424,0.014035122,0.006946242,0.003879824,0.000125783,0.001937528,0.003520742,0.000422601
18,0,1.01E-05,0,4.48E-06,0,0,7.05E-06,7.12E-05,0.000141537,2.17E-06,3.65E-05,0,5.60E-05,0.000127236,4.31E-05,3.57E-05,8.23E-06,3.55E-06,5.85E-06,3.60E-06
19,0.001289011,0.00033522,0.000777249,0.001248797,0.000287915,0,0.000108147,0,0.001037077,0.015482102,0.003868681,0.000666098,0.000972322,0.001377576,0.001638137,0.000416971,0.000784089,0.001505784,0.001832969,0.002756511
20,0.00256329,0.000127383,0.000315757,0.000671396,0.00025147,0.000577109,0.001074414,0.000103015,0.000319101,0.00046922,0.00083719,0.000522551,0.000887564,0.00255451,0.006744003,0.010647985,0.017885923,0.016441785,0.005943263,0.004754261
21,0.000364606,0,0,0,6.20E-05,0.000387115,0.000129306,0.000200411,0.000337115,0.000332364,0.000828884,4.65E-05,0.000177513,0.000176173,0.000122692,0.000118684,0.00022688,0.001176948,0.000324497,0.000267727
22,0.002596436,0.00082464,0.001013199,0.000250655,0.001971668,0.002778675,0.005357966,0.001105072,0.003203875,0.000425774,0.001416911,0.000380037,0.000849183,0.001896307,0.001148719,0.000350802,0.000665359,0.001776659,0.002057096,0.002769717
23,0.025570295,0.02250999,0.016245888,0.019488396,0.016870333,0.02685815,0.020145857,0.018259905,0.015715712,0.016274998,0.026085772,0.009303685,0.011103346,0.017015383,0.01198065,0.015238865,0.018310295,0.037708465,0.032530569,0.033910128
24,0.036095991,0.064734238,0.067218143,0.157590135,0.09316039,0.033519845,0.035340474,1.87E-05,0.002045848,0.001092675,0.001410266,0.00040792,0.000164719,0.000663096,3.51E-05,3.57E-05,0,2.37E-06,0,0
25,0.018977925,0.039914586,0.040760455,0.044012264,0.016451217,0.000579484,0.000481958,0.000584377,0.000983036,0.010001347,0.026735259,0.045137691,0.059693878,0.041363971,0.029220867,0.020842239,0.029215829,0.021730362,0.0117959,0.002105802
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35E-06,2.37E-06,0,9.60E-06
27,0.001038575,0.001438092,0.00673847,0.003809055,0.030639207,0.002740676,8.46E-05,0.074700975,0.116693087,0.081577015,0.061820821,0.109421827,0.036337351,0.035694624,0.024932048,0.027102053,0.030109243,0.04466606,0.036406991,0.042138841
28,0.000405118,0.00044249,0.000180433,0.000237227,1.46E-05,1.19E-05,4.47E-05,7.49E-06,4.89E-05,1.74E-05,6.31E-05,0.000327369,6.88E-05,2.69E-05,6.07E-05,0.00013759,0.000183385,0.000250767,0.00025531,0.000120057
29,7.37E-05,8.38E-05,6.94E-05,3.58E-05,7.29E-06,0,0.00053133,0.000138602,7.72E-06,2.17E-06,3.32E-06,0.00112049,4.32E-05,4.65E-05,8.09E-05,0,1.18E-05,0,0,0.00010445
30,0.000813918,0.000938615,0.001079127,0.000671396,0.000827299,0.000529611,0.002254624,0.003689816,0.003988759,0.004959399,0.001166086,0.001484004,0.001290566,0.000951824,0.00846034,0.004531013,0.003744112,0.003200825,0.004002128,0.005092822
31,0,0.0061848,0,0,0,0,0,3.00E-05,0,0,5.15E-05,0,0,0,0.000169881,0,0,0.000716815,7.80E-06,6.12E-05
32,0.003826521,0.003831559,0.005451151,0.006566256,0.003403951,0.00093335,0.000947459,0.00066117,0.000772018,0.001740026,0.002408582,0.001675056,0.001976629,0.003171115,0.00208576,0.001567054,0.001943176,0.001838168,0.000948155,0.000941248
33,0.001152744,0.000586634,0.000773779,0.00036703,0.000400894,0.000163871,0.000157518,0.000818502,0.001178614,8.25E-05,0.000789018,5.47E-05,0.000490959,0.000824588,0.000176622,0.000216363,5.88E-05,0.000345396,8.77E-05,0.000309747
34,0.001513667,0.002242618,0.000905634,0.000138755,6.20E-05,0.001099595,0.001530511,0.000254728,0.001322724,0.000286746,0.000803968,0.000805514,0.000375815,0.005429556,0.000910076,0.000843394,0.000693572,0.000881232,0.002336767,0.002087793
35,0,0,0,0,0,0,7.99E-05,0,0,0.000212887,0.000377068,0.000268505,0.000228688,0,0,7.35E-06,0,7.10E-06,8.77E-06,1.20E-05
