Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0,3,5,0,11,0,6,0,0,4,0,1,9,6,31,9,4,10,13,23
2,0,104,0,0,5756,0,66981,94823,0,30,0,413,200,22,23066,30832,19704,17,4,71
3,1934,737,1268,1179,386,33,153,1339,1260,372,336,939,240,112,98,52,40,123,64,219
4,198,37,275,255,13,230,120,247,4,1174,5136,9211,3816,1476,379,477,516,423,504,760
5,0,0,0,1,3,0,0,0,0,1,0,0,1,372,1001,770,1072,0,0,0
6,18,0,0,0,0,0,1,3,1,8,2,5,6,2,9,260,11,12,11,8
7,70,26,9,12,13,13,13,20,36,41,59,58,124,366,589,182,152,93,183,228
8,17484,17154,20336,16683,26340,37427,33397,32471,52000,58995,77468,89413,90823,54975,98574,143021,77620,60108,52320,32567
9,94,32,28,141,423,239,24,26,55,128,148,132,22,34,92,626,4,9,12,1
10,1,5,0,14,3653,11259,38104,100911,9130,14199,14951,7814,184,52,46,211,525,187,238,1074
11,157,351,4677,2524,2431,1395,1131,528,520,4965,4242,2962,1856,655,1076,1504,1180,1430,1992,941
12,9054,6104,6297,6852,5043,2844,2160,6091,3437,4262,6883,6829,5809,12161,32913,52286,62489,61213,50864,51186
13,13,0,0,0,0,1,19,19,38,9,8,0,27,212,23,15,13,13,21,44
14,4,6,6,9,11,40,66,1100,1074,554,724,503,9,752,463,128,1462,72,279,194
15,5334,3318,9338,15449,21394,39828,32520,17535,16573,19871,16839,6846,26800,25256,44178,47882,33229,17251,21932,16877
16,0,0,291,0,0,0,4,0,4,0,41,1,1,87,49,69,81,3,7,66
17,0,141,2738,4874,8195,6888,8649,5007,6579,11006,12009,8933,3789,5736,5152,3694,107,1638,3613,352
18,0,3,0,1,0,0,3,38,55,1,22,0,35,52,32,34,7,3,6,3
19,350,100,224,279,79,0,46,0,403,7127,2329,645,608,563,1215,397,667,1273,1881,2296
20,696,38,91,150,69,243,457,55,124,216,504,506,555,1044,5002,10138,15215,13900,6099,3960
21,99,0,0,0,17,163,55,107,131,153,499,45,111,72,91,113,193,995,333,223
22,705,246,292,56,541,1170,2279,590,1245,196,853,368,531,775,852,334,566,1502,2111,2307
23,6943,6715,4682,4354,4629,11309,8569,9749,6107,7492,15704,9009,6943,6954,8886,14509,15576,31879,33383,28245
24,9801,19311,19372,35208,25562,14114,15032,10,795,503,849,395,103,271,26,34,0,2,0,0
25,5153,11907,11747,9833,4514,244,205,312,382,4604,16095,43708,37327,16905,21673,19844,24853,18371,12105,1754
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8
27,282,429,1942,851,8407,1154,36,39883,45346,37553,37217,105956,22722,14588,18492,25804,25613,37761,37361,35099
28,110,132,52,53,4,5,19,4,19,8,38,317,43,11,45,131,156,212,262,100
29,20,25,20,8,2,0,226,74,3,1,2,1085,27,19,60,0,10,0,0,87
30,221,280,311,150,227,223,959,1970,1550,2283,702,1437,807,389,6275,4314,3185,2706,4107,4242
31,0,1845,0,0,0,0,0,16,0,0,31,0,0,0,126,0,0,606,8,51
32,1039,1143,1571,1467,934,393,403,353,300,801,1450,1622,1236,1296,1547,1492,1653,1554,973,784
33,313,175,223,82,110,69,67,437,458,38,475,53,307,337,131,206,50,292,90,258
34,411,669,261,31,17,463,651,136,514,132,484,780,235,2219,675,803,590,745,2398,1739
35,0,0,0,0,0,0,34,0,0,98,227,260,143,0,0,7,0,6,9,10
36,0,0,0,0,0,0,168,55,6,0,47,93,0,0,0,0,141,5,59,1
37,0,0,8,16,0,0,0,0,7,0,12,12,0,1,0,0,0,0,0,0
38,16,109,121,6,13,2,106,169,110,199,51,1945,300,272,679,174,56,131,287,299
39,177,146,146,616,1266,1531,1409,1594,3360,1621,2875,2734,2628,3337,4186,1470,3466,2545,2225,2574
40,190,316,185,124,9,25,206,51,57,60,651,122,250,297,376,732,115,680,509,143
41,286,11,0,0,0,0,0,0,264,61,133,90,51,151,94,98,317,99,62,68
42,0,0,0,0,3,0,10,29,47,14,8,12,4,30,25,26,14,4,7,45
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,50,85,79,0,0
44,4616,3656,4283,5315,4006,4956,4485,4937,6423,15657,17755,12634,12297,5636,7935,7239,25397,21148,31398,25858
46,85,6,0,0,0,2,16,0,0,711,3,34,0,1,0,5,2,37,4,4
47,0,0,0,0,0,28,0,0,0,0,0,5,5,85,21,7,8,7,4,22
48,451,144,846,471,1553,375,415,267,36,381,326,204,121,146,199,319,346,260,350,338
49,621,1770,107,281,1813,1308,388,394,343,659,92,424,132,794,387,488,446,378,97,276
51,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,21,0
52,190694,207060,169754,94497,134106,167818,135407,118842,126636,161902,248783,307504,273377,186165,364716,460254,466899,472544,637266,543323
53,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,2,0,0,0,0
54,0,0,0,0,1,11,259,15,3,13,0,0,0,0,0,0,45,96,4,40
55,550,259,19,29,3,5,884,0,10,0,16,6,0,43,1,7,7,9,43,40
56,4,8,27,27,227,143,185,0,6,2,46,3,0,2,6,0,1,4,0,0
57,0,0,0,0,0,3,0,23,0,0,11,8,0,0,5,1,0,0,6,5
