Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,106,92,79,125,172,97,155,68,89,47,127,53,59,29,55,63,47,119,101,76
France,42,26,17,42,92,59,87,14,17,10,36,17,23,17,28,10,19,31,52,35
China,11,9,25,50,37,12,49,19,25,16,10,11,17,5,20,27,15,27,30,25
Togo,1,5,1,7,8,2,0,0,1,1,1,0,3,0,0,0,0,6,0,4
Italy,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,2
Nigeria,6,1,2,1,20,6,0,12,26,10,25,11,2,2,5,18,8,7,4,2
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Germany,0,1,0,2,0,1,1,0,0,1,4,0,0,0,0,1,0,0,0,1
United Arab Emirates,3,3,1,0,2,3,4,2,0,1,3,3,0,0,0,0,1,0,0,1
United States of America,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Korea, Democratic People's Republic of",15,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna Islands,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,1,1,4,0,0,8,1,0,0,0,3,2,0,2,0
Brazil,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",5,3,2,14,5,2,13,0,15,6,12,1,0,0,0,0,0,0,1,0
Côte d'Ivoire,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Japan,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,0,0,2,0
Netherlands,4,15,0,0,0,0,0,1,3,0,2,0,14,0,0,0,0,0,0,0
Norway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0
Singapore,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,4,8,0,0,1,1,0,1,0,0
Switzerland,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,2,1,0
HHI,0.24840679,0.197972318,0.294813887,0.340310321,0.402176725,0.477417657,0.408883977,0.179285052,0.16424661,0.186092546,0.171168986,0.139073237,0.173580963,0.277259254,0.264911064,0.264473568,0.23310976,0.253182608,0.424246538,0.355996649
