Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.697910395,0.889084226,0.323143431,0.07987901,0.609154658,0.038579474,0.807307705,0.499428332,0.316924496,0.021365138,0.262267567,0.411750394,0.595691308,0.463935611,0.310909595,0.266098209,0.243148592,0.580143781,0.418553426,0.41842304
2,0.506372249,0.462489321,0.352487575,0.435265108,0.304370688,0.267508054,0.236354127,0.242584024,0.246824613,0.234764162,0.228779375,0.198757277,0.241700129,0.256245834,0.219139294,0.172777574,0.181377465,0.205252184,0.148642951,0.13321788
3,0.436071613,0.270974178,0.352173506,0.432350168,0.71533844,0.377561713,0.411937426,0.467449185,0.368627183,0.243764641,0.23152675,0.34915866,0.207832893,0.274260356,0.295695846,0.427660096,0.528153249,0.269139326,0.209379577,0.200519382
4,0.386643103,0.383967927,0.380250818,0.316759535,0.313863823,0.293658298,0.358373353,0.450931347,0.384992653,0.303301866,0.308566796,0.314952162,0.31686564,0.286761985,0.214567573,0.292245224,0.286158503,0.37577175,0.404327492,0.376424369
5,0.928146661,1,0,0,1,0,1,0.644260854,0.096740734,0.258901771,0.28327877,0.223790501,0.296824895,0.27203014,0.233639806,0.247435832,0.311064141,0.191381919,0.164115943,0.176921207
6,0.376803649,0,0,0,1,0.082863336,0,0.060660172,0.284959256,1,0,1,1,0.432153903,0.130590976,0.848501418,0.505610159,1,0.197506746,0.194736842
7,0.335066703,0.169783129,0.29388241,0.14085259,0.164961696,0.165482025,0.140098237,0.241538901,0.238478888,0.186796247,0.188181599,0.215332889,0.258805128,0.339485841,0.213661377,0.265726189,0.20844684,0.283272099,0.278361885,0.177197707
8,0.626794564,0.655027279,0.72382236,0.851713848,0.850467004,0.900680388,0.886122922,0.829736036,0.86734958,0.853653805,0.758522974,0.555997507,0.446310726,0.35488952,0.414178097,0.378455411,0.242975941,0.294873257,0.412259687,0.342105363
9,0.30477932,0.30559535,0.22964533,0.16404018,0.15516179,0.15834852,0.20697964,0.32409656,0.54593649,0.25223552,0.23544985,0.2145831,0.23128117,0.32306349,0.36674706,0.29911121,0.56232384,0.33357713,0.37496045,0.44130529
10,0.520278692,0.567067109,0.497166144,0.285577964,0.421448976,0.441262131,0.356969315,0.491397763,0.452425032,0.283913882,0.508059232,0.533062062,0.534036506,0.534883455,0.533307491,0.471420755,0.504757482,0.515984243,0.551441598,0.543570471
11,0.60318556,0.5546715,0.41197485,0.54747136,0.54888371,0.53688557,0.56090798,0.65130202,0.60192307,0.66013962,0.42114477,0.40839243,0.42034228,0.49610632,0.63005148,0.58911017,0.51166075,0.70118626,0.59015725,0.38262129
12,0.80353391,0.58619314,0.54328147,0.87025283,0.45507391,0.47006327,0.34795129,0.5667408,0.57331045,0.40260533,0.41391911,0.54684543,0.33087821,0.2447941,0.35457209,0.42888774,0.42184953,0.57949634,0.29424149,0.5797532
13,0.308724634,0.495689616,0.801513188,0.936790651,0.864927548,0.796635136,0.725153708,0.455071015,0.76793624,0.124579391,0.855801828,0.421361985,0.667639221,0.679255743,0.501667816,0.641591449,0.741925796,0.331628067,0.730551252,0.392180292
14,0.48529672,0.15794326,0.04781085,0.08286334,1,0.29388518,0.28495926,0.10945067,0.14897006,1,1,0,1,1,1,1,1,0.07280666,0.02194386,0.5526222
15,0.460318323,0.431457127,0.420235112,0.364882936,0.576718072,0.476708638,0.560116886,0.709213152,0.65654198,0.615881383,0.617124608,0.376473573,0.736381469,0.514217757,0.504081695,0.385558264,0.331062123,0.362764893,0.405983125,0.545192846
16,0.192058959,0.384485942,0.422073891,0.374379967,0.31003534,0.339728236,0.372190869,0.395388579,0.351636965,0.382063053,0.452657741,0.266861085,0.325804445,0.315589658,0.180335313,0.363346003,0.347990971,0.232065277,0.242548709,0.191213013
17,0.486464304,0.386996558,0.266534773,0.253916878,0.279282976,0.311546925,0.291573035,0.311325752,0.353469423,0.401418189,0.363104505,0.491205054,0.648800378,0.761390468,0.841146553,0.699364288,0.488570084,0.670473119,0.585324727,0.420093964
18,0.319257029,0.280551791,0.165242113,0.184968747,0.21018507,0.329325798,0.470459968,0.275404078,0.263207767,0.204565751,0.323181335,0.424295776,0.276458121,0.418796166,0.476049427,0.773618008,0.642996726,0.305729842,0.430475692,0.450356501
19,0.399531743,0.255376408,0.313414385,0.271640237,0.295569215,0.273023356,0.29888175,0.266725905,0.210159387,0.195587266,0.210206039,0.200072763,0.285887188,0.256219744,0.379618975,0.37324046,0.408402339,0.300590694,0.344773795,0.328125223
20,0.581760191,0.288602206,0.302933422,0.229111893,0.48812111,0.646351717,0.639955702,0.539151081,0.410309267,0.33219099,0.444243007,0.449841879,0.393126883,0.415630418,0.431958055,0.382797717,0.554224843,0.605332319,0.647663447,0.590908403
21,0.35318967,0.32413755,0.35017028,0.45126272,0.41930884,0.3661087,0.34071621,0.38053003,0.210922,0.2566087,0.29532913,0.2568894,0.28852845,0.3322811,0.28639785,0.3188042,0.27193596,0.30099453,0.33159467,0.31260543
22,0.298746551,0.306288101,0.266526491,0.27131222,0.264290688,0.236255506,0.223120109,0.277139582,0.285461538,0.294296404,0.289918733,0.269181981,0.270254468,0.253571388,0.27265342,0.371712706,0.458499989,0.488149908,0.478718989,0.3762821
23,0.21698321,0.160419601,0.193549233,0.27706781,0.209936966,0.212222626,0.348354755,0.324163331,0.29005667,0.254149902,0.390623291,0.316297296,0.288001611,0.26821589,0.263693942,0.321424698,0.338076288,0.309036998,0.369816507,0.332670427
24,0.589448922,0.684074435,0.542952155,0.565458154,0.358069778,0.423441318,0.282690242,0.327426419,0.327696091,0.298986682,0.410548636,0.374340232,0.332401795,0.35081444,0.643082983,0.755637099,0.798862022,0.504150374,0.674756476,0.578687218
25,0.276958259,0.229295521,0.294564996,0.387553192,0.262709953,0.463753403,0.329985882,0.202398191,0.189638794,0.272725009,0.243567773,0.416730002,0.38875721,0.353644276,0.259124077,0.253459329,0.278530385,0.399198539,0.166587073,0.273460146
26,0,1,0,0,1,1,1,1,0,0,0.998167849,0.785775455,1,0.975758808,0.414937492,0.962983765,0.448453252,0.997284921,0.067795411,0.995222372
27,0.278006606,0.276915043,0.29466398,0.28645139,0.233169142,0.28169129,0.358784364,0.273953435,0.341453271,0.27005145,0.405666914,0.282254684,0.295581335,0.28980665,0.356348061,0.247816998,0.188041744,0.153556901,0.1922613,0.20099629
28,0.302980863,0.211715772,0.183659213,0.16809117,0.197907548,0.1823939,0.178321473,0.243870919,0.223613637,0.165346775,0.20536238,0.156567399,0.137628744,0.222241728,0.235080427,0.183691799,0.297501559,0.27510958,0.375677262,0.47730828
29,0.191873997,0.379600193,0.194810534,0.291179567,0.191466382,0.173838391,0.210534521,0.233421856,0.347904123,0.163688703,0.182395553,0.165862374,0.173045619,0.12003775,0.172179353,0.255246548,0.229880779,0.233233575,0.216202043,0.189115329
30,0.75570418,0.75515197,0.72087704,0.72364929,0.70993165,0.740629,0.71842383,0.69387982,0.74054238,0.71402654,0.70496735,0.70867776,0.76060534,0.76258681,0.66660661,0.62083187,0.59226565,0.53408862,0.58537412,0.54800555
31,0.351115787,0.365705507,0.5359539,1,0.496748761,0.189964548,0.923259451,0.352379778,0.88452106,0.520176604,0.891666383,0.306017683,0.868588467,0.623163614,0.469433666,0.725899208,0.500759949,0.837300769,0.578177122,0.632311876
32,0.358846031,0.260373782,0.279339787,0.327114141,0.262188953,0.373211508,0.45170409,0.410953638,0.268924406,0.307796201,0.246164892,0.224170458,0.249697471,0.274097394,0.254211209,0.263715751,0.417346039,0.379233512,0.274421949,0.190893088
33,0.3951217,0.34950169,0.45156114,0.4334847,0.34529875,0.32690022,0.45966395,0.39472132,0.47245988,0.28494876,0.30372672,0.28793873,0.27826604,0.34068192,0.29289598,0.30834685,0.34606022,0.26313918,0.35645366,0.23755014
34,0.23315809,0.22073654,0.25070432,0.35160835,0.3080325,0.44224022,0.56300727,0.45601019,0.34849189,0.26460564,0.23490318,0.3075129,0.27983406,0.25234366,0.21544714,0.26263053,0.20910272,0.26433434,0.24330228,0.23882942
35,0.301850243,0.432943518,0.535638079,0.366673105,0.53440908,0.47897541,0.328134059,0.479606506,0.549164378,0.288352584,0.393405083,0.435986465,0.409605046,0.41089362,0.290292281,0.305023828,0.306154456,0.404955216,0.275811847,0.254170253
36,0.351052436,0.20915503,0.318095022,0.128989283,0.244814212,0.488177627,0.389724862,0.416808591,0.338105592,0.155993709,0.215728254,0.351980667,0.574808241,0.524975654,0.214690258,0.418724296,0.444309651,0.541888592,0.580382663,0.348296528
37,0.269184792,0.496194941,0.201735019,0.254703101,0.08797636,0.338865937,0.289184395,0.204192926,0.24786801,0.320370126,0.206657076,0.667600372,0.474586445,0.595957952,0.425787953,0.370124334,0.276833016,0.15409499,0.488214956,0.276966068
38,0.608953628,0.546090111,0.376292324,0.413656853,0.302054505,0.376786669,0.343332103,0.398755325,0.505745963,0.306366212,0.23946561,0.341433912,0.413342695,0.278203499,0.417925802,0.51484914,0.496282854,0.47604221,0.511670239,0.501813991
39,0.238690914,0.26520668,0.289400421,0.312323066,0.328547703,0.334294723,0.357885839,0.287041685,0.277356254,0.290231356,0.230056146,0.240737884,0.224687597,0.207914564,0.187028461,0.288306801,0.210468583,0.224043762,0.183129935,0.154560849
40,0.324193771,0.283327683,0.295561737,0.340404002,0.301771139,0.311906874,0.297987491,0.350222302,0.31069342,0.350370296,0.344863437,0.342313828,0.308594784,0.355823767,0.421356559,0.337454845,0.408940274,0.36889415,0.323174966,0.420892614
41,0.932385247,1,0,0.130590976,0.130590976,0.896685158,0,1,0.561226595,0,1,0.822206998,0.471560964,0.291652951,0.383412939,0.57075408,0.841909124,0.591981468,0.697832338,0.440257224
42,0.336825463,0.448248667,0.437214003,0.552598517,0.547159853,0.774304866,0.879601948,0.670268568,0.696315314,0.766583024,0.726604027,0.826631698,0.890090902,0.874967032,0.860765602,0.781989584,0.833983527,0.705701314,0.688059959,0.653421413
43,1,0,0,1,0,0.48284271,1,1,0,0,0,0.69276768,0.25487531,1,0.5526222,1,0,1,0,1
44,0.15288626,0.19427,0.27408948,0.15099659,0.2279705,0.21990442,0.29694591,0.21258576,0.18597698,0.17751678,0.24946818,0.22840922,0.27828328,0.26833369,0.22026549,0.24585354,0.38264474,0.17637257,0.19345051,0.27671669
45,1,1,0,0.6252817,1,0,1,1,0,0,0,1,0.445154908,0.181767729,0.456862718,0,1,0.372641084,1,1
46,0.945735988,0.375402164,0.456678956,0.300866508,0.17159187,0.90001855,0.991073997,0.393376467,0.295221396,0.348399725,0.463161445,0.236662547,0.304342123,0.789131363,0.054914189,0.486416227,0.313509101,0.22111599,0.713628226,0.065847389
47,0,0,0,1,1,0.884370176,1,1,0.520277128,0.199164598,0.334881938,0.319932658,0.639551884,0.456143463,0.804737854,1,0.815895431,0.552622199,0.7805045,0.603972359
48,0.239540837,0.154034515,0.144461494,0.154744119,0.176006629,0.18712816,0.19192179,0.185039733,0.188190074,0.186513066,0.152057641,0.192923414,0.174601928,0.237321181,0.188825878,0.210274315,0.215804255,0.207934551,0.21299631,0.245292716
49,0.561032388,0.595231263,0.367237035,0.493957548,0.569097146,0.619972176,0.512347398,0.49364488,0.514154136,0.615924017,0.47412353,0.38734874,0.411685287,0.461820075,0.436527633,0.512072945,0.477536841,0.486347424,0.277797718,0.426306738
50,0,0,0,0.715949983,0,0.487310034,0,1,0,0.746074731,0.341810243,0,0.130590976,0,1,0.72838822,0,1,1,0.612280988
51,0.347908543,0.880321105,0,0.194905903,0,0.092851617,0.34754754,0.620749896,0.30998068,0.275934859,0.409611034,0.279274486,0.205992787,0.953645016,0.238939726,0.330084606,0.790277407,0.43641434,0.336741654,1
52,0.459489751,0.422498632,0.481550103,0.453366439,0.433871197,0.458678969,0.394444784,0.39008127,0.300808533,0.315395422,0.330910181,0.29294611,0.362403668,0.324919434,0.369444677,0.349834859,0.314850048,0.509093928,0.625941652,0.595047102
53,0.206688303,0.356437928,0.445970115,0.457697225,0.413996998,0.177722398,0.1227603,0.127197142,0.677488313,0.312519095,0.1786099,0.20918584,0.307196422,0.278633714,0.289142021,0.198203781,0.17617301,0.181194346,0.220821362,0.484610953
54,0.404184823,0.209196089,0,0.905914693,0.650006604,0.754632286,0.586233786,0.661310231,0.654004649,0.703236996,0.355477808,0.502564277,0.820867487,0.771972989,0.836103781,0.475781804,0.454467771,0.611008843,0.761449349,0.816378815
55,0.643193109,0.574187547,0.604159462,0.463116295,0.484291894,0.814560867,0.582519214,0.781628663,0.605315333,0.38142995,0.524905784,0.554354651,0.531911435,0.71067443,0.734531115,0.675067115,0.531762973,0.722733757,0.79360685,0.825790384
56,0.704184319,0.539603836,0.500800272,0.425360649,0.33188223,0.4419911,0.61779548,0.520444902,0.325113112,0.314045838,0.352671346,0.431771094,0.302408479,0.324231472,0.540455833,0.336624018,0.382235205,0.391141911,0.490705976,0.56283926
57,0.261123313,0.208219761,0.311711212,0.310988341,0.339243963,0.42430133,0.299028148,0.2019905,0.364283013,0.423357572,0.220008415,0.416972436,0.151891093,0.380775163,0.443805719,0.245169242,0.195601675,0.603829072,0.681191447,0.410112913
58,0.520592804,0.72538562,0.896945497,0.838603872,0.819525188,0.738314254,0.897250845,0.943249258,0.709064122,0.480159734,0.501387466,0.510831009,0.534395524,0.416125562,0.338655536,0.513692249,0.488418708,0.578044404,0.550472481,0.566342532
59,0.372741385,0.321298848,0.749533265,0.389949539,0.381854537,0.334298869,0.335695187,0.24622887,0.276298302,0.200254418,0.262357767,0.394154169,0.447141254,0.504758589,0.312803495,0.302529753,0.25033167,0.34360317,0.424659894,0.18445067
60,0,1,0.130590976,0.487310034,0.552622199,1,1,0,0.631554187,0.390292973,0.670779529,0.480861651,0.999509628,0.545190107,0.384144189,0.68358084,0.891699168,0.558238942,0.47130694,0.299745021
61,0.450276755,0.726687765,0.836080342,0.707936789,0.761186944,0.832261917,0.721528286,0.609857266,0.515476988,0.517028581,0.537209482,0.542842621,0.427756325,0.391441127,0.396148694,0.324519424,0.344733956,0.487545043,0.294353798,0.474693357
62,0.361385007,0.470600737,0.633489255,0.574970393,0.669399346,0.58345101,0.654119114,0.739609525,0.862592219,0.799956234,0.659846163,0.606027298,0.43816469,0.280497486,0.355528604,0.358066597,0.32038063,0.610966396,0.546678474,0.349045769
63,0.446102425,0.446112438,0.392941928,0.324091682,0.260727515,0.271407046,0.299388177,0.316998625,0.286371362,0.34032566,0.339841555,0.312484418,0.299817676,0.221463666,0.206009514,0.214394322,0.217543415,0.35878394,0.176025071,0.184248065
64,0.410816532,0.483052496,0.538265663,0.632588052,0.551205073,0.62622145,0.749271323,0.553615139,0.669083416,0.690604281,0.630051355,0.710855329,0.685502661,0.7460925,0.651207908,0.623644898,0.710359761,0.556626958,0.546343022,0.546260224
65,0.45152003,0.606977678,0.398782224,0.46831493,0.399456565,0.59767852,0.562015649,0.671387231,0.486651543,0.516787591,0.385639574,0.439080732,0.377914403,0.756553054,0.653617211,0.605121807,0.631820702,0.669336748,0.694956379,0.547683854
66,0.319402369,0.173974992,0.35636946,0.460003012,0.253716798,0.264063696,0.287382608,0.373949959,0.574930131,0.182306054,0.427465589,0.472500052,0.775691257,0.526639651,0.72526331,0.212166974,0.613688148,0.472833068,0.412110015,0.324815704
67,0.5700279,0.42798604,0.40725595,0.30773996,0.32581857,0.52436254,0.49761558,0.30361368,0.22312389,0.26213622,0.26192015,0.31973708,0.45263074,0.35993161,0.26058469,0.30222024,0.3247689,0.18452096,0.26362755,0.56934285
68,0.228036651,0.28645826,0.263770885,0.231613543,0.26029957,0.214596102,0.297200103,0.27525118,0.247022357,0.218935017,0.236582163,0.155892889,0.249168834,0.269238989,0.119639898,0.186660605,0.25933703,0.540264861,0.261226387,0.327255493
69,0.289798368,0.248828568,0.296692332,0.297329515,0.259412477,0.258497778,0.335393241,0.308676011,0.320840456,0.389196052,0.466670993,0.561088821,0.550296414,0.596595461,0.564585518,0.529639115,0.522409981,0.372206195,0.252304024,0.206490828
70,0.35330838,0.27728484,0.23735623,0.34423396,0.29313024,0.34011945,0.30196098,0.30589251,0.25766543,0.26732327,0.23812374,0.52254566,0.39497276,0.28135225,0.36486476,0.21872164,0.2975959,0.32243837,0.32820063,0.34453923
71,0.701994228,0.67048497,0.55834646,0.66341298,0.787344792,0.850308447,0.653871648,0.550448095,0.484016393,0.289130502,0.386487483,0.433665091,0.436817044,0.25217584,0.265018447,0.675434489,0.476924235,0.502928077,0.288670587,0.663404593
72,0.300274812,0.33375948,0.329485591,0.305704349,0.193019489,0.108879157,0.26675654,0.185592825,0.211955205,0.13976659,0.196706069,0.351415474,0.403244559,0.496330773,0.223510412,0.233264001,0.311417306,0.149507541,0.204135356,0.265406275
73,0.266645203,0.276410636,0.351043772,0.397824162,0.256006432,0.340035083,0.254435369,0.289144181,0.215084821,0.341258385,0.467401055,0.216151586,0.321064436,0.37482542,0.214864612,0.249891421,0.298608299,0.282197456,0.309683512,0.476830392
74,0.401696581,0.612907646,0.498019411,0.274295992,0.302491984,0.441056316,0.529544311,0.300158926,0.262937632,0.51128289,0.366883882,0.564241632,0.237764162,0.495292473,0.232232779,0.412070717,0.221892686,0.238484972,0.257033932,0.289437253
75,1,1,1,1,0,1,0.66331695,1,0,0.13059098,0.99923198,1,0,0,1,0.80473785,1,1,1,1
76,0.250840054,0.251562051,0.305707648,0.247120369,0.321715627,0.356629498,0.388733636,0.331390062,0.407750576,0.419638459,0.306195978,0.372888401,0.354233557,0.43510107,0.32140514,0.287836972,0.387705413,0.472135066,0.277098732,0.241007698
78,1,0.965337045,1,1,0.517140061,0.705097496,1,0.236033081,1,0.805433919,0.962484637,1,1,0,0.552622199,1,1,0,0.130590976,0.76306921
79,1,0.254875307,0.487310034,0,1,1,0.014948835,1,0.316003076,0.318382585,0.130590976,0.280330086,0.130590976,1,0.459512766,0,0.791436419,0.732884687,0.285529643,0.907240527
80,0,0,0,0,0,1,1,1,0.420507258,0.130590976,0,0,0.769716957,1,0,0,0,0.603553391,1,1
81,0.85891817,0.203418298,0.530338604,1,0,0,0,0,0.074300818,0.519736114,0.311105193,0.563799785,1,0,0,0.505610159,0,1,0,1
82,0.399316865,0.459377414,0.277779239,0.364697766,0.354494817,0.437032197,0.27690622,0.501806132,0.312684258,0.304790028,0.277483048,0.2344826,0.278125321,0.383789742,0.42576774,0.679097567,0.319762742,0.462423109,0.45065315,0.448105401
83,0.493171835,0.517998397,0.385349716,0.489503479,0.47821575,0.477098363,0.486184909,0.474964994,0.410397178,0.368917616,0.589475908,0.5663342,0.573557319,0.409040495,0.343558789,0.268135637,0.334833344,0.672508977,0.404575917,0.376312182
84,0.319580371,0.373044113,0.44028994,0.441592199,0.47873783,0.400984904,0.398464691,0.378568163,0.310127424,0.358277071,0.344890563,0.229291795,0.341908692,0.300959534,0.341077314,0.301412224,0.28371867,0.235576605,0.254237706,0.238059999
85,0.445013492,0.398479506,0.417935043,0.401797782,0.396735591,0.435095993,0.340284917,0.303088477,0.360192217,0.360365547,0.310490178,0.272574772,0.328879479,0.326249521,0.465627788,0.317436825,0.259906766,0.314754665,0.372252609,0.289839533
86,0.980591673,0.559487095,0.420655618,0.895082268,0.487310034,0.323202574,0.523471425,0.539525571,0.343118365,1,0.417208546,0.370269631,0.260676736,0.353928172,0.320951586,0.277894332,0.349146668,0.184274062,0.566746518,0.44234667
87,0.334030881,0.294999917,0.277817176,0.313611666,0.279807211,0.292995502,0.311081127,0.301998231,0.283304339,0.298236432,0.333580202,0.348797341,0.311123382,0.283509613,0.308864535,0.305019209,0.319060054,0.287923336,0.312860875,0.292546971
88,0.505610159,0.088174596,0.429802872,0,1,0.270636747,0.170047422,1,0.100487467,0.065163219,0.474326879,0.547624772,0.766716462,0.841413569,0.660289233,0.710811211,0.344596404,0.355019649,0.703833059,0.580538334
89,0.824620794,0.439452035,0.261561038,0.983796498,0.995450292,0.978663631,0.512386611,0.574894557,0.371385135,0.321494954,0.462528735,0.979079562,0.987655579,0.329197436,0.233807679,0.865777929,0.604247364,0.176720254,0.55372446,0.684830858
90,0.400495573,0.389920385,0.472501802,0.495536818,0.554716412,0.385225549,0.63599166,0.489548455,0.32456334,0.362157441,0.265584553,0.303871346,0.236936451,0.388304167,0.235639549,0.415198281,0.340647114,0.301415729,0.265441307,0.321245983
91,0.24840679,0.19797232,0.29481389,0.34031032,0.40217673,0.47741766,0.40888398,0.17928505,0.16424661,0.18609255,0.17116899,0.13907324,0.17358096,0.27725925,0.26491106,0.26447357,0.23310976,0.25318261,0.42424654,0.35599665
92,0.2858201,0.3660254,0.18672954,0.65144565,0.20663312,0.15190823,0.07709083,0.22751934,0.20142711,0.4843445,0.74483195,0.37296052,0.15560395,0.33811613,0.21237254,0.01025668,0.19624338,0.26635126,0.66068367,0.20071729
93,0.693891501,1,0.659734384,0.385640646,0.72838822,0.527687242,0.213351648,0.059038168,0.793716712,0.284959256,0.860554101,0.358950482,1,2.63E-16,0,0.226654188,0.974351592,1,1,1
94,0.253988327,0.271731506,0.317469261,0.328038957,0.334772312,0.405366833,0.377369331,0.353527445,0.32621841,0.384431758,0.373077061,0.30921332,0.295400481,0.353761895,0.366758776,0.40350851,0.312931898,0.316748723,0.262447645,0.295080434
95,0.363518254,0.336769543,0.396285784,0.240573837,0.235802448,0.401249669,0.453419519,0.43029554,0.399597761,0.423468583,0.255843009,0.277057403,0.383213566,0.374330288,0.471926695,0.465673182,0.578671432,0.36986626,0.392930953,0.44945177
96,0.584942804,0.340853986,0.44820348,0.453882569,0.460131242,0.460835875,0.478633716,0.383362983,0.394190944,0.332373471,0.340240382,0.316351565,0.515824774,0.49740142,0.491854082,0.440039628,0.4397788,0.29468344,0.282929402,0.264612123
97,0.46355004,0.27115415,0.21342886,0.18019369,0.0898111,0.23846283,0.54068365,0.59870961,0.31768797,0.08627805,0.70104041,0.08666237,0.3201983,0.43091602,0.13401315,0.23474453,0.18454826,0.18182242,0.4442777,0.37072848
