Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.00010602,0.000104443,1.22E-05,7.16E-07,1.53E-05,8.80E-07,6.26E-06,6.34E-06,6.43E-06,1.98E-07,3.65E-06,0.00010061,3.26E-05,3.14E-05,1.19E-05,1.14E-05,1.91E-05,8.63E-05,3.21E-05,4.08E-05
2,0.015369575,0.014570296,0.009409014,0.009567349,0.007178487,0.009660724,0.011052735,0.009224169,0.011542865,0.011106001,0.00896923,0.006533285,0.010757333,0.008565079,0.00344175,0.002866852,0.003285256,0.003083532,0.002375504,0.002071964
3,0.002190198,0.001550531,0.003079922,0.003996985,0.005072692,0.003353161,0.003580131,0.003047494,0.002824435,0.001804165,0.001482964,0.006519962,0.003770749,0.006381162,0.004127398,0.006722842,0.009516296,0.005617709,0.003502627,0.002681726
4,0.003731516,0.003721025,0.003423846,0.002454082,0.002537288,0.002707399,0.002071277,0.002182109,0.002544286,0.001690764,0.001296993,0.001396683,0.001003802,0.000657054,0.000323872,0.000377184,0.000393933,0.000562203,0.000603738,0.000421032
5,2.44E-05,1.23E-05,0,0,3.07E-07,0,3.23E-07,1.36E-06,3.04E-06,0.000552243,0.000637712,0.00039846,0.000670577,0.000374843,0.000278393,0.000319019,0.000405965,0.000187617,0.00015896,0.000149195
6,3.38E-06,0,0,0,1.53E-06,9.70E-08,0,1.13E-07,2.75E-07,8.63E-07,0,1.35E-07,4.92E-06,2.17E-06,6.10E-08,2.79E-06,3.48E-07,2.83E-06,8.97E-07,2.77E-06
7,0.00012509,5.33E-05,7.24E-05,3.58E-05,2.34E-05,1.78E-05,2.19E-05,4.91E-05,6.47E-05,3.58E-05,3.50E-05,5.03E-05,0.00014929,0.000166182,0.000100577,0.000124279,7.69E-05,0.000157808,0.000183587,0.00012572
8,0.00243452,0.001619575,0.002024816,0.002379302,0.002569078,0.003623714,0.003727347,0.002797156,0.004134973,0.003592161,0.001490256,0.000204837,0.000179653,0.000110706,9.86E-05,6.16E-05,7.52E-05,9.11E-05,8.05E-05,8.57E-05
9,3.26E-05,3.30E-05,2.94E-05,1.40E-05,8.18E-06,8.14E-06,1.48E-05,4.11E-05,8.69E-05,3.23E-05,3.52E-05,2.99E-05,4.65E-05,9.71E-05,5.21E-05,2.86E-05,6.85E-05,4.21E-05,4.30E-05,4.51E-05
10,0.012270062,0.017325339,0.027992405,0.016065392,0.028248291,0.024939509,0.010997731,0.036741901,0.018350327,0.020248637,0.052294599,0.073086545,0.048387697,0.082241067,0.089132966,0.061981713,0.050551233,0.039050244,0.053763749,0.054825599
11,0.003924199,0.002358137,0.001692239,0.002194065,0.001650824,0.004142313,0.002854755,0.003878718,0.004538534,0.006464518,0.003810336,0.0032069,0.003623586,0.004251224,0.005094833,0.005594318,0.004726506,0.008325243,0.005075896,0.001445819
12,0.00104003,0.000169532,7.47E-05,0.000119129,7.10E-05,4.79E-05,2.30E-05,0.000209983,0.000125325,3.02E-05,3.42E-05,5.58E-05,9.35E-05,1.54E-05,6.44E-05,3.13E-05,6.36E-05,7.82E-05,0.000119571,0.000160944
13,0.000104699,0.000104815,0.000224304,9.98E-05,0.000153006,0.000324485,0.000414316,0.000111765,0.000235759,1.16E-05,0.000117864,4.70E-05,7.75E-05,8.25E-05,3.32E-05,4.99E-05,8.78E-05,3.26E-05,5.83E-05,3.33E-05
14,1.90E-06,1.24E-06,1.33E-07,1.65E-07,6.13E-07,1.37E-06,3.68E-07,1.79E-07,3.61E-07,1.73E-06,3.40E-07,0,1.97E-07,2.01E-07,6.23E-07,2.99E-07,5.16E-07,9.61E-08,1.19E-07,5.80E-07
15,0.005684732,0.004510209,0.005930185,0.008060999,0.011138883,0.011954297,0.01347004,0.025601866,0.018230837,0.011062933,0.010594148,0.004565535,0.008642129,0.00918531,0.016798513,0.01399467,0.006985222,0.004901721,0.004755401,0.003831665
16,0.00017387,0.000314447,0.000244219,0.000184309,0.000186968,0.000257129,0.000353457,0.000310503,0.000377371,0.000554845,0.000505505,0.000239465,0.000409335,0.000252425,8.91E-05,0.000156914,0.000187492,0.000233756,0.000251327,0.000177112
17,0.003098844,0.001712175,0.001548593,0.001781537,0.00109145,0.002141108,0.001735076,0.001733737,0.001925117,0.002285977,0.002228749,0.002125241,0.005082698,0.00525067,0.007745769,0.008439889,0.004255096,0.004500114,0.00291785,0.001783357
18,8.29E-05,9.01E-05,7.15E-05,6.38E-05,6.17E-05,0.00012924,0.000179046,9.01E-05,9.59E-05,5.26E-05,6.31E-05,5.52E-05,9.97E-05,0.000128707,0.000172092,0.0001734,0.000147067,7.52E-05,9.29E-05,0.000117482
19,0.00126089,0.000864711,0.001024785,0.000790075,0.001016725,0.001755189,0.001353102,0.000942176,0.001153941,0.000980625,0.000878908,0.000563529,0.001011912,0.000789849,0.00150145,0.001152717,0.001935136,0.001829889,0.00234905,0.001860356
20,0.001315194,0.000855325,0.001138999,0.000446268,0.002299384,0.002291938,0.002248363,0.001149033,0.001135579,0.000895071,0.000881483,0.000773739,0.001025502,0.000615712,0.000586582,0.000463645,0.001102742,0.001535256,0.00179741,0.001114187
21,0.00184737,0.00144785,0.001321086,0.001724484,0.001218563,0.001395522,0.001535786,0.001519943,0.00101135,0.001163165,0.000740462,0.000501574,0.000841827,0.000913595,0.000761635,0.000928658,0.000824888,0.001061923,0.001076009,0.00089193
22,0.001419589,0.001518383,0.001352956,0.001575676,0.001158452,0.001381434,0.00136972,0.001465811,0.001526039,0.001321229,0.000897702,0.00061061,0.000892616,0.00065379,0.000550685,0.000854144,0.001111686,0.001692215,0.001526521,0.001028668
23,7.80E-05,5.67E-05,5.50E-05,6.10E-05,4.38E-05,7.05E-05,0.000125604,8.84E-05,0.000183491,0.000102585,0.000162058,0.000152951,0.000218827,0.00015236,0.00010835,0.000172024,0.000268836,0.00027674,0.000329679,0.000236176
24,0.00276593,0.003928476,0.002439586,0.003845783,0.001401657,0.002095536,0.000985879,0.000478045,0.000514813,0.000308289,0.000316845,0.000222963,0.000263614,0.000254879,0.000367951,0.000533836,0.000853685,0.000421523,0.000187507,0.000187466
25,0.005641168,0.004718944,0.007809941,0.010052497,0.005405241,0.004938902,0.005061315,0.00289792,0.004206294,0.005348702,0.003785486,0.00333341,0.00343605,0.003272246,0.001702997,0.002202598,0.002496739,0.0037092,0.001718505,0.002030808
26,0,9.51E-06,0,0,7.36E-06,2.04E-06,6.46E-07,5.62E-06,0,0,0.000316184,0.000390371,0.000187493,0.000247741,6.92E-05,0.000145095,0.000137275,0.000236332,2.23E-05,0.000212604
27,0.028300604,0.031845721,0.030110223,0.031011905,0.023848665,0.02087148,0.029894296,0.026871127,0.028542455,0.02840137,0.028629535,0.019702621,0.025919531,0.020018536,0.029469182,0.022375468,0.017696046,0.013669655,0.014119138,0.016693455
28,0.000356658,0.000250131,0.000211924,0.000188514,0.000149565,0.000167744,0.00019709,0.000251123,0.000266174,0.000153431,0.000179546,8.71E-05,0.000118327,0.000172582,0.000155714,0.000102946,0.000334903,0.000235259,0.000261678,0.000488275
29,0.000220274,0.00039454,0.000266953,0.000369461,0.000186551,0.000300578,0.000521727,0.000205463,0.000312272,0.000119034,0.00017367,0.000142543,0.000290915,7.29E-05,0.000115713,0.000160047,0.000113222,0.000206045,0.000226336,0.000186619
30,0.015855839,0.016620472,0.013895846,0.014475752,0.011669987,0.013064216,0.014094218,0.011121488,0.013843776,0.012020141,0.010096324,0.009425209,0.011780233,0.012606122,0.010111006,0.010456953,0.01291783,0.012731391,0.013673063,0.012874237
31,0.001747953,0.003087844,0.000792576,2.49E-06,0.000134173,3.67E-06,0.009013451,0.000692025,0.007628846,1.20E-05,0.000303976,0.002543174,0.00323197,0.002690716,0.004333352,0.007298051,0.009599613,0.013198611,0.007107827,0.011716672
32,0.000299114,0.00021105,0.000206701,0.000218845,0.00011953,0.000257208,0.000248895,0.000256948,0.000176359,0.000186756,0.000169304,9.68E-05,0.000198958,0.000249354,0.000138163,0.000163309,0.000333521,0.000444412,0.000358885,0.000309856
33,0.000892815,0.000636971,0.000785602,0.000868732,0.000588389,0.000621603,0.000999621,0.000832253,0.001264907,0.000818214,0.000753977,0.000626258,0.000720185,0.000800514,0.000591752,0.000473847,0.000637495,0.000538497,0.000615451,0.000402564
34,0.00070054,0.000737418,0.000756135,0.001020915,0.00090774,0.00146068,0.002144672,0.001194874,0.001365172,0.000883112,0.000749759,0.000845266,0.000671941,0.000377368,0.000361154,0.000508306,0.000415333,0.000605278,0.000400574,0.000400304
