Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.00015191,0.000117473,3.78E-05,8.96E-06,2.51E-05,2.28E-05,7.75E-06,1.27E-05,2.03E-05,9.28E-06,1.39E-05,0.000244348,5.47E-05,6.77E-05,3.82E-05,4.29E-05,7.86E-05,0.000148746,7.67E-05,9.76E-05
2,0.030352325,0.031504071,0.026693179,0.021980511,0.023584687,0.03611377,0.046763454,0.038024636,0.046765452,0.047307053,0.039204714,0.032870669,0.044506938,0.033425243,0.015705763,0.016592732,0.018112814,0.015023139,0.015981273,0.015553199
3,0.005022565,0.005722063,0.008745468,0.009244787,0.007091318,0.008881095,0.008690959,0.006519413,0.007662037,0.007401258,0.006405152,0.01867335,0.018143175,0.023266806,0.013958254,0.015720059,0.018018058,0.020872865,0.0167286,0.013373898
4,0.009651061,0.009690978,0.009004177,0.007747462,0.008084041,0.009219556,0.005779662,0.004839116,0.006608661,0.005574525,0.00420328,0.004434587,0.003167909,0.002291288,0.001509417,0.001290642,0.001376625,0.00149613,0.001493191,0.001118503
5,2.63E-05,1.23E-05,0,0,3.07E-07,0,3.23E-07,2.11E-06,3.14E-05,0.002133023,0.00225118,0.001780504,0.002259167,0.001377946,0.001191547,0.001289298,0.001305086,0.000980327,0.000968584,0.000843287
6,8.97E-06,0,0,0,1.53E-06,1.17E-06,6.46E-07,1.87E-06,9.66E-07,8.63E-07,0,1.35E-07,4.92E-06,5.02E-06,4.67E-07,3.29E-06,6.88E-07,2.83E-06,4.54E-06,1.42E-05
7,0.000373329,0.000313821,0.000246469,0.000253868,0.000141642,0.000107666,0.000156233,0.000203182,0.000271496,0.00019189,0.000186181,0.000233548,0.000576842,0.000489512,0.000470729,0.000467695,0.000368705,0.00055709,0.000659527,0.000709491
8,0.00388408,0.002472531,0.002797393,0.002793546,0.003020785,0.004023307,0.004206354,0.00337114,0.004767366,0.004207983,0.001964682,0.000368413,0.00040253,0.000311946,0.000238091,0.000162768,0.000309375,0.000308992,0.000195209,0.0002504
9,0.000107066,0.000107963,0.000127963,8.56E-05,5.27E-05,5.14E-05,7.17E-05,0.000126784,0.000159178,0.000127999,0.000149625,0.000139319,0.000200872,0.000300698,0.000141951,9.57E-05,0.000121755,0.000126123,0.000114579,0.000102103
10,0.023583634,0.030552538,0.056303925,0.056255712,0.067026598,0.05651858,0.030808617,0.074770184,0.040559929,0.071319645,0.102930122,0.137107009,0.09060747,0.153755115,0.167132409,0.13147854,0.100149546,0.075681078,0.097496724,0.100861989
11,0.006505791,0.004251411,0.004107627,0.004007634,0.003007602,0.007715448,0.005089524,0.00595533,0.007540057,0.009792653,0.009047569,0.007852495,0.008620561,0.008569179,0.008086376,0.009496217,0.009237578,0.011873083,0.008600922,0.003778722
12,0.00129432,0.000289208,0.000137422,0.00013689,0.000156052,0.00010183,6.62E-05,0.000370509,0.000218598,7.51E-05,8.26E-05,0.000102059,0.000282519,6.31E-05,0.000181685,7.30E-05,0.000150818,0.000134984,0.000406369,0.000277608
13,0.000339135,0.000211452,0.000279851,0.000106525,0.0001769,0.00040732,0.000571349,0.0002456,0.000307003,9.30E-05,0.000137723,0.000111644,0.000116077,0.000121524,6.61E-05,7.77E-05,0.000118316,9.84E-05,7.98E-05,8.49E-05
14,3.92E-06,7.83E-06,2.78E-06,1.99E-06,6.13E-07,4.67E-06,1.29E-06,1.64E-06,2.42E-06,1.73E-06,3.40E-07,0,1.97E-07,2.01E-07,6.23E-07,2.99E-07,5.16E-07,1.32E-06,5.41E-06,1.05E-06
15,0.012349568,0.010453435,0.014111589,0.022092014,0.019314261,0.025076737,0.024048623,0.036098973,0.027767968,0.017962766,0.017166951,0.012127107,0.01173594,0.017862685,0.033324981,0.036297161,0.021099429,0.013512115,0.011713298,0.007028091
16,0.000905295,0.000817837,0.000578617,0.000492305,0.000603053,0.000756868,0.000949666,0.00078531,0.001073183,0.001452234,0.001116749,0.000897339,0.001256382,0.000799852,0.000494257,0.000431857,0.000538784,0.001007286,0.00103619,0.000926256
17,0.006370137,0.004424264,0.005810098,0.007016222,0.003908043,0.006872505,0.005950744,0.005568885,0.005446348,0.005694753,0.006138037,0.004326587,0.007833994,0.00689616,0.009208584,0.012067944,0.008709284,0.006711848,0.004985011,0.004245138
18,0.000259537,0.000321093,0.00043285,0.000344962,0.000293709,0.000392439,0.000380576,0.000327154,0.000364491,0.000257292,0.000195363,0.000130139,0.000360625,0.000307326,0.0003615,0.000224141,0.000228721,0.000245836,0.000215696,0.000260864
19,0.00315592,0.003386025,0.003269745,0.002908534,0.003439887,0.006428713,0.004527214,0.003532374,0.005490792,0.005013749,0.004181176,0.002816622,0.003539551,0.003082703,0.00395515,0.003088402,0.004738309,0.006087644,0.006813307,0.005669652
20,0.002260715,0.002963681,0.0037599,0.001947817,0.004710683,0.003545961,0.003513311,0.002131189,0.002767618,0.002694447,0.001984235,0.001720024,0.002608577,0.001481393,0.001357961,0.0012112,0.001989701,0.00253622,0.002775223,0.001885549
21,0.005230531,0.004466778,0.003772697,0.003821464,0.002906122,0.003811769,0.004507523,0.00399428,0.004794902,0.004532836,0.002507244,0.001952492,0.002917656,0.002749465,0.002659361,0.002912942,0.003033391,0.003528047,0.003244954,0.002853214
22,0.004751817,0.004957368,0.005076255,0.00580761,0.00438325,0.005847202,0.006138934,0.00528907,0.005345865,0.00448945,0.003096393,0.00226839,0.003302873,0.002578327,0.002019724,0.00229786,0.002424615,0.003466588,0.003188762,0.002733769
23,0.000359315,0.000353538,0.000284301,0.000220019,0.000208785,0.000332042,0.000360563,0.000272785,0.000632605,0.000403638,0.00041487,0.000483567,0.00075981,0.000568051,0.000410894,0.000535192,0.000795193,0.000895491,0.000891466,0.00070994
24,0.004692399,0.005742761,0.004493187,0.00680118,0.003914481,0.004948822,0.003487488,0.001460007,0.001571006,0.001031112,0.00077176,0.000595616,0.000793059,0.000726535,0.000572167,0.000706471,0.001068626,0.000836106,0.000277888,0.00032395
25,0.020368295,0.020580183,0.026513474,0.025938367,0.020574939,0.010649845,0.015337974,0.014317914,0.022180558,0.019612071,0.015541816,0.007998969,0.008838549,0.00925293,0.006572128,0.008690144,0.008963973,0.009291617,0.010315955,0.007426339
26,0,9.51E-06,0,9.96E-07,7.36E-06,2.04E-06,6.46E-07,5.62E-06,0,0,0.000316764,0.000496797,0.000187493,0.000253896,0.000166882,0.000150672,0.000306108,0.000236975,0.000328666,0.000213625
27,0.101798314,0.115001773,0.102184948,0.108262366,0.102280535,0.07409345,0.083321067,0.098086476,0.083591102,0.105170218,0.070573995,0.069804407,0.087690012,0.069075488,0.082697748,0.090290289,0.094107011,0.089020127,0.073437234,0.083053546
28,0.001177164,0.001181445,0.001153897,0.0011215,0.000755733,0.00091968,0.001105253,0.001029739,0.001190332,0.000927936,0.000874288,0.000556331,0.000859754,0.000776551,0.000662386,0.000560428,0.00112572,0.000855147,0.000696549,0.001022977
29,0.001148015,0.001039358,0.001370322,0.001268843,0.000974328,0.001729068,0.002478105,0.000880223,0.00089758,0.000727196,0.000952161,0.000859404,0.001681144,0.00060702,0.000672047,0.000627028,0.000492524,0.000883426,0.001046873,0.0009868
30,0.020981542,0.02200944,0.019276305,0.020003823,0.016438184,0.017639352,0.019618249,0.016027974,0.018694104,0.016834306,0.01432169,0.01329971,0.015487971,0.016530737,0.015167876,0.016843454,0.021810872,0.0238376,0.023357819,0.023492895
31,0.004978281,0.008443525,0.001478813,2.49E-06,0.000270102,1.93E-05,0.009762642,0.001963862,0.008624833,2.31E-05,0.000340908,0.008310547,0.003720945,0.004317833,0.009231021,0.010053807,0.01917009,0.015763286,0.012293512,0.018529894
32,0.000833544,0.000810565,0.000739963,0.000669018,0.000455892,0.000689176,0.000551013,0.000625249,0.000655794,0.000606753,0.000687766,0.000431997,0.000796797,0.000909726,0.000543496,0.000619263,0.000799148,0.001171868,0.001307786,0.00162319
33,0.002259594,0.001822513,0.001739747,0.002004066,0.001704001,0.001901508,0.002174677,0.002108457,0.00267728,0.002871444,0.002482419,0.002174971,0.002588116,0.00234974,0.002020347,0.001536735,0.00184215,0.002046433,0.001726594,0.001694647
34,0.00300457,0.003340714,0.003016043,0.002903556,0.002946898,0.003302911,0.003809315,0.00262028,0.00391737,0.003337463,0.003191779,0.002748717,0.002401213,0.001495453,0.001676299,0.00193544,0.001986262,0.002289818,0.001646403,0.00167611
