Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,271,210,68,18,82,78,24,54,84,43,82,1810,278,337,245,287,457,789,524,653
2,54147,56318,47978,44157,76927,123772,144870,162255,193610,219167,230577,243488,226222,166405,100795,111116,105325,79688,109211,104040
3,8960,10229,15719,18572,23130,30438,26924,27819,31721,34289,37671,138322,92219,115832,89580,105272,104774,110717,114318,89462
4,17217,17324,16184,15564,26368,31598,17905,20649,27360,25826,24721,32849,16102,11407,9687,8643,8005,7936,10204,7482
5,47,22,0,0,1,0,1,9,130,9882,13240,13189,11483,6860,7647,8634,7589,5200,6619,5641
6,16,0,0,0,5,4,2,8,4,4,0,1,25,25,3,22,4,15,31,95
7,666,561,443,510,462,369,484,867,1124,889,1095,1730,2932,2437,3021,3132,2144,2955,4507,4746
8,6929,4420,5028,5612,9853,13789,13031,14385,19737,19495,11555,2729,2046,1553,1528,1090,1799,1639,1334,1675
9,191,193,230,172,172,176,222,541,659,593,880,1032,1021,1497,911,641,708,669,783,683
10,42072,54617,101200,113013,218623,193705,95443,319052,167919,330414,605369,1015614,460544,765458,1072607,880468,582364,401439,666262,674696
11,11606,7600,7383,8051,9810,26443,15767,25412,31216,45368,53212,58167,43817,42661,51896,63593,53716,62979,58776,25277
12,2309,517,247,275,509,349,205,1581,905,348,486,756,1436,314,1166,489,877,716,2777,1857
13,605,378,503,214,577,1396,1770,1048,1271,431,810,827,590,605,424,520,688,522,545,568
14,7,14,5,4,2,16,4,7,10,8,2,0,1,1,4,2,3,7,37,7
15,22031,18687,25364,44381,62998,85945,74501,154038,114960,83219,100965,89831,59652,88928,213870,243070,122692,71673,80045,47013
16,1615,1462,1040,989,1967,2594,2942,3351,4443,6728,6568,6647,6386,3982,3172,2892,3133,5343,7081,6196
17,11364,7909,10443,14095,12747,23554,18435,23763,22548,26383,36100,32049,39819,34332,59098,80815,50644,35602,34066,28397
18,463,574,778,693,958,1345,1179,1396,1509,1192,1149,964,1833,1530,2320,1501,1330,1304,1474,1745
19,5630,6053,5877,5843,11220,22033,14025,15073,22732,23228,24591,20864,17991,15347,25383,20682,27553,32291,46560,37926
20,4033,5298,6758,3913,15365,12153,10884,9094,11458,12483,11670,12741,13259,7375,8715,8111,11570,13453,18965,12613
21,9331,7985,6781,7677,9479,13064,13964,17044,19851,21000,14746,14463,14830,13688,17067,19507,17639,18714,22175,19086
22,8477,8862,9124,11667,14297,20040,19018,22569,22132,20799,18211,16803,16788,12836,12962,15388,14099,18388,21791,18287
23,641,632,511,442,681,1138,1117,1164,2619,1870,2440,3582,3862,2828,2637,3584,4624,4750,6092,4749
24,8371,10266,8076,13663,12768,16961,10804,6230,6504,4777,4539,4412,4031,3617,3672,4731,6214,4435,1899,2167
25,36336,36790,47655,52108,67110,36500,47516,61096,91828,90860,91407,59252,44925,46065,42178,58195,52125,49286,70496,49677
26,0,17,0,2,24,7,2,24,0,0,1863,3680,953,1264,1071,1009,1780,1257,2246,1429
