Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,348,332,297,194,162,637,1610,1728,1099,369,904,1030,880,1297,1042,2036,2053,1156,300,196
France,13,0,9,15,1,58,47,17,14,27,35,45,137,117,173,260,133,77,65,110
Germany,39,38,96,149,37,514,1417,1577,937,327,721,922,646,986,808,1575,1746,902,147,68
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,70,36,16,0,0,0,13
Côte d'Ivoire,10,0,0,12,11,64,55,0,17,6,0,0,0,0,0,2,6,0,6,5
Senegal,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,19,13,1,0,0
Australia,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,16,29,42,0,80,62,40,33,0
Belgium,13,31,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,1,0
Brazil,0,0,0,0,0,0,19,29,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ghana,201,34,0,0,0,0,0,0,0,0,1,3,0,15,7,0,0,0,20,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Italy,0,0,0,7,0,0,0,0,0,8,26,7,33,44,3,0,0,21,7,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Libya, State of",0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macao, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Mali,1,0,0,0,0,0,12,0,0,0,0,0,8,0,1,0,0,0,0,0
Mexico,12,36,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,52,48,0,0,0
Netherlands,32,32,0,0,0,0,38,53,0,0,0,1,0,0,0,32,16,64,0,0
Niger,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Switzerland,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,161,0,10,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0
United Arab Emirates,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,23,42,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,69,0,0,0,26,0,0,0,16,45,9,0
HHI,0.407355741,0.217817259,0.338452444,0.623096568,0.474262246,0.569904471,0.809983478,0.853974786,0.768738865,0.779214833,0.695745893,0.845068285,0.582107132,0.669358567,0.681118876,0.668490988,0.7808465,0.680513484,0.346687614,0.327236861
