Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.388458326,0.364671446,0.334443078,0.305281001,0.529723088,0.811129563,0.798227579,0.425561079,0.397334812,0.443076846,0.656607515,0.857306522,0.443922703,0.724647562,0.811849452,0.694294182,0.669197464,0.373146354,0.402740222,0.471697871
2,0.271790663,0,0,0,1,1,0,1,0.172409813,1,0,0,0,0.723889923,0.317452619,1,0.840209464,1,0.437586064,1
3,0,0,0.885128787,0.865217636,1,0.733488375,0.318647088,0.003062074,0.34426738,0.628234283,0.937561087,0.954964954,0.896990235,1,1,1,0,1,1,0.631218478
4,0.286136957,1,0.814828913,0.604857498,0.603553391,0.950882458,0.826898913,0,0.960533365,1,0.751729196,0.522099367,0.310553708,0.127923632,0.144909431,1,0.246149156,0.437110982,0.210133809,0.819359196
5,0.748292247,0,0,0,0.95225595,1,0,1,1,0.887695039,0.969775767,0.723112641,0.386497308,0.478720132,0.592910772,0.519294933,0.198612935,0,1,0
6,0.407355741,0.217817259,0.338452444,0.623096568,0.474262246,0.569904471,0.809983478,0.853974786,0.768738865,0.779214833,0.695745893,0.845068285,0.582107132,0.669358567,0.681118876,0.668490988,0.7808465,0.680513484,0.346687614,0.327236861
7,0.405528309,0.332752533,0.19288008,0.350059229,0.346053164,0.249182607,0.277754113,0.308623026,0.31503381,0.333790173,0.307283503,0.365077522,0.333953205,0.278272988,0.196877604,0.808102802,0.368910256,0.441873019,0.45543578,0.377029557
8,0.491052779,0.664465413,0.314222025,0.214782956,0.294133406,0.191219721,0.153430365,0.308834138,0.325343452,0.302215519,0.237255602,0.243353025,0.315209425,0.383031865,0.41502051,0.246701527,0.231844449,0.21856949,0.303758911,0.296266152
9,0.253881453,0.720414104,0,0,0.175561332,0.378053671,0.189968634,0.133594,0.710536167,0.056737917,0.653166411,0.225431525,0.820522016,0.280756527,0.296888364,0.658792757,0.879794708,0.706917753,0.799739178,0.379777967
10,0.338537391,0.874219738,0.58823473,0.721212083,0.852256754,0.324414878,0.506992939,0.811045473,0.740404887,0.812604282,0.768393882,0.816485697,0.346534275,0.613126906,0.53506897,0.262851038,0.757439305,0.87204412,0.807785646,0.266331437
11,0.887083756,0.86928585,0.108056452,0.66691311,0.431238104,0.412243041,0.856769249,0.449936488,0.293553161,1,0.973011453,0.329473721,0.428325376,1,0.248834175,1,0.401219067,1,0.349673381,0.288302069
12,0.453028272,0.403143674,0.264318387,0.268831188,0.389626747,0.315099785,0.386858602,0.376112594,0.312192773,0.270184586,0.323752686,0.246774,0.270438106,0.246375031,0.278206331,0.322495321,0.276760596,0.313597787,0.234511986,0.385111322
13,0.487310034,0.002280788,0.203418298,0.866275402,0.637056082,0.566509996,0.574007624,0.429866879,0.012391687,0.205054604,0.265980897,0.260770493,1,0.158633746,1,0.266343529,0.919741142,0.902048198,0.775157655,0.820321676
14,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0.552622199
15,0.524632781,0.628504516,0.257570024,0.646496555,0.618567617,0.239226604,0.343033121,0.441408075,0.372804701,0.344515044,0.20911029,0.237614673,0.277034334,0.292877235,0.339434028,0.344638346,0.338636444,0.372466341,0.33632447,0.299579849
16,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
17,0.571080584,1,1,0.995835282,0.977360755,0,1,0.634489713,1,0.148594482,1,0.311343365,0.000203585,0.449088743,0.273390019,0.31813282,0.383669617,0.345246627,0.126339495,0.073462392
18,1,1,0.458169726,0.535534069,1,0,0,0,0,0,0,0,1,0,0,1,0.72838822,0.1169595,0,1
19,0.236509295,1,0.876432356,0.742904914,0.436467865,0.825292244,0.087296187,0.178285029,0.327620293,0,0.118351583,0.207975251,0.2730554,0.24268086,0.130590976,0.605014931,1,0.008354958,0.963819396,0.814175026
20,0.242969648,0.496201425,0.183479823,0.18314266,0.300995705,0.317951146,0.218540537,0.676845827,0.731626412,0.411932041,0.194238584,0.141805751,0.253781936,0.315554883,0.712452591,0.462048801,0.461787411,0.444045096,0.230043191,0.171833043
