Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,5436,6083,7242,8907,9784,22568,16277,9376,11049,4961,4775,8867,6410,2429,1640,1969,991,705,1624,1252
2,33,0,0,0,1,18,0,39,13,4,0,0,0,509,17,15,19,39,44,39
3,0,0,174,570,799,1163,1028,655,625,755,650,626,836,301,93,29,0,30,3,224
4,11,18,25,21,8,207,211,0,86,26,128,39,35,46,2258,77,14,220,45,102
5,13,0,0,0,142,61,0,1,43,239,234,154,198,138,177,131,23,0,5,0
6,348,332,297,194,162,637,1610,1728,1099,369,904,1030,880,1297,1042,2036,2053,1156,300,196
7,3143,4783,4206,3797,4276,4819,3763,7506,6292,6531,9380,4450,4743,4466,4455,19605,1641,1655,2095,1560
8,6056,8162,5104,3864,5414,8553,6757,13843,67918,40230,58620,52375,98338,127594,172866,236094,119193,95848,148671,180640
9,8,74,0,0,24,28,47,225,847,150,280,158,216,254,935,708,411,687,569,1041
10,380,5949,1992,8837,5621,4009,5111,9598,6501,4485,9668,15349,12905,5142,17825,2966,8152,27975,3971,261
11,28,303,403,504,293,826,769,553,800,87,126,713,420,42,126,2,4,19,68,24
12,14889,23833,18233,27388,60473,46420,61188,71491,90039,109552,208102,198269,218034,155563,135642,171769,141771,116565,117454,129171
13,30,24,15,75,35,29,40,27,70,64,34,521,43,57,162,89,169,206,512,167
14,0,1,1,1,2,10,0,1,4,4,1,2,9,9,0,0,24,8,11,7
15,6807,5456,3782,9481,5656,5146,2304,3716,4968,4451,8909,15406,13142,15671,20713,25281,35289,36102,32721,31270
16,0,2,1,1,5,0,0,0,0,25,3,0,0,0,161,0,0,0,0,149
17,5019,4842,5088,3407,1456,0,3,121,2,267,182,34,77,143,151,371,320,434,624,912
18,8,42,2740,791,6,0,0,0,0,0,0,0,3,0,0,1,11,14,0,11
19,40,8,55,62,43,38,158,28,11,0,88,111,222,203,9,17,1490,17,1429,2375
20,63,168,86,50,193,258,1089,1160,1157,725,1634,1764,2996,1251,984,1399,3965,1526,1762,1821
21,348,423,1052,1979,165,6064,1803,2205,1387,942,1164,777,42,136,301,74,110,1104,1945,362
22,114,324,1590,1509,1527,2745,2881,2382,3051,2098,2056,3517,949,1231,2060,3667,2428,2796,3954,5068
23,685,706,302,770,1459,3043,4247,4676,2827,5785,5419,9562,8312,10638,12948,11634,6968,11031,10835,11166
24,15160,11163,6409,7268,9875,9756,2913,6824,6496,3977,822,18,17,15,9,12,27,971,13834,13240
25,52,116,403,442,452,784,8192,3514,1401,1091,986,1063,5789,3319,702,672,8556,31052,37974,83370
26,1,8,7,1,2,10,1641,5001,5729,291,34,13433,26,86,51,495,3,105656,162725,56430
27,123,163,16789,59575,20,110,93,208,96,335,346,138402,33859,10699,13666,27083,19963,12629,12724,32270
28,184,154,684,1917,97,773,571,506,629,191,438,415,378,318,390,252,1349,278,1164,1235
29,84,46,45,4,12,62,3,2,86,33,249,231,83,295,65,169,44,22,63,132
30,16,65,122,55,223,253,678,609,744,657,983,1247,747,947,353,261,775,1416,557,699
31,0,38,0,0,0,1464,27,1042,2843,2574,110,1,1329,2252,3179,1055,203,335,87,2050
32,17,34,90,174,118,563,570,645,724,574,823,905,601,717,951,866,1112,1085,1110,1246
33,0,7,274,230,34,3,1,14,45,56,57,1529,575,443,369,381,326,503,564,632
34,252,136,349,15,57,30,44,36,34,166,557,181,124,53,134,175,110,95,31,451
35,1,4,5,0,7,1,7,0,41,1,0,2,114,5,13,73,11,29,76,24
36,18,20,28,12,816,25,10,36,145,132,205,1455,191,398,476,3802,7213,8561,9667,10048
37,5,14,1,0,8,5,7,0,0,0,0,0,0,0,0,1,2,13,5,336
38,788,1073,2032,774,1538,132,435,1949,1764,3357,1658,2811,11061,18272,944,14945,2454,2438,650,1333
39,138,308,145,467,678,533,630,377,350,438,4578,5093,2284,7848,4083,4134,3920,1213,1556,2466
40,985,240,151,225,359,270,181,301,283,692,349,547,675,457,459,182,602,405,2573,2000
41,2557,750,2792,8906,9044,10085,3727,3186,4095,3310,2544,2479,465,2243,3,237,122,35,200,732
42,6,7,12,83,59,14,21,21,8,10,9,15,18,14,8,42,25,25,10,34
43,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
44,362,122,2160,2777,60,23,30,66,35,372,411,33,75,354,25,185,43,181,75,111
45,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
46,54,64,80,52,53,37,41,20,16,35,13,17,1,5,3,13,2,29,81,140
47,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0
48,365,677,480,428,525,159,111,42,244,86,271,278,119,223,72,216,174,311,597,2757
49,18,103,71,90,668,75,51,133,42,86,135,31,1271,35,63,215,34,6,27,89
51,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,7,0,0,0,0
52,228421,296401,233577,312627,304929,199507,251883,227927,273569,296287,473160,468471,302934,429504,372130,323634,355254,265430,459294,466022
53,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
54,1,2,0,0,389,16,6,3,5,0,0,0,0,0,0,0,0,14,4,16
55,6,18,25,4,22,0,10,5,100,334,0,2,2,0,7,0,1,0,3,6
56,248,159,114,526,737,929,1021,1036,1712,1493,1532,75,0,0,0,12,6,6,145,0
57,0,0,0,0,2,0,0,0,0,39,0,0,0,14,2,1,47,10,0,11
58,3,1,2,0,8,23,0,0,0,0,0,15,0,0,0,0,26,4,0,1
59,689,0,868,971,2,0,2,0,0,6,3,2,0,31,61,55,49,30,34,1
60,8,5,1,8,0,0,0,1,2,0,7,33,0,0,0,1,0,0,0,9
61,2,24,138,79,57,14,326,53,154,31,20,17,27,4,458,35,24,287,299,39
62,21,309,355,745,673,578,245,190,151,295,462,192,433,216,178,430,479,356,106,71
63,2629,691,4737,5255,1822,2443,4671,882,901,2014,3157,4399,748,1266,1358,304,923,1630,550,1307
64,7,40,6,1,2,41,29,0,53,257,229,231,161,74,41,21,38,55,153,80
65,1,0,3,0,1,0,1,4,0,1,0,1,0,0,2,7,1,1,0,1
66,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,0,0,0,0,0
68,2,2,0,16,0,0,11,48,18,11,63,447,54,2,1,3,2,9,1,64
69,21,84,185,428,36,104,505,417,543,544,707,575,548,196,18,27,84,6,40,101
70,12,45,14,12,120,302,165,54,17,14,40,661,5,5,8,22,97,50,43,104
71,2370,2241,3086,8815,9651,124755,379532,887443,1794643,1579389,1475914,1463339,1345670,1555753,1809703,2147780,2271494,3574826,3925994,3377676
72,416,395,5068,4621,349,4294,5862,3664,3844,2798,4731,10314,8818,9618,7312,15573,13944,16570,20471,38402
73,1267,137,2750,3186,756,278,3375,958,433,1066,1906,3312,3019,2037,2920,4157,2549,1470,1425,2261
74,56,122,130,38,72,139,24,120,27,18,11,20,40,5,0,134,100,64,483,336
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,16
76,57,72,1095,619,98,63,21,125,267,24,42,232,66,275,120,560,29,65,574,826
78,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,0,0,0,42,135,10,81,21,0,0,25378,87243,55313,90513,164951,186825,155093,1239,0,13
80,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
81,0,0,5,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0
82,183,29,32,42,56,196,32,23,166,105,454,1419,483,853,485,438,738,821,1572,2697
83,36,42,19,22,93,8,72,61,10,65,255,35,55,39,3,186,54,23,135,74
84,6321,4439,2640,4350,5291,1767,8749,7432,8658,9037,32231,38928,33027,27270,31832,33413,35045,31244,39026,40789
85,1586,2913,1922,1355,989,626,1184,1193,777,1164,1464,2781,2131,2252,2036,3691,3146,3366,3849,5915
86,154,28,38,13,19,18,20,10,40,26,113,1171,2368,192,208,61,322,64,142,550
87,2998,4518,2659,3968,1631,3147,3459,656,1362,1007,8506,22968,23879,23185,15472,10258,14130,13354,27973,20923
88,72,418,1553,168,155,0,13,1474,3364,4258,9712,7892,6919,5839,5960,4533,29935,1223,1826,7094
89,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0
90,257,241,655,706,172,30,511,347,366,736,3087,2442,1153,672,2065,936,1652,1072,1435,1608
91,0,0,6,3,0,0,0,0,0,0,0,21,7,42,15,43,8,25,12,24
92,85,36,20,21,18,56,8,1,4,10,17,15,56,15,8,23,1,2,7,12
93,0,0,1,0,1,0,0,11,48,1,1,3,188,815,150,284,814,88,2,226
94,689,950,1237,1900,2044,2218,2361,2171,1505,3339,2488,2409,2560,1922,2126,2043,2421,1898,1669,1536
95,4,24,3,9,7,3,4,1,19,5,2,17,45,3,42,80,10,32,14,84
96,0,0,3,0,3,7,12,0,17,320,121,101,68,21,3,5,1,9,244,11
97,714,842,808,837,777,615,555,330,416,768,690,456,482,399,463,753,467,300,347,191
TOTAL,313985,392075,349269,507093,453374,473996,794020,1290523,2317830,2105683,2374447,2604182,2220535,2529151,2820721,3269734,3261124,4381069,5062869,4548742
