Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,75,1,4,7,6,48,1,13,14,7,9,7,0,3,8,32,14,25,33,59
China,0,0,0,0,1,0,0,11,0,0,1,0,0,1,0,0,0,10,0,42
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,24,16
South Africa,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
Australia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Belgium,61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,1,0,7,5,0,1,2,11,0,4,0,0,0,0,7,10,0,6,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Saudi Arabia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
United States of America,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,0
HHI,0.425040269,1,0,1,0.487310034,1,1,0.522099367,0.53101526,0.182901812,0.144172502,0.212372541,0,0.130590976,0.603553391,0.483910118,0.406480581,0.099818167,0.420673058,0.436787045
