Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.36747809,0.457106357,0.276018559,0.289649669,0.506844088,0.184788686,0.341046101,0.304356584,0.285597664,0.230411925,0.322001828,0.382022449,0.391359912,0.305972139,0.461334139,0.357661423,0.385057573,0.236194371,0.347768582,0.286432384
2,0.17260394,0.345769858,0.142025809,0.172409813,0.841480405,0.098722757,0.302983814,0.714375312,0.510555257,0.66824426,0.479902299,0.477194671,0.281517563,0.269776445,0.213809,0.198258196,0.210993574,0.362988227,0.722901837,0.545115059
3,0.68320094,0.778975669,0.280883787,0.235804743,0.652653414,0.513546326,0.457172626,0.758900984,0.368444413,0.33710372,0.376180474,0.493432222,0.415700412,0.354669477,0.375985936,0.660078616,0.770951524,0.694278543,0.634505243,0.404536686
4,0.382657013,0.312963691,0.29745579,0.262240405,0.193428461,0.269181016,0.288258927,0.168745954,0.28726375,0.184620127,0.233138498,0.22693363,0.2177439,0.278302812,0.316263667,0.321751666,0.333459817,0.290189996,0.2763341,0.292074722
5,1,1,0.063450001,0.7805045,1,0.661677091,0.265263783,1,0.177034642,0,0.414398887,0.263418543,0.053589838,0.393245401,0.380571851,0.389362047,0.995305542,0.265064447,0.857944393,0.590116814
6,0.815895431,0.137650087,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0.118033989,0.063014581,0.099862932
7,0.204553856,0.473922246,0.493171993,0.689722549,0.578245744,0.492574973,0.508080006,0.19561555,0.270139496,0.32651664,0.539785036,0.312109766,0.536969069,0.211806507,0.212195404,0.194814654,0.202685588,0.16635075,0.179046514,0.278421348
8,0.867329508,0.942315181,0.945864254,0.902938518,0.906851721,0.852775711,0.860771144,0.879100502,0.852660049,0.569161496,0.585765165,0.685397611,0.61535353,0.743614312,0.604531057,0.488754737,0.531680198,0.632094002,0.638254477,0.629974881
9,0.239298554,0.302371905,0.426110749,0.45665652,0.466259801,0.476547209,0.452226339,0.366516086,0.257400007,0.438637067,0.497658587,0.495968673,0.43301104,0.464714489,0.43652632,0.333708327,0.486991899,0.355843825,0.40665469,0.515637876
10,0.269362233,0.316808669,0.22671354,0.300246552,0.241310378,0.291809952,0.259185761,0.234293557,0.193562209,0.252390941,0.231399315,0.291567794,0.354846458,0.403269385,0.281162626,0.289513448,0.287562824,0.393992049,0.389120329,0.480893181
11,0.258007303,0.235557087,0.260807846,0.277124059,0.217878649,0.225571715,0.281912203,0.269699789,0.379874118,0.427116675,0.378801757,0.324819577,0.27221558,0.325570563,0.277193139,0.301755934,0.27603507,0.226387664,0.188535488,0.13878264
12,0.44176795,0.871013793,0.401357867,0.729567134,0.751734216,0.40518436,0.584280477,0.50940983,0.341876789,0.224181936,0.430912324,0.303673372,0.203382312,0.273377998,0.1904828,0.247778615,0.322218144,0.262295003,0.250688964,0.25099925
13,0.994143574,0.133282393,1,0.958351554,0.094592448,0.717473159,0.459777018,0.977172042,0.258939474,0.504216361,0.39703452,0.514874269,0.5197608,0.270695512,0.543290236,0.417169883,0.369276864,0.313011717,0.415026606,0.494162576
14,0,0.082863336,1,0,1,0.454606249,0.151582063,1,0,0,1,1,1,1,1,1,0.321369119,0.020450174,0.203801237,0.525394386
15,0.182626639,0.369227936,0.405259302,0.431997279,0.471205614,0.372903595,0.292295317,0.707977062,0.721456878,0.492180802,0.383949584,0.429093313,0.375120574,0.609516903,0.550318084,0.441432654,0.471703295,0.460386002,0.414100061,0.461823456
16,0.233586342,0.361322968,0.405671785,0.33788339,0.310518104,0.419874629,0.236571639,0.165307527,0.166254062,0.238837825,0.215101341,0.273209919,0.307094026,0.527402089,0.428493388,0.210322342,0.314232583,0.362370601,0.255096858,0.196568498
17,0.345594312,0.295428246,0.687623433,0.625083398,0.686685534,0.531052224,0.546028945,0.589570665,0.547139553,0.52905796,0.599613708,0.317867499,0.409732489,0.427336331,0.325869734,0.370897443,0.240368254,0.476613489,0.506880243,0.641926857
18,0.225238488,0.333389377,0.965321856,0.769219499,0.453136526,0.308402034,0.361819856,0.730024838,0.608404258,0.315507293,0.268855091,0.171923797,0.446890251,0.417686347,0.339872908,0.164950599,0.211561677,0.186752725,0.18029925,0.310311683
