Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,86,260,148,77,196,215,85,117,161,394,803,707,379,368,268,460,598,516,990,767
2,8,16,9,26,21,45,107,497,270,345,234,303,153,238,189,235,381,172,236,286
3,974,1783,3315,2824,5214,5881,7911,7769,8930,9403,10013,10888,10340,11061,13206,15664,17767,22836,25746,23748
4,7080,7360,7134,9019,8659,18179,17077,15801,20109,19146,23929,27956,21466,18306,19589,26904,25369,24943,26088,32575
5,6,3,13,15,11,19,27,6,23,2,40,35,5,94,158,127,503,79,187,220
6,18,18,0,0,0,2,19,12,0,3,1,6,0,2,2,4,1,28,20,36
7,2106,2010,2371,2325,2280,1726,2378,652,1445,2991,3850,2007,2537,1668,2086,2135,2348,4047,5860,6734
8,5081,6406,6382,7481,7752,7491,7380,7771,6939,2431,2670,3210,3420,3290,3415,2799,2833,4090,5493,4187
9,530,368,759,1191,1572,3386,2082,2413,1891,2776,4546,3434,3018,3883,2890,4030,2651,2676,4735,3781
10,38259,49312,67163,78840,90630,126102,93025,83849,121857,144463,158892,134957,128431,147755,145958,190501,158235,144147,147553,234437
11,17178,13854,19972,20909,21979,22600,28360,27649,30109,39616,37140,35086,29116,35431,42360,44963,40308,45968,38861,51189
12,1211,1249,1486,1516,2621,5340,2179,6078,8691,9179,13061,5905,6929,5247,4597,8809,7801,7903,8356,6672
13,403,380,356,566,751,1451,571,826,784,1129,1273,573,929,1539,1252,1848,1818,3102,1802,1539
14,4,4,2,1,1,67,29,1,0,1,1,1,5,1,11,9,9,23,41,13
15,6609,8101,16119,15612,20011,15837,8088,18863,25514,35654,37501,33077,30385,43542,30594,37504,25237,25692,22074,23912
16,286,292,418,464,766,1040,1173,1495,1215,1911,1055,946,1032,1108,470,669,1013,717,1644,1146
17,14880,6612,13440,15844,19718,12133,17218,24306,36301,35275,51715,39492,44285,40528,41515,51228,32965,28557,27817,30215
