Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.000109419,0.000261211,0.000126888,5.13E-05,0.00012575,0.000113781,4.57E-05,5.71E-05,6.68E-05,0.000122068,0.000193395,0.000197114,0.000122987,0.000109955,7.21E-05,0.00010679,0.000140397,0.000123281,0.00021003,0.000136191
2,1.02E-05,1.61E-05,7.72E-06,1.73E-05,1.35E-05,2.38E-05,5.75E-05,0.000242608,0.000112011,0.000106887,5.64E-05,8.45E-05,4.96E-05,7.11E-05,5.09E-05,5.46E-05,8.95E-05,4.11E-05,5.01E-05,5.08E-05
3,0.001239236,0.001791308,0.002842117,0.001879881,0.003345196,0.003112312,0.004248833,0.0037924,0.003704647,0.002913205,0.002411534,0.003035615,0.003355375,0.003304927,0.00355494,0.003636419,0.004171302,0.005455892,0.005462048,0.004216757
4,0.009008,0.007394295,0.006116339,0.006003769,0.005555438,0.009620595,0.0091717,0.007713182,0.008342301,0.005931747,0.005763068,0.007794236,0.00696581,0.005469668,0.005273187,0.0062458,0.005956084,0.005959288,0.005534603,0.005784102
5,7.63E-06,3.01E-06,1.11E-05,9.99E-06,7.06E-06,1.01E-05,1.45E-05,2.93E-06,9.54E-06,6.20E-07,9.63E-06,9.76E-06,1.62E-06,2.81E-05,4.25E-05,2.95E-05,0.000118093,1.89E-05,3.97E-05,3.91E-05
6,2.29E-05,1.81E-05,0,0,0,1.06E-06,1.02E-05,5.86E-06,0,9.29E-07,2.41E-07,1.67E-06,0,5.98E-07,5.38E-07,9.29E-07,2.35E-07,6.69E-06,4.24E-06,6.39E-06
7,0.002679498,0.002019366,0.002032778,0.001547706,0.001462802,0.000913425,0.001277174,0.000318271,0.000599464,0.000926661,0.000927235,0.000559559,0.000823267,0.000498383,0.000561533,0.000495643,0.000551259,0.000966894,0.001243207,0.001195707
8,0.00646464,0.006435849,0.005471611,0.004979953,0.004973525,0.003964348,0.003963644,0.003793376,0.002878673,0.000753164,0.000643044,0.00089496,0.001109805,0.000983022,0.000919288,0.000649792,0.000665126,0.000977167,0.001165347,0.000743455
9,0.000674328,0.000369715,0.000650729,0.000792825,0.001008563,0.001791921,0.001118199,0.001177894,0.000784489,0.000860051,0.00109486,0.000957412,0.000979354,0.001160205,0.000777963,0.00093557,0.000622397,0.00063934,0.001004536,0.000671364
10,0.048677554,0.049541775,0.057582237,0.052482221,0.058146361,0.066735041,0.049961787,0.040930483,0.050552876,0.044757022,0.038267597,0.037626511,0.041676415,0.044147864,0.039290616,0.044225061,0.037150104,0.034439062,0.031303562,0.041627248
