Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3,12,104,233,294,174,56,46,92,5,36,23,2,37,20,21,31,19,60,35
Belgium,0,4,27,19,105,30,15,12,28,5,22,12,1,11,13,12,23,18,23,35
Congo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
France,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,6,73,202,184,140,37,10,9,0,12,10,0,8,5,7,6,1,0,0
Nicaragua,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,13,0,0,0,23,54,0,1,1,0,1,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
HHI,0.130590976,0.069385008,0.498396579,0.69848559,0.494660352,0.581649643,0.481926038,0.209602412,0.336912336,1,0.282297242,0.244155269,0,0.183389347,0.298621023,0.203256525,0.536242697,0.825292244,0.227996112,1
