Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.246242919,0.082863336,0,0,0,0,0,0,0,0,0.130590976,1,1,0.130590976,0,0.34754754,0,0,1,0
2,0,0,0,1,0,1,0,0,0,0,1,0.130590976,0.345360133,0,0,0,1,1,0,0
3,0.127760177,0.136381694,0.139913717,0.254998133,0.353290428,0.186937029,0.301348217,0.304024759,0.159100879,0.100274026,0.367516076,0.305307069,0.12130998,0.143269529,0,0.009955562,1,1,0.805433919,1
4,0.780840334,0.770267222,1,1,0.777923469,0.778319464,0,1,1,0,0.866275402,0.833778601,0.70182595,0,0,0.275376127,0.492034071,0.335452503,0.490030571,0.391941091
5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.962689601,0.408493649,0.047810851,0,0,0
6,0.130590976,0.069385008,0.498396579,0.69848559,0.494660352,0.581649643,0.481926038,0.209602412,0.336912336,1,0.282297242,0.244155269,0,0.183389347,0.298621023,0.203256525,0.536242697,0.825292244,0.227996112,1
7,1,0.338413412,0,1,0.339000132,0.61411052,1,1,0.54924937,1,0.733507946,0.644000488,0.211641102,0.249181138,0.793716712,0.053589838,0.237700389,0.136421408,0.411568928,0.497819526
8,0,0,0,0,0.705097496,0.378146341,0.933941647,0.776173484,0.83334418,0.432742087,0.121783526,0.17040655,0.628220498,0.518399085,0.858080283,0.768549655,0.781113926,0.93297964,0.541879576,0.82380335
9,0.433783876,0.330919583,0.412084992,0.31775615,0.266309544,0.34876727,0.318629829,0.306274583,0.30845494,0.265706664,0.326224148,0.316902336,0.332947241,0.340508808,0.182619022,0.19308962,0.193252277,0.194014515,0.167314681,0.194527162
10,0,1,0,1,0.328625463,1,1,1,0.883559144,0,0,0.962117574,0.727345517,1,0,0.982800262,0.552622199,1,0.683012702,1
11,1,0.145270646,1,1,0.824171114,0,0.902975425,0.994178677,0.480158487,0,0.987792829,0.988835441,0.721781206,0.976310106,0.938809321,0.949580876,0.976659803,0.995218622,0.979408159,0.998501573
12,1,0.706297667,0.211155092,0.306752593,0.366136017,0.47080817,0.233337865,0.618947071,0.923306392,0,0.933724023,0.373709216,0.233131465,0.903497435,0.370437585,0.763738015,0.765559401,0.929994711,0.459198459,0.855614665
13,0,1,0,0,0,0,0,0,0,0,0,0,0.18597402,0,0,0,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
15,0.371131169,0.966605587,0.024510411,0.58863237,1,0.11358899,0,0.815895431,0.516258481,0,0.93350897,0.142025809,0.856502933,0.473488498,0.736476242,0.160570203,0.564694041,0.247315456,0.086658385,0
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.596180887,0.750446423,1,1,0.959583646,1,1,1,1,0,1,1,0.868698357,0,0.405181391,0.188801266,0.299706258,0.384232297,0.610869937,0.447690858
18,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
19,0,0,0,0,1,0,0,1,0,0.018787938,1,0,0.702826275,1,0.912846455,0.186483151,0.058300524,1,0.833778601,0.552622199
20,1,1,1,1,0.46088215,0.4163222,0.04781085,1,1,0,1,0.73353581,0.14213395,1,0.28495926,0.76549348,1,1,0.88261929,0.76481384
21,0,1,0,0,0.98591753,0.882929848,0.283824166,1,1,1,0.968836493,1,0.331168773,0.350871306,0.866275402,0,0.219191998,0.321417742,0.142025809,0.841480405
22,0.88412883,0.753049975,0.580440818,0.96557744,0.932922302,0.572905068,0.983919287,0.951161946,0.853814682,1,0.971183846,0.825212411,0.455764211,0.981138251,0.990011846,0.909537728,0.548265924,0.308861972,0.801364685,0.801704942
23,0,1,0,0,0,0.014856839,0,1,1,1,0.383592046,0.656896852,0.631972133,0.63717834,0.465803362,0.492395482,0.525346422,0.771580132,0.250604882,0.735192239
24,0.59250635,0.532215837,0.21594525,0.990718094,0.853213197,0.834659754,0.842083873,0.875880599,0.846323069,0,0.280649588,0.519290553,0.913607757,0.25289592,0.314362632,0.307437233,0.549352665,0.651972198,0.601432415,0.690604437
25,1,0.130590976,0,0,0,0.435984474,0.432742087,1,0.487310034,0.284959256,0.609141131,0.447376776,0.717884156,0.971191495,0.833778601,0.492236326,0.921544793,0.705097496,0.427778038,0.624987994
26,0.170411382,0.142140262,0.431098171,0.558407123,0.437920886,0.169231209,0.274050022,0.384330979,0.219205426,0,0.28537446,0.066509486,0,0.18716671,0.207680482,0.235199731,0.16278998,0.372885192,0.215449842,0.149501465
27,0.920448464,1,1,1,0.989043292,1,0.957166863,0.998603308,0.629774499,0.136983982,1,0.855780064,0.338040576,1,1,0.260455163,0.226652215,0.343763592,0.335099882,0.403948638
28,0,1,0,1,0,0.533312933,1,1,0.308434179,1,1,0.426509533,0.805433919,1,0.222648802,0.979738523,1,0.043863921,0,1
29,0,0,0,0.325422491,1,1,0,0.762242846,0,0,1,1,0.677488313,0,0,0.920835987,1,0,1,1
30,0.938498124,0.632638468,0.906515305,0.935125203,0.239931672,1,0.103198264,0.189269906,1,0.453032986,1,1,0.387793422,0.984543837,1,0,0.93498569,0,0,1
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,0.133647322,0.130590976,0,0.130590976,0,0,0.284959256,1,0.91941722,0.43570202,1,0.429802872,1,1,0.333262121,0.019759812
33,0,0,0.28495926,0.24183737,0.39101087,0.58788192,0,1,1,0.45383505,1,0.70639064,0.44807469,0.11453466,0.49699423,0.16520365,0.20878872,0.47636546,0.48097511,0.89865825
34,0.825292244,1,0.870486336,0.373619771,0.196673329,0.734901267,0.287005628,0.271013905,0.493540944,0.013005734,0.390428198,0.461953465,0.318719603,0.327945906,0.340030223,0.382620288,0.402951398,0.204290146,0.596114549,0.799555676
35,0,0,0,1,0.181767729,0.166292083,0,0,0,0,0,0,0.746216749,0,0,1,1,1,0,0
36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
38,1,0,1,1,0,0,0,0,1,0,0.476688874,0.638643607,0.434967659,1,1,0.441727801,0.285174087,0.498448403,0.522099367,0.420305427
39,0.80750774,0.385812362,0.960281304,1,0.911937426,0.506072911,0.338876074,0.389066738,0.535290976,0.228060765,0.45780101,0.825239949,0.302767886,0.9398482,0.917214508,0.911467423,0.775403527,0.78779919,0.830575081,0.776603933
40,0,1,0,0.993157909,1,1,0.517656253,0,1,0.004173233,0.903885274,0.622300418,0.81553774,1,0.338253335,1,0.585797159,0.361528895,0.746216749,0.607140857
41,0.255456087,0.706786649,0.815238466,0.659816717,0.511580825,0.239004394,0.183464332,0.331566554,0.434226266,0.098140776,0.667697889,0.687868353,0.511016441,0.27572062,0.098659317,0.498049905,0.842332625,0.809530076,0.415630593,0.635408583
42,0,0,0,1,1,0,1,0,0,0,0,0.246516018,1,0,0,1,0.487310034,1,0.725533554,0
43,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
44,0.144590354,0.120802546,0.130590976,0.123329024,0.211406211,0.082863336,0.594425172,0.395235018,0.012498169,0.332549978,0.043761795,0.232324821,0.711145896,0.166755755,0.044435154,0.487310034,0.370237578,0.024510411,0.877547566,1
46,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.007132109,0,1,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
48,1,0.321791284,0.532709649,0.354891507,0.373940899,0.952940328,0.556921983,0.649043096,0.444030817,0.587113332,0.859124213,0.703481645,0.054830577,0.14525322,0.076863771,0.14665885,0.72680398,1,0,0.154700538
49,0.765446119,0,0.016891038,0.048101664,0.008939686,0.098496722,0.5624989,0.558920646,1,0.484919577,1,0.233610905,0.096867474,0.034344029,0.789263356,0.538113821,0.224744871,0.284959256,0.183111737,0.043761795
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
