Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,12,4,0,0,0,0,0,0,0,2,3,2,3,7,0,9,0,0,6,0
2,0,0,0,3,0,2,0,0,0,0,3,3,76,0,0,0,76,2,0,0
3,138,162,171,207,228,207,227,184,217,179,323,324,91,135,3,11,3,1,17,5
4,58,189,76,5,82,121,0,5,12,1,25,19,1443,0,1,58,56,27,554,8
5,0,0,0,0,0,0,0,0,1,16,0,0,1,48,91,4,5,1,0,0
6,2,12,104,233,294,174,56,46,92,39,36,23,2,37,20,21,31,19,60,35
7,1,10,0,7,120,35,40,63,96,92,117,176,47,105,96,5,11,37,51,314
8,0,0,0,0,22,113,3909,95,84,139,244,236,34349,370,259,590,575,1242,257,596
9,25905,29803,47339,39388,45017,46249,47350,80508,87881,80454,43400,65154,8,60407,65270,67088,59884,52404,52165,67592
10,0,45,0,27,599,340,158,243,221,3,1,180,69,2,0,198,6,3,2,3
11,4,11,47,13,17,3,104,586,268,2,2945,4652,702,5803,8140,9272,10302,9539,4989,9113
12,73,77,196,114,167,540,287,184,44,66,51,103,2197,244,88,157,100,100,141,55
13,0,79,0,0,9,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,0,0,0
15,16,304,7,20,35,58,0,126,54,72,305,9,10136,276,234,215,129,136,55,0
16,0,0,0,0,131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,1432,2987,1228,447,6152,1448,1796,502,3,2,3,42,1433,0,559,342,37,58,66,175
18,0,0,0,0,8,19,0,0,0,0,1,0,13,0,0,0,1,0,0,1
19,0,0,0,0,1,0,0,2,0,16,131,0,230,121,37,12,5,16,20,7
20,23,1,11,3,351,17,6,2,5,13,5,10,210,1,4,14,11,30,152,450
21,0,23,0,0,167,315,178,9,1,116,328,62,42,285,25,4,30,17,8,21
22,1106,1884,1305,593,857,1843,1460,1895,2311,2880,2864,5653,201,5786,6929,5279,4203,9118,7306,9943
23,0,1,0,0,0,9,0,8,12,3,223,695,2626,740,639,553,1132,1335,652,1511
24,1017,1025,1145,1102,935,1572,1441,1383,1300,2823,4131,3255,39,5458,6777,4559,4051,6882,6131,9685
25,4,7,0,0,0,247,32,15,6,12,76,22,14117,346,20,232,43,55,38,34
26,370,460,987,2848,1867,5239,1979,3416,10514,17252,6564,2203,0,3676,8123,14142,13203,8992,15606,3424
27,212,5,38,351,5910,1128,1584,2444,671,526,1,726,8593,2242,349,6909,4764,3014,2593,5725
28,0,3,0,6,0,59,22,4,50,37,17,56,16,144,152,1849,21,47,48,100
29,0,0,0,96,260,7,0,69,0,2,5,5,10,0,0,86,2,0,36,65
30,110,113,101,105,456,71,75,113,118,175,5,7,305,660,10,1,156,1,0,2
31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,32,3,0,2,0,5,9,4,468,13,2,7,9,2,24,39
33,0,0,3,24,26,69,0,20,8,78,39,148,116,32,110,61,67,41,71,346
