Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,11098,3446,3096,4088,20098,1941,10965,12716,27210,50495,38647,29062,172702,29096,58004,42710,52628,40693,42824,51680
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,0,0,728,1231,0,13674
Argentina,0,0,493,0,0,0,0,0,0,4216,0,0,173,0,2653,514,0,1216,1624,9949
"Tanzania, United Republic of",4611,232,895,309,1888,425,17,782,3077,2920,8972,9080,0,6364,5093,9960,5591,8550,9900,7748
Russian Federation,0,0,0,0,0,0,0,0,78,56,2121,13884,0,2705,11408,18642,11651,6763,11660,4265
India,0,0,0,0,166,0,0,0,0,353,498,0,80944,1491,5085,235,2,1564,0,3788
Australia,0,0,0,0,0,0,0,0,0,0,3701,1190,0,0,0,0,0,0,1154,3619
Zambia,0,0,0,0,0,0,0,0,555,4430,704,2,0,65,5344,2534,319,531,792,2911
Japan,0,0,0,0,0,0,0,8278,2066,0,184,20,69,0,0,3210,107,0,2659,2741
Canada,0,316,0,413,1212,0,2759,54,9,4600,1206,2984,0,658,1087,882,1512,264,389,1265
Uganda,6487,2898,1675,510,14298,1419,241,1401,13650,3857,384,57,0,2794,3598,1397,477,2941,2041,458
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,0,354
United States of America,0,0,0,0,30,15,0,1794,3648,2216,2408,25,105,60,16,137,4633,2767,12,346
South Africa,0,0,0,0,0,0,53,0,0,1,0,1,0,1,877,3,1493,974,866,305
China,0,0,0,18,0,0,0,154,0,27,4657,0,875,0,15434,1,8922,56,65,172
United Arab Emirates,0,0,2,3,18,12,5,3,4,70,238,2,7034,475,14,15,23,21,20,38
Kenya,0,0,17,32,0,1,0,0,0,0,662,645,0,167,14,334,355,55,204,34
Italy,0,0,2,1,2,34,6587,2,134,409,1805,83,39,506,3,204,1,0,1064,12
Belgium,0,0,0,0,1,8,6,1,2,4,1,0,0,2,7,4,7,315,1025,1
Thailand,0,0,0,0,14,0,73,0,0,0,3,0,72159,0,204,0,0,0,0,1
"Korea, Democratic People's Republic of",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,2757,0,0,0,2530,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,0,0,16,0,0,0,0,1,6,2,2,0,0,1,0,0,2,0,0
Cyprus,0,0,0,22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
France,0,0,0,11,0,0,0,0,13,2109,0,0,544,0,0,62,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,243,6,0,0,0,1961,2164,460,9661,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0
Ireland,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
