Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.109954954,0.04534601,0.284575636,0.809050313,0.590434511,0.277285645,0.846517678,0.398349424,0.784867328,0.467880758,0.634968294,0.86892559,0.558532946,0.905435144,0.925759137,0.764543479,0.241925575,0.734154663,0.318673503,0.505857052
2,1,1,0.442649192,0.347813916,0.396469755,0.330084606,0.500453051,0.190438095,0.388354413,0.310132102,0.483514856,0.904947627,0.241704013,0.991765665,0.990268654,0.990246968,0.511396939,0.959486003,0.679850504,0.3950103
3,0.642910231,0.263769074,0.401219067,0.211868046,0.212372541,0.705097496,0.756549911,0.672386871,0.48281999,0.850865702,0.825870629,0.862612151,0.207840641,0.895190503,0.844075651,0.607066409,0.593402031,0.767852596,0.772576084,0.681560942
4,0.146458087,0.302098427,0.46676586,0.375156114,0.337955827,0.153458545,0.138745135,0.339782348,0.474254907,0.32555002,0.409466917,0.481011139,0.311997321,0.242906054,0.351548426,0.212373712,0.165069753,0.218392457,0.183461175,0.162145659
5,1,1,0.371443242,0.748292247,0.002735654,0,0.277040015,0.170047422,0.52110626,0.44041221,0.496440452,0.040494986,0.284571472,0.293885177,0.733072253,0.107298258,0.393680037,0.858273785,0.297478898,0.484737163
6,0,0,0.851784171,0.365706549,0,0.815895431,0.21673772,0.130590976,0.130590976,0.556142721,0.444400977,0.917767255,1,0.705097496,0.24384732,0.118033989,0.511396939,0.10656667,0.268245951,0.541563243
7,0.848566112,0.95930973,0.900234112,0.299657579,0.257705007,0.326163068,0.310800576,0.282715732,0.377043215,0.473435338,0.364652958,0.343479699,0.258087319,0.327630149,0.217835665,0.407368702,0.271604239,0.591583156,0.618680563,0.484594485
8,1,0.683012702,0.053589838,0.047810851,0.310271661,0.56145549,0.174941508,0.266351256,0.215180965,0.166802237,0.445787593,0.36799742,0.445075866,0.20407933,0.225057775,0.211270421,0.356604484,0.513880811,0.323512323,0.389830288
9,1,0.014856839,0.563409923,0.364022314,0.180459863,0.259870038,0.363963876,0.253033452,0.261108069,0.110919032,0.37989084,0.149179176,0.216226095,0.329064165,0.332657873,0.390467112,0.319070275,0.582406181,0.431084573,0.617464747
10,0.034249341,0.641865486,0.411252627,0.47070867,0.624579057,0.645320351,0.519982227,0.529591977,0.427733452,0.295951966,0.17630186,0.443801299,0.515884732,0.243065835,0.21763784,0.379087248,0.194491301,0.208398945,0.247140572,0.21060815
11,0.447475183,0.352314089,0.408132714,0.453812287,0.53394559,0.447952073,0.462817446,0.368783265,0.352492288,0.406831503,0.463016238,0.209352915,0.42036497,0.214435758,0.174752711,0.209323474,0.400981273,0.417206083,0.461105317,0.526326879
12,0.325703813,0.448248847,0.257590963,0.309986548,0.332349912,0.145031782,0.408298319,0.338114764,0.975094888,0.935928999,0.40689092,0.810429075,0.317087512,0.463126145,0.65154743,0.636979863,0.438784065,0.308253575,0.279366316,0.32900931
13,1,0.975451849,1,1,0.100282941,0.000392325,0.991667331,0.026607909,1,0.414157274,0.001804772,0.989446093,0.628092971,0.457598417,0.984586181,0.968936885,0.919731007,0.988424938,0.364161582,0.991550073
14,1,0,0,0,0,0,0.835553951,1,0,0,0,1,0,0.18597402,0.519386592,1,1,0,0,0
15,0.328831269,0.484550083,0.319932256,0.341892593,0.402802303,0.454510417,0.302208953,0.458224474,0.374706551,0.25799282,0.267439833,0.307855238,0.734052117,0.34362155,0.157661678,0.213506093,0.267744268,0.444997442,0.266766292,0.286045399
16,0.494137298,0.002754483,0.226939215,0.276761486,0.132898288,0.100894357,0.403177933,0.058624092,0.305838972,0.453778937,0.149806328,0.884518213,0.325860933,0.28847327,0.36535954,0.874301073,0.94976213,0.657070907,0.963012149,0.955793023
17,0.894604478,0.735115378,0.776560531,0.577418028,0.458387651,0.343455689,0.279281201,0.703670234,0.85106262,0.857242269,0.304877527,0.653898642,0.646038508,0.799551843,0.592208674,0.495180971,0.372185077,0.337940955,0.221021229,0.374452919
18,1,1,0.632670967,0.315043286,0.354842474,0.7805045,0.491475533,0.602259069,0.162579197,0.370879753,0.490275697,0.499003847,0.276918102,0.342803334,0.371488529,0.460672304,0.428232485,0.4248278,0.348953896,0.337024771
19,0.21599104,0.170278919,0.335202674,0.207471083,0.152887849,0.263002923,0.25812633,0.247509359,0.173781634,0.073677174,0.151138683,0.344387793,0.282652735,0.139639883,0.295689957,0.28000885,0.17045403,0.338612808,0.420877685,0.313583305
20,0.845284899,0.150838772,0.5954364,0.574476272,0.380619726,0.663865273,0.3829384,0.504215818,0.421447979,0.455735259,0.37352029,0.254096059,0.393159923,0.555839618,0.358472934,0.421607601,0.385512818,0.425968172,0.518874447,0.43798309
21,0.462232861,0.490529065,0.418293075,0.222706188,0.23075041,0.273687826,0.261616383,0.322693939,0.954592791,0.30029101,0.159552602,0.359871221,0.288372207,0.355553637,0.312341779,0.337361008,0.358493149,0.33851828,0.317533413,0.316566312
22,0.292654674,0.243028171,0.176940749,0.38865178,0.370188798,0.307169009,0.376460316,0.289845129,0.288113831,0.196721369,0.218514893,0.517820932,0.265444132,0.258507996,0.301812333,0.316471102,0.298826138,0.396669428,0.402727851,0.309684305
23,1,0.17922929,0.247173735,0.243850973,0.439989278,0.401219067,0.432742087,0.287973249,0.653873847,0.457421791,0.343258058,0.433333333,0.243731513,0.427352077,0.304784798,0.369442524,0.55443992,0.447986894,0.673774416,0.358660522
24,0.934360917,0.317302886,0,0.978600305,0.437244848,0.558613826,0.755961999,0.632747691,0.63212174,0.657595878,0.617453219,0.669691792,0.312415802,0.941137001,0.977779065,0.954212142,0.932798593,0.962465477,0.95650234,0.914787616
25,0.510412741,0.316169401,0.479040222,0.475293708,0.581647907,0.596452949,0.217069752,0.537842729,0.456739807,0.353854713,0.321103843,0.532552441,0.388742219,0.486805903,0.56746827,0.538526726,0.65301074,0.554591372,0.579234276,0.55041941
26,0,0,0,0,0.012883532,0,1,0,0,0.952032393,1,1,1,0.484276425,0.539867246,1,0,1,0.188948483,0
27,0.558420159,0.545531134,0.609016278,0.366807365,0.91398054,0.268968163,0.326986523,0.282681839,0.737865078,0.429031209,0.473144756,0.392603936,0.300863123,0.417977832,0.4314051,0.671488364,0.706085457,0.647083848,0.692087736,0.516080869
28,0.181247407,0.253557939,0.186357585,0.236703348,0.171581514,0.091618143,0.239776162,0.289035623,0.282795212,0.24879265,0.240470821,0.223462865,0.133601311,0.289169152,0.230389936,0.24745771,0.30312206,0.328998958,0.22733095,0.230141458
29,0.330555107,0.431221658,0.321837333,0.304235836,0.155838832,0.151427146,0.184771548,0.154220272,0.29503073,0.302343239,0.196717458,0.186026936,0.161486818,0.204393905,0.200243302,0.248508218,0.224030887,0.24249456,0.237683477,0.225981449
30,0.344277378,0.288411826,0.372300307,0.348238884,0.414190024,0.405858492,0.299381363,0.319999265,0.335360189,0.386311636,0.323177427,0.375236037,0.766733492,0.257867755,0.349644314,0.32413142,0.33797129,0.338122628,0.335975835,0.418361784
31,0.11588628,0.109306975,0.525994122,0.216181918,0.111971826,0.344405137,0.350992394,0.249229162,0.609487762,0.577542603,0.439459773,0.283650486,0.868552063,0.214912317,0.393921463,0.550225596,0.330459495,0.543028018,0.725124219,0.413148284
32,0.412297822,0.284192216,0.230079955,0.206509435,0.207224134,0.271168218,0.328903073,0.29650884,0.230271908,0.259827254,0.26355492,0.196553559,0.248984072,0.262689846,0.300732214,0.322799683,0.312729724,0.33081589,0.316942042,0.326855604
33,0.26929399,0.153568402,0.177433605,0.497591721,0.563249892,0.460612647,0.428626373,0.514824702,0.242853668,0.269731408,0.350126991,0.464747929,0.271807776,0.39767434,0.392874461,0.286560077,0.334925119,0.359871613,0.358457523,0.325301079
