Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,50,66,51,104,103,81,1419,342,1007,2414,1880,1028,105,1497,2033,1250,227,1495,1035,1371
2,22,27,27,1373,251,12,574,35,32,23,35,3418,85567,9000,5029,2963,9,928,513,160
3,45,16,15,94,21,10,863,367,1204,2056,2389,1924,34877,1868,1725,1735,3038,4012,3501,3209
4,663,403,912,2382,2341,1338,744,1826,4123,2571,1908,1895,6090,1362,1161,605,1167,671,961,931
5,6,6,22,12,21,16,26,22,165,184,31,147,4343,16,243,7,92,65,45,15
6,0,0,45,69,0,18,60,18,3,10,78,41,10,11,36,9,9,8,9,21
7,727,927,632,365,195,1785,1612,1384,5102,2709,5278,2768,1109,2393,2609,5128,2843,2731,4140,1993
8,2,7,6,6,32,69,34,27,42,57,57,95,774,119,87,140,162,172,241,207
9,14,11,20,212,23,42,1113,42,47,104,157,19,386,481,651,544,403,601,1041,1423
10,11099,3447,3096,4088,20098,1941,10965,12716,27210,50495,38647,29062,174176,29096,58004,42710,52628,40693,42824,51680
11,3805,4571,5782,9087,11740,15072,14208,13796,20004,49043,14378,12221,16572,13296,18672,18131,11681,12119,11724,11911
12,113,313,504,253,480,995,798,809,116362,148367,4459,1641,543,583,670,1143,2804,935,1392,1565
13,295,672,337,654,1092,1665,851,1424,1231,1675,1087,969,223,1053,1105,1288,420,817,1542,946
14,1,0,0,0,0,0,182,1,0,0,1,2,0,40,120,1,1,0,0,0
15,1405,1316,1031,2064,3791,4542,3291,3314,14110,14919,12867,11636,22560,14133,10056,13515,11075,9394,9691,7500
16,33,104,34,121,78,67,44,97,63,194,186,1497,2415,163,192,1709,4814,5318,4424,7035
17,2229,1658,1437,5363,6171,1332,1306,12994,10934,13824,9142,9495,15059,11890,26164,23513,21467,25153,21096,30135
18,13,17,25,44,67,30,396,71,137,206,234,122,693,63,89,106,123,92,140,210
19,281,274,313,548,747,731,1639,744,1348,2231,2298,1364,6804,2403,4951,4629,5564,3665,4964,4533
20,200,77,132,491,957,1298,1773,1177,1677,2240,2549,581,5015,1336,1398,1863,1859,2422,2311,3598
21,1485,1495,2011,7508,3372,3209,2428,1596,67905,2614,4057,4479,5609,9594,7861,5409,10231,10698,18539,9490
22,484,1096,1246,59141,1856,2578,2885,3216,4644,7246,5967,4378,6349,3353,4446,5999,6802,8659,11515,16359
23,2,38,66,18,22,5,16,74,240,248,145,120,1405,163,140,125,137,274,672,834
24,104,9,1,3268,799,830,94,2042,2331,3165,3982,1742,1525,4226,4134,3437,3515,6673,3612,8550
25,9159,10520,12864,13330,22011,21716,1435,37024,38828,33347,24215,22860,16990,18258,17474,25216,51067,39988,48621,39377
26,0,0,0,0,30,0,2,0,1,212,2,2,360,11,19,7,0,3,61,0
27,26694,28491,21804,4153,118410,10550,7981,8570,343061,170150,168453,164731,166047,112180,154217,156205,164944,142690,178840,286798
28,972,1077,1790,2025,1812,2620,3913,1931,2959,4203,4182,2639,1653,4027,4248,5511,5847,5183,3428,8363
29,1098,738,914,463,463,809,1244,709,2158,1660,2492,954,3232,1370,1956,2124,3373,1980,3027,2715
30,10696,14977,16135,26619,25407,31952,29475,40213,50042,56508,54420,49208,29478,55625,62097,60533,62632,64486,69778,57548
31,3249,2409,2500,3689,2233,3608,1120,6101,10285,13831,22224,19938,7153,22206,29514,36226,27484,34255,19359,75997
32,1175,1155,1763,1902,1438,2305,2527,2942,4543,4931,4723,3913,1530,4373,5031,5548,5407,5916,6162,7574
33,258,350,987,2541,3599,3114,7332,4593,5550,6334,8620,5702,4975,9506,8790,9198,10250,10422,8068,12816
34,607,649,1129,2189,2182,2301,1748,1846,2449,2811,3578,2241,4616,2418,2348,2483,2779,3196,4139,4881
35,151,194,174,222,238,248,1767,726,1002,822,692,902,469,1300,973,903,2134,961,1317,2053
36,97,8,30,52,29,112,88,362,183,1208,785,132,507,551,304,651,1089,757,273,868
37,111,140,131,183,444,222,527,96,80,159,119,11,66,65,91,101,66,89,54,129
38,1237,3743,4422,2894,2650,2207,3046,2583,6853,7114,5314,3838,5587,5883,11087,8231,10311,19858,29536,14800
39,2863,2120,5883,6437,5008,5964,6495,9224,12489,19844,19892,10868,12039,17408,17062,21847,19438,22235,31665,39079
40,3139,3849,3991,5313,4680,6156,4081,4602,8068,10036,8596,6633,7159,9049,18217,11042,10408,10024,14712,14010
41,8,3,1,4,5,1,8,1,8,6,7,16,52,28,59,30,15,0,63,32
42,61,46,145,319,168,465,2176,250,414,393,589,1282,1694,3689,3868,3405,1300,1190,810,1498
43,2,0,0,0,0,0,0,0,1,3,7,13,2,6,6,1,1,6,0,1
44,236,326,1578,1030,1462,928,1963,1623,3619,1770,2993,2031,1328,1635,1626,1270,1480,1636,2198,2129
45,0,0,0,9,1,0,3,1,13,4,1,12,4,3,0,3,2,0,0,0
46,0,35,2,6,4,3,1,0,62,13,13,1,96,8,1,155,13,26,32,61
47,77,120,155,58,29,74,3,0,61,40,2,7,2,0,0,0,1,0,1,1
48,2580,3566,6916,6095,5098,6055,33424,7502,10569,12320,11176,7030,9264,11759,10713,9636,14908,16563,14586,18963
49,707,1496,2365,2428,2122,3160,3861,4657,5145,12425,6182,3567,1382,6885,7592,3346,11750,5488,4529,7051
50,0,23,0,0,0,5,24,0,407,2,413,1,1,1,0,1,0,3,1,1
51,10,9,21,10,18,11,83,2293,7,705,51,2,34,33,20,2,3,1,206,14
52,100,15,56,284,779,579,1925,500,296,546,671,264,14050,685,3194,5010,4315,7364,7648,8870
53,0,0,15,3,0,0,61,439,147,1,0,1,105,6,15,16,1,16,3,2
54,34,77,170,159,281,1138,272,88,678,512,716,11,298,518,2582,590,203,148,286,216
55,256,200,398,769,1015,792,1478,3179,2579,2654,1630,480,1986,1269,1024,687,1539,1418,1296,3215
56,91,438,105,81,269,38,156,76,111,267,93,139,300,211,246,228,250,291,1150,1523
57,17,74,31,97,300,157,463,136,434,165,559,82,85,170,272,449,540,290,292,531
58,86,197,68,46,29,21,486,93,112,180,104,12,238,58,980,993,552,597,118,210
59,50,125,56,126,78,113,55,70,284,205,141,86,170,66,145,91,150,99,116,179
60,7,11,8,21,11,9,10,10,3,344,247,4,22,11,50,51,50,90,9,59
