Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,193,259,662,774,738,687,883,1048,955,1092,721,734,528,540,555,536,306,1017,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
France,7,9,10,1,0,0,36,14,34,18,0,0,10,0,0,16,58,79,0,0
Gambia,0,0,0,0,37,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,21,19,20,0,0,0,0,0,0,0,0,0
Guinea,0,6,29,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,122,6,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,0,4,0,19,2,7,0,0,0,0,0
Netherlands,14,7,114,290,44,126,215,112,102,71,90,128,115,221,94,213,101,132,0,0
Portugal,110,137,211,183,314,484,358,406,411,300,351,131,45,57,51,71,89,26,0,0
Guinea-Bissau,0,0,0,0,0,0,16,238,33,43,0,11,0,0,0,0,0,17,0,0
Timor-Leste,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,41,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,23,83,59,2,12,22,7,54,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,263,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
United States of America,61,101,227,155,0,75,232,255,135,560,221,342,333,260,403,237,58,762,0,0
HHI,0.313489387,0.383206969,0.25909388,0.201867095,0.303156006,0.472280023,0.293357006,0.232199464,0.259820419,0.41229088,0.3096109,0.193666704,0.449053335,0.281363728,0.502728628,0.219612827,0.030319135,0.574860681,0,0
