Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
3,0.299531184,0.898155174,0.328080437,0.489417831,0.465885906,0.502431491,0.536618383,0.363033098,0.350422711,0.506344512,0.67930053,0.603072428,0.614386668,0.78345015,0.914196175,0.763860214,0.974715029,0.854984816,1,0.555765594
4,0,0,0.382198987,0.161152853,0.528520417,0,0.097338712,0.705097496,0.284959256,0.487310034,1,0.602684149,1,1,1,0,1,0.01324544,0,0
5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0.575657618,1,0.375046093,0,0.448634646,0.005325655,0.130590976,0,0,1,0,0,1,0,0,0,0,0
8,0,0,0.13059098,1,0.13059098,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,1,0,0.921225149,0.865338764,0.848501418,1,0.945483613,0.717408255,1,1,1,1,0.132335786,1,0,0,1,0,0,0
10,0,0,0.440525087,1,1,1,0.969104069,0.487310034,0.998267164,0.296341614,0,0,0,0,0,0,0,0,0,0
11,1,1,1,0.984103888,0.296089913,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0
12,0,0,0,0,1,0.370162584,0.069276671,0.02351481,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,1,1,0,0.082863336,1,0.631636167,1,1,1,1,0.047810851,0.211460113,0.897162315,1,1,1,1
16,0.210679624,0.190774949,0.005084487,0.397503678,0.032661881,1,0.842503553,0.983612967,0.863112521,0.975135798,0.712549476,0.749542091,0.851699034,0.639248414,0.909897033,0.672100645,0.639954909,0.585775176,0.65376956,0.589021408
17,1,0,0.218632176,0.011243197,0.063569682,0.074300818,0.426271496,0.606863649,0.968942532,0.317193987,0.020450174,0.196727973,0.130590976,0,0.074300818,1,0.401219067,1,0,0
18,0,0,1,0.117858007,1,0,0.445154908,0.63487417,1,0.321895142,0,0,0,0,0,0,0,0,0,0
19,0.567711902,0.815895431,0.134607683,0.228271354,0.32365853,1,0.913043411,0.707348547,0.292799439,0.418107615,0.216596332,0.242906235,0.343384211,0.343268802,0.761987848,0.588104719,0.546161695,0.316332277,0,0
20,0,0,0.017957912,0.366868781,0.367976295,0,0.886432981,0.378053671,1,0.717568901,0,0,0,0,0,1,0,0,0,0
21,1,1,0.229105995,0.625934957,0.289847441,1,0.2,0.346147762,0.100714794,0.201444908,0.212372541,0.024510411,0,1,1,1,1,1,0,0
22,0.313489387,0.383206969,0.25909388,0.201867095,0.303156006,0.472280023,0.293357006,0.232199464,0.259820419,0.41229088,0.3096109,0.193666704,0.449053335,0.281363728,0.502728628,0.219612827,0.030319135,0.574860681,0,0
23,0,0,0,0,0,0,0,0,0,1,0.065614045,0.676128419,1,0.22223887,0.258016146,0.309252604,0.495255323,1,1,1
24,0,0,0.502220579,0.217010453,0.845942505,0,0.904092951,1,0.435731149,0.167297897,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0.761896479,0,1,0,1,0.328733436,1,0,1,0,0,0,1,1,0,0,0
27,0,0,0.234011583,0.442663027,0.534662601,0,0.682614165,0.927321975,0.657174521,0.900719856,0,0,0,0,0,0,0,0,0,0
28,0,0,0.413664145,0.813279311,0.307007204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0.234331803,0.654296486,0.85722856,0.082863336,0.821384786,0.593993829,0,0.544835808,0.961853449,0.909005322,0.527639009,0.453435071,1,0,0,1,0.778352561,0,0
32,1,1,0.145349312,0.238171176,0.471136129,0,0.585476977,0.293918687,0.414865603,0.701874266,0,0,0,0,0,0,0,0,0,0
33,0,0,0.553419242,0.083411667,0.957941586,1,0.637737222,0.766344531,0.648905361,0.24226906,0,0,0,0,0,0,0,0,0,0
34,0,0,0.211955679,0.603553391,0.523653204,1,0.126558208,0.07137143,0.284959256,0.22358672,0,0,0,0,0,0,0,0,0,0
35,0,0,0.130590976,1,0.047810851,0,1,0.130590976,1,1,0,0,0,0,0,0,0,0,0,0
36,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
38,0,0,0.398228208,0.597603092,0.788389395,1,0.146660972,0.605180415,0.422965131,0.159599587,0,0,0,0,0,0,0,0,0,0
39,0,0,0.143471386,0.235233699,0.44886969,0,0.507794639,0.359764113,0.491780713,0.317138466,0,0,0,0,0,0,0,0,0,0
40,0,0,0.063609,0.12890618,0.27415643,0,0.433966,0.16637954,0.33139973,0.27204891,0,0,0,0,0,0,0,0,0,0
41,1,1,1,1,1,1,0.793767105,1,0.860554101,0,1,1,1,1,1,1,1,1,0,0
42,0,0,0,0.317302886,0.264115911,0,1,0.352852202,0.082863336,0.130590976,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0.428845688,0.284959256,0,0.643014035,0.247219129,0.354719855,0.084254936,1,0,0.401219067,0,0,0,0,0,0,0
48,0,0,0.229984362,0.330179004,0.194085547,0,0.49879952,0.811167915,0.392158895,0.238935861,0,0,0,0,0,0,0,0,0,0
49,0,0,0.514844916,0.0554553,0.673897359,1,0.603553391,0.130590976,0.103484369,0.484349119,0,1,0.257956094,0,0,0,1,1,0,1
52,0,0,0,1,1,0,1,1,1,0.825292244,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0.871309362,1,1,0,0,0.077330578,1,1,0,0,0,0,1,0,0,0,0,0
55,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,0,0,0.907315955,0.334634782,0.176648289,0,0.284959256,0.246482655,0.541152087,0.323705832,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
