Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,0,0,111,194,156,0,143,223,316,294,0,0,0,0,0,0,0,0,0,0
3,411,1145,11001,12604,10903,18136,15774,38830,58046,50625,31384,35741,29625,23286,9937,13646,10020,8858,674,659
4,0,0,27,35,33,0,59,42,42,42,26,25,12,20,14,0,128,143,0,0
5,0,0,0,0,0,6,15,0,0,18,13,0,0,0,0,0,0,0,0,0
6,736,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,21,20,43,0,76,44,43,47,0,41,0,0,53,0,0,0,0,0
8,0,0,3,2,3,0,6,30,5,6,0,0,0,0,0,0,0,0,0,0
9,36,0,126,117,88,188,126,43,15,37,8,47,81,40,0,0,27,0,0,0
10,0,0,27,5,7,12,116,21,5481,131,0,0,0,0,0,0,0,0,0,0
11,2,3,4,858,22,0,9,8,7,6,0,0,0,0,0,8,78,29,0,0
12,0,0,0,0,1,13,25,49,3,0,0,0,0,0,0,0,0,0,0,0
15,0,0,12,15,15,0,16,28,48,28,2,2,1,20,44,227,200,112,109,133
16,82,109,78,440,206,627,11048,18280,30658,22849,26926,32116,26902,27679,27221,45817,37325,33220,35379,31010
17,1,0,28,24,22,40,56,64,783,74,23,31,9,16,8,7,5,6,0,0
18,0,0,3,30,25,0,59,53,53,114,0,0,0,0,0,0,0,0,0,0
19,16,18,46,34,86,151,169,102,258,296,282,225,203,241,376,724,216,462,0,0
20,0,0,46,62,39,0,102,59,38,40,0,0,0,0,0,4,0,0,0,0
21,7,19,116,45,65,10,38,103,81,79,84,15,0,1,1,1,1,2,0,0
22,243,284,687,861,801,687,978,1097,1065,4376,798,791,528,540,589,536,306,1017,0,0
23,0,0,0,0,0,0,0,0,0,50,52,168,205,386,369,1849,1747,1427,1583,1679
24,0,0,60,284,346,0,346,197,330,875,0,0,0,0,0,0,0,0,0,0
25,0,0,0,58,1,162,0,4,106,2,0,1,1,0,0,5,101,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,41862,52533,56080,0,73559,58703,107073,139124,0,0,0,0,0,0,0,0,0,0
28,0,0,31,48,6,0,4,8,21,25,0,0,0,0,0,0,0,0,0,0
29,0,0,11,6,6,0,2,1,23,17,0,0,0,0,0,0,0,0,0,0
30,145,101,39,84,4,130,31,17,509,503,74,68,39,65,0,0,149,105,0,0
32,15,19,64,79,72,0,387,379,421,362,0,0,0,0,0,0,0,0,0,0
33,0,0,62,113,112,20,165,176,112,375,0,0,0,0,0,0,0,0,0,0
34,0,0,25,24,31,7,37,44,53,76,0,0,0,0,0,0,0,0,0,0
35,0,0,3,3,5,0,4,6,8,11,0,0,0,0,0,0,0,0,0,0
