Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,2387,2321,2469,3264,3083,2933,3147,2785,3787,3026,2996,3063,2640,2499,3863,4249,3503,3139,3605,3985
Portugal,2067,1944,2030,2628,2589,2615,2333,2119,3123,2465,2333,2313,2110,2015,2911,2817,2722,2135,2822,3027
Spain,159,110,179,203,236,138,331,360,391,198,311,278,207,221,554,1045,393,728,361,467
China,55,89,60,217,81,84,115,71,71,96,77,121,171,94,167,203,221,181,243,314
France,37,47,53,37,24,13,59,89,24,93,183,149,3,56,67,62,51,57,39,111
Italy,25,32,66,58,70,34,145,29,49,41,44,22,35,18,25,45,49,8,6,17
Senegal,2,1,1,2,3,5,1,1,8,2,1,0,2,17,7,6,6,6,18,17
United States of America,3,3,4,9,4,2,2,19,16,15,13,27,32,1,25,3,5,2,75,7
Netherlands,5,0,12,35,12,20,1,3,4,3,2,3,3,13,10,18,6,4,5,5
Switzerland,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,5
Belgium,1,5,5,6,1,0,32,6,4,2,3,2,10,37,3,13,7,2,4,4
United Arab Emirates,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,3
Germany,26,14,47,36,30,1,10,8,12,37,19,18,33,10,24,16,16,3,11,2
Morocco,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,5,0,0,0,2
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,7,2
Brazil,2,27,4,4,21,19,114,70,34,61,0,9,16,0,0,0,2,0,8,1
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gibraltar,0,0,0,0,0,0,0,0,6,1,0,46,6,0,37,0,0,0,0,0
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Canada,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Denmark,0,5,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,1,0,0
Ireland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Norway,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
South Africa,0,0,4,1,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0
United Kingdom,4,40,1,20,9,2,1,4,12,9,5,34,4,1,5,13,5,4,1,0
HHI,0.818834527,0.782226212,0.766373911,0.747639253,0.792130913,0.847408228,0.657169582,0.690703869,0.779577247,0.75586067,0.714964889,0.687844561,0.746204236,0.740657101,0.697311556,0.60286967,0.722525084,0.61945367,0.716724238,0.69752644
