Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1,0.7713764,0.982264188,0.939875431,0.366896,0.657058605,0.925010543,0.806102168,1,1,0.98709196,1,0.984083182,0.947076276,1,1,1,1,1,1
2,0.427532933,0.468905108,0.44008619,0.35795152,0.452403528,0.488295458,0.574060109,0.449284046,0.244633529,0.223098489,0.247730071,0.212663675,0.19664159,0.197004626,0.243827027,0.269295009,0.269547351,0.247335449,0.331782173,0.27239631
3,0.603003486,0.60428469,0.540910092,0.38564553,0.531028379,0.505566663,0.586562397,0.519673399,0.552194903,0.689388367,0.534538904,0.403209378,0.354462894,0.396867648,0.581803544,0.63229348,0.564417867,0.443651298,0.473583177,0.582847233
4,0.351137629,0.323641536,0.398958415,0.388890476,0.403567551,0.509205408,0.343920535,0.346907596,0.375399084,0.314067868,0.38344669,0.383684052,0.34188777,0.408742689,0.393597857,0.353727616,0.367494203,0.379745462,0.446020755,0.464882671
5,0,1,1,0.130590976,1,1,0,1,1,1,1,0.330084606,0,1,1,1,1,1,0.434899322,0.383210896
6,0.280236955,0.194288673,0.187822255,0.227418779,0.498283049,0.232045853,0.229456242,0.222249263,0.509465296,0.194943019,0.250459868,0.222068924,0.228772653,0.254248737,0.4273719,0.337258846,0.418238987,0.767509782,0.488162577,0.794128331
7,0.318887291,0.359946912,0.32104698,0.379500959,0.359990608,0.412606879,0.335366659,0.316046838,0.313723916,0.407283848,0.328428222,0.363482236,0.333132123,0.485316747,0.40850811,0.32670734,0.410494616,0.447710862,0.470463256,0.437124693
8,0.659381727,0.624515203,0.619438922,0.590870856,0.69153563,0.769455907,0.777437075,0.817837851,0.722471825,0.600823164,0.58108339,0.59699427,0.658680595,0.904768152,0.734501608,0.682950212,0.70196778,0.775935508,0.832325299,0.748933256
9,0.376903849,0.423580962,0.382163766,0.284937444,0.430522842,0.345761131,0.368375893,0.461813778,0.398072076,0.438401764,0.361719077,0.403325179,0.356674551,0.418332606,0.271736711,0.297344443,0.305882553,0.412349456,0.363590752,0.327744981
10,0.203634544,0.180276995,0.260979926,0.167189312,0.280854972,0.201797653,0.258777746,0.242099729,0.233483468,0.19620013,0.28721323,0.285335996,0.32037671,0.243869196,0.244816878,0.243833534,0.171250987,0.279061637,0.212633058,0.257263215
11,0.554479108,0.261921793,0.204221591,0.256068437,0.287910561,0.362009556,0.243377475,0.271437701,0.263853643,0.352569103,0.374601821,0.424102174,0.419831001,0.712829978,0.547693928,0.489374012,0.473928805,0.557936028,0.570459263,0.324252226
12,0.278169949,0.574146094,0.337560409,0.264217541,0.374959507,0.236280363,0.256960347,0.506972946,0.37064069,0.382882365,0.249867427,0.287442468,0.256894919,0.528929402,0.351854742,0.69514574,0.550411544,0.517882889,0.412731299,0.55324061
13,1,0.02990881,0.072806663,0.047810851,0,0.832298181,0.696525111,0.17680481,0.652205507,0.676031291,0.824757679,0.156646079,1,0.565826249,0.162608173,0.314186823,0.155296821,0.389444333,0.329607794,0.191973154
14,0,0,0.382754321,0.095445115,1,1,1,0,0,1,0,0.130590976,0,0,0.130590976,1,0.072806663,0.832559905,0,1
15,0.683665965,0.670554215,0.630027365,0.723380589,0.514551539,0.469140782,0.478404668,0.542218922,0.758279244,0.790904139,0.650686194,0.778025838,0.548910228,0.573164279,0.596963326,0.474229738,0.540796115,0.723491007,0.814856817,0.747783577
16,0.290647608,0.447652694,0.433784767,0.427597022,0.455046202,0.425079453,0.349381725,0.403618148,0.410287113,0.40143551,0.383725156,0.333262445,0.427928161,0.424441968,0.365694233,0.386885819,0.390434788,0.508808199,0.503009762,0.360363353
17,0.214199036,0.453016272,0.68912726,0.457539678,0.757663112,0.655754505,0.705355356,0.732954748,0.583827615,0.760537289,0.698132231,0.73418958,0.669687461,0.788872655,0.653997903,0.627886296,0.600576174,0.667237193,0.713319333,0.679985406
18,0.354762819,0.47365074,0.476733253,0.428182636,0.329571893,0.450428051,0.471985017,0.575846322,0.438096943,0.460931529,0.472737142,0.489800393,0.453580928,0.486547755,0.416329607,0.438399881,0.460989119,0.630654807,0.727091487,0.490678852
19,0.577826471,0.509119791,0.496566049,0.52953069,0.565453911,0.614002973,0.500284592,0.547478958,0.531197705,0.460804713,0.460699277,0.462225693,0.471776754,0.521926672,0.477610694,0.421632314,0.419040132,0.495111552,0.506986061,0.517100265
20,0.462916644,0.435722565,0.354841704,0.416018662,0.420834992,0.426864988,0.443164728,0.501026397,0.524073823,0.524774186,0.513810486,0.507715547,0.504091176,0.570356653,0.509373505,0.490639299,0.488124435,0.530662641,0.565715222,0.477355777
21,0.419223935,0.433443055,0.357379044,0.458579746,0.433911078,0.438977781,0.425555774,0.419632859,0.441872879,0.466407128,0.483469217,0.422847094,0.313601116,0.387614433,0.344552536,0.335079309,0.315035967,0.313038003,0.358455278,0.269088754
22,0.715991728,0.692949699,0.73173468,0.755942287,0.734059607,0.715691693,0.691451256,0.735449589,0.70659261,0.652670533,0.664567544,0.645341709,0.640894431,0.704187987,0.635204199,0.588256953,0.587304398,0.660058063,0.656314651,0.612504697
23,0.913357851,0.927430918,0.955617234,0.90186456,0.894152507,0.897916907,0.944277633,0.970217241,0.968635069,0.941870069,0.969252819,0.946741208,0.943865696,0.951005507,0.931501835,0.925112767,0.923843558,0.951572391,0.945010539,0.946720604
24,0.617760148,0.355386117,0.282464936,0.71510594,0.461229081,0.403460356,0.574129226,0.363290918,0.446361447,0.419835996,0.421649707,0.357995852,0.319473649,0.416567695,0.460921162,0.464244143,0.278538657,0.447598103,0.248038554,0.59414935
25,0.366489477,0.278978366,0.297501525,0.694379277,0.692158206,0.881678332,0.821822344,0.901406605,0.91340745,0.846440005,0.898238453,0.931324901,0.86709386,0.915109686,0.853160114,0.881255635,0.949952091,0.945407686,0.975440554,0.976699449
26,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0
27,0.209248872,0.157572229,0.220756795,0.258369745,0.442755799,0.58775693,0.560955864,0.661008385,0.581593182,0.549258744,0.712122432,0.68857156,0.538120709,0.295884318,0.191708315,0.273949082,0.664929855,0.319791882,0.268544432,0.268346205
28,0.848580199,0.64770969,0.611669108,0.523117476,0.5266463,0.725804916,0.474107228,0.509027659,0.540138808,0.594413483,0.625841955,0.601267779,0.638270818,0.772409703,0.675168499,0.739409758,0.678832431,0.649666477,0.661516845,0.742596107
29,0.895477309,0.901403045,0.956709111,0.821157889,0.896482516,0.864085682,0.681853406,0.871415449,0.698462529,0.890554688,0.858244337,0.809366496,0.639832268,0.899098673,0.758046774,0.676009833,0.759105753,0.903199502,0.877834882,0.679022769
30,0.926496266,0.891679585,0.745387451,0.923590561,0.937703238,0.923652966,0.780692523,0.827621465,0.821617289,0.877895402,0.850054241,0.879607179,0.870515585,0.88221407,0.865249189,0.861078802,0.937887735,0.910409779,0.744621218,0.787145501
31,0.211794505,0.40380423,0.288360936,0.377537694,0.365420992,0.431737606,0.328953978,0.723501379,0.657560473,0.601013013,0.738282086,0.705927687,0.802419603,0.953308767,0.786598836,0.425037158,0.66874341,0.665169848,0.625199961,0.635675695
32,0.808588945,0.757560268,0.777938819,0.703598572,0.727620421,0.811398397,0.684113775,0.765934773,0.804571661,0.78784413,0.763946132,0.714373085,0.752514132,0.846309323,0.776447855,0.748605328,0.774448441,0.726794736,0.819257019,0.826377049
33,0.25110685,0.292162107,0.246403595,0.262266051,0.3351427,0.346332258,0.335396668,0.398961007,0.419413687,0.347019178,0.366019389,0.376575539,0.332801722,0.435277749,0.329680089,0.370950932,0.35554811,0.471715128,0.394835375,0.395629473
34,0.59958655,0.592377738,0.510521196,0.530195273,0.511565504,0.493310295,0.375117726,0.413085913,0.439148911,0.370047813,0.415082306,0.412237462,0.43627227,0.468771996,0.470077551,0.47278598,0.461464679,0.538399583,0.443975513,0.430230214
35,0.815803174,0.747941841,0.806879731,0.695033102,0.755639613,0.706231929,0.619287022,0.606877571,0.62602838,0.633044456,0.608668932,0.607969127,0.60066786,0.707513335,0.65174583,0.615082102,0.54424895,0.653509139,0.719733924,0.60175291
36,0.241694209,0.532614112,0.83532002,0.604890671,0.586178777,0.493276348,0.484418678,0.610920786,0.643066507,0.785442749,0.399217839,0.402205842,0.683552024,0.344471932,0.312167546,0.371943496,0.410371539,0.556485823,0.246875965,0.284210508
37,0.853720517,0.662300057,0.743264994,0.700022944,0.621931566,0.863078999,0.745839154,0.741159107,0.69602869,0.780311483,0.72325804,0.765685077,0.830674106,0.896287505,0.745736239,0.641255361,0.663268066,0.771479532,0.730908922,0.919163245
38,0.638687634,0.678743599,0.574579114,0.479739039,0.483573142,0.599756535,0.496234733,0.590276304,0.661716195,0.621912673,0.658617607,0.548777683,0.594234423,0.607204918,0.557968386,0.533002374,0.608339866,0.736781786,0.644787894,0.532521477
39,0.683489789,0.582325273,0.55493453,0.453892005,0.604475967,0.681118764,0.596501416,0.650182376,0.69149638,0.663948649,0.633749069,0.602236431,0.648366017,0.698548149,0.606062165,0.530003429,0.510433942,0.533441007,0.646541517,0.609099631
