Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,189,314,192,195,494,194,219,257,282,239,263,239,214,256,190,218,258,123,363,128
2,5577,8204,9842,9289,11811,14926,12522,15081,18935,18949,19069,20543,17889,15437,23369,25249,25945,20223,20193,33693
3,534,480,766,1202,1459,2422,2177,1893,3166,3321,4093,3860,3209,2441,5836,6874,7063,2449,1991,7286
4,14884,19688,19079,22842,32650,36949,26333,30045,35885,32685,34408,37068,32059,28600,35319,34044,33161,33516,30479,34824
5,0,1,5,3,2,2,0,1,3,3,1,12,1,1,12,4,4,2,42,34
6,42,48,94,93,206,131,319,186,439,131,160,112,103,85,229,241,134,163,474,169
7,7158,6807,8465,10879,12459,13097,10718,10849,11278,9252,11230,9833,10491,8707,11755,14869,14183,14167,10666,14955
8,2721,3036,3175,4863,6057,8031,7581,7857,8136,7310,8923,8458,8419,8506,10643,13077,13962,12338,11483,14060
9,977,1732,1489,1477,1872,2210,2084,2163,2734,2988,2785,2652,2361,1851,3042,3192,2562,1872,2194,2799
10,18742,21593,20567,23329,30877,37012,36898,35996,40053,35732,45533,34972,30722,20827,33484,30322,35769,31776,39561,49541
11,818,987,1989,1694,1829,3033,3831,2884,2760,2929,3408,3398,3207,3124,3935,5317,4766,4802,4296,4175
12,140,851,187,210,255,203,250,249,507,462,414,548,531,305,705,1318,776,943,913,823
13,8,19,7,11,2,332,23,42,39,14,61,104,11,9,92,47,44,24,25,75
14,0,0,29,11,4,2,1,0,1,2,1,3,0,0,3,1,7,18,0,3
15,10002,13782,11147,13964,15642,21921,16150,16036,19772,18656,19679,17819,14932,14547,17642,18272,12261,16105,17583,22639
16,3968,3391,3890,5251,5634,7576,7453,6552,8276,7069,7856,8004,7256,6689,8713,8853,9689,8521,9318,11544
17,4414,5559,7891,9307,10231,7401,11262,10129,18449,12426,13403,10439,8258,8328,13564,8396,8603,8305,7838,12219
18,554,616,673,927,1114,1199,968,905,1238,1285,1331,1223,1131,1183,1444,1800,1540,1378,1369,1603
19,3347,4090,4463,5294,6056,8007,6485,6818,8389,7697,9932,8162,7784,7757,10940,12827,12876,11997,11850,13806
20,4644,5017,7147,10628,11108,14457,11433,12662,13636,12350,12672,11886,11183,11461,15234,15448,15274,11627,13167,14823
21,8431,9375,9580,10208,12062,15013,13640,13602,14737,12433,12729,12715,11917,12700,14948,15837,16084,15694,18075,16172
22,18361,20313,19002,20247,24037,28500,22438,23035,25554,19684,19499,20313,19630,20400,22469,22455,23286,19083,21249,21163
23,1395,1613,1325,1851,2165,2841,2594,2954,3596,3281,3607,3761,3475,2951,3694,5429,5375,5837,6830,7658
24,2520,2448,2892,3480,2789,3568,3023,3173,3674,2692,3200,3120,1847,2325,3108,3112,1576,2074,1536,1714
