Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,32,5,72,2,2491,117659,34833,612,726,484,449,809,1395,743,6299,8206,3676,5051,11662,47940
Viet Nam,21,0,51,0,2335,116369,32963,14,7,14,4,0,64,15,0,15,10,883,5581,38672
China,0,0,0,0,1,6,4,4,0,0,4,65,0,0,4679,5954,2681,3851,4997,6744
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,708,2232
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
Thailand,0,0,2,0,1,0,42,0,10,0,36,552,1188,622,248,0,150,241,326,8
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,3
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
Switzerland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,2
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,36,7,20,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,0
Australia,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Indonesia,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,4,0,10,0,3,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,4,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4,0,96,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,110,110,54,1265,2219,788,26,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pakistan,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Singapore,0,0,0,0,150,1282,1820,588,709,458,406,71,29,42,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Türkiye,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,0,0
HHI,0.297175389,1,0.461702457,0,0.897436282,0.978192261,0.911715317,0.922227111,0.944939622,0.874713229,0.815733573,0.527205278,0.757909771,0.74679068,0.612409916,0.650894854,0.650966113,0.695915998,0.468742653,0.7370318
