Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.634171105,0.985717389,0.420284603,0.428571429,0.511972041,0.447554559,0.202164619,0.481987829,0.708456124,0.447868235,0.340531534,0.315101588,0.872230744,0.935713431,0.737921814,0.6381026,0.301261958,0.32403181,0.517898359,0.565619193
2,0,0.575625939,0.469972375,0,0,0,0,1,1,0.158811273,1,1,0.147482625,1,1,1,0,1,1,0
3,0.238804878,0.801806651,0.750681272,0.554377135,0.349470357,0.372410213,0.673147781,0.13258061,0.320397569,0.269809252,0.284348098,0.429287085,0.53082721,0.695807113,0.31441148,0.26931182,0.559834339,0.803916618,0.823394328,0.754655392
4,1,0,1,0,0,1,0,0,1,1,1,0,0.603553391,0.076863771,0.916942013,0.991970289,1,1,0.942151137,0.343531083
5,0.503539491,0,0,0,0,1,0,0,0,0,0.59593459,0.004468321,0.690639413,0.24751708,0.187826818,0.436467865,1,1,0.231472895,1
6,0.487310034,0,0,1,1,1,0,1,0,1,0.332790062,1,1,0.254121421,0.167334309,1,0.337772613,1,0,1
7,0.221378388,0.306638323,0.25898134,0.731919704,0.477469668,0.985626765,0.880204584,0.960670204,0.903309094,0.527815913,0.823089141,0.991935555,0.55893732,0.559657566,0.840984235,0.501557455,0.858278523,0.92384417,0.684138696,0.949625679
8,0.279020802,0.68113784,0.503057333,0.437062191,0.985346927,0.996110114,0.848146285,0.529512433,0.58724125,0.193244832,0.094775977,0.329624417,0.5456865,0.225025651,0.59500262,0.692405026,0.671237228,0.865206611,0.925970335,0.879706661
9,0.662519495,0.487310034,0.337248142,0.857852059,0.545047189,0.944309835,0.870647499,0.214101542,0.620240149,0.388584852,0.901360622,0.872539548,0.275104425,0.30012916,0.64980463,0.584445774,0.358662233,0.304993595,0.557273545,0.503797746
10,0.494923337,0.464448949,0.35500642,0.320364166,0.506413496,0.314535953,0.620283329,0.502665676,0.238293884,0.246734136,0.216062235,0.2243479,0.201533377,0.231749334,0.283744085,0.270455044,0.327753622,0.315878761,0.388454027,0.355957415
11,0.57648947,0.342325331,0.151112855,0.668844535,0.788372641,0.989293859,0.949028657,0.73454709,0.92112788,0.425881764,0.449171699,0.561842824,0.496074779,0.719581833,0.504493998,0.77389823,0.641713374,0.534507707,0.651758566,0.756694402
12,0.529610327,0.672978731,0.388618528,0.701973104,0.848319507,0.705068416,0.169657219,0.333486467,0.414875119,0.16888975,0.370344771,0.284306463,0.279128826,0.342799748,0.420053212,0.248993074,0.320202906,0.372009343,0.866420212,0.307775178
13,1,0,0,1,1,0,0,0,0,0,0,1,0,0.122501476,0.817530936,0.726472781,0.791487678,0.868988436,0.501841704,0.692125334
14,0.155886361,0.191881962,0.380378324,0.735753423,0.695867765,0.777657288,0.174566353,1,0.644260854,0.154615321,0.658329622,0,0,1,0,0,0.502891784,0,0,0
15,0.731057641,0.668006299,0.709011959,0.462933487,0.255846758,0.210405547,0.349873669,0.383707021,0.284632105,0.500120475,0.472962,0.369599182,0.383849557,0.406048441,0.752776685,0.779524372,0.480971962,0.505080969,0.742957867,0.818040328
16,0,1,0,0,0,0,1,0,0,0,0,0,0.898866038,0.074300818,1,0,0,0,0,0.30689537
17,0,0,1,0.849295524,0.809050313,0,0.96098432,0.835423022,0.99460005,0.930710776,0.385583615,0.445750543,0.789701668,0.717720067,0.477222398,0.653994685,0.69762865,0.989638817,0.947584224,0.944188023
18,0,0,1,0,0,0,0,0,0,0,0,0,0.312392221,1,1,1,0.99627879,0.963422353,0.925302836,0.926391341
19,0,0.643887023,1,0.805433919,0.968534633,0.90110309,0.80156096,0.711721359,0.082863336,0.7805045,0.156087461,0.127402894,0.103659448,0.070471652,0.115675856,0.105564086,0.4624638,0.684767301,0.710025678,0.619243546
20,0.926874606,0.428968709,0.182901812,0.424208444,0.083302629,0.388559978,0.631448398,0.148726162,0.289205128,0.77308659,0.185606671,0.611269826,0.327807578,0.118870374,0.697446847,0.441273759,0.75350477,0.491659809,0.579859791,0.778001853
21,0,0.894032338,0,0,0.107298258,1,0.027791183,1,0.748292247,0.047810851,0,0.370162584,0.158328331,0.182624401,0.320967215,0.224294934,0.416984259,0.276861895,0.206014767,0.355629336
22,1,0.447854965,0.557006732,0.417558034,0.347748436,0.150999566,0.59857815,0.481963525,0.442929285,0.444406336,0.344445426,0.57609984,0.561211726,0.403839555,0.853250932,0.770678536,0.831249772,0.525839686,0.33457942,0.560931127
23,0,0,0.609918239,1,1,1,0.987220796,0.978006653,0.973645389,0.972535243,0.91965648,0.977300106,0.983873962,0.840044885,0.963629099,0.84130524,0.966847832,0.944685719,0.996044984,0.990703004
24,0.140720788,0.401273357,0.571651778,0.57897532,0.480149749,0.279356947,0.235928155,0.21137831,0.268645509,0.231745588,0.288855575,0.460750855,0.452808667,0.397331955,0.348239228,0.278353584,0.282512459,0.3429307,0.499605813,0.248157543
25,0.297175389,1,0.461702457,0,0.897436282,0.978192261,0.911715317,0.922227111,0.944939622,0.874713229,0.815733573,0.527205278,0.757909771,0.74679068,0.612409916,0.650894854,0.650966113,0.695915998,0.468742653,0.7370318
26,1,0,0,0,0,0.284959256,1,1,1,0,0,1,1,0,0,1,1,1,0,1
27,0.28495926,1,0,0,0,1,0,0.48731003,0,1,1,0,1,0.85762392,0,0.45572121,1,0,1,1
28,1,1,1,0.644260854,0.219191998,1,0.212372541,1,0,0.371559577,0,0,0.081653363,0.296978488,0.776431632,0.956512253,0,0.656061469,0.320131859,0.298624675
29,0,0.817498582,1,0,0,0,0.841956512,1,0.196655632,0,0,0,0.145614573,0.155925331,0.186146042,0.20308444,0.191055035,0.431868325,0.523569977,0.470494957
30,0.372580923,0.54196069,0.198946166,0.247221664,0.401175546,0.423155396,0.687908647,0.500760628,0.548566772,0.409113481,0.526817473,0.618832172,0.753834171,0.6160869,0.518592108,0.445817113,0.504124183,0.44282776,0.421290221,0.33103462
31,1,0,1,1,1,1,0.86495486,1,1,1,1,0,0,1,1,1,0.246853276,0.042070779,0.401219067,0.946243153
32,1,1,0.142025809,0.826373494,0,1,0.52754121,0.856950819,0.203418298,0.024245347,0.580203738,1,0.318944989,0.762357522,0.542616858,0.340630509,0.515756109,0.175109236,0.737022812,0.836180889
33,0.22057746,1,0,0.815895431,0.815895431,0,0.221757524,0.142304193,0.154700538,1,1,1,0.202042251,0.119571392,0.218980477,0.12082531,0.569165721,0.394553214,0.822430911,0.397023891
34,0.788626586,0.806309619,0.744546694,1,0.268245951,0.365727869,0.155792069,0.561842183,0.089342309,0.130590976,0.371559577,0.247934744,0.113552873,1,0.713148642,1,0.463385874,0.132493961,0.158749252,0.186616287
35,1,0,0.380730329,0.822268099,0,0,0.815895431,0.447376776,0.72838822,0.262885585,0.826023012,0.053589838,0.82711442,0.425182038,0.542846932,0.470544699,0.254169993,0.79157236,0.71616647,0.203490431
