Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.000590117,0.000413225,3.31E-06,2.16E-05,2.04E-05,2.39E-05,3.02E-05,1.75E-05,6.07E-05,4.43E-05,8.25E-06,9.35E-06,5.19E-05,0.000313744,6.86E-05,4.03E-05,1.41E-05,2.02E-05,4.48E-05,1.15E-05
2,0,8.08E-05,5.93E-05,0,0,0,0,4.11E-06,1.80E-05,2.17E-05,1.95E-06,1.17E-05,3.63E-06,5.81E-05,4.79E-06,2.99E-06,0,5.64E-08,2.28E-07,0
3,0.001343578,0.004696324,0.00335684,0.00140253,0.000836817,0.000514434,0.000807691,0.00050822,0.000467323,0.000291912,0.00017312,0.000105317,5.44E-05,6.73E-05,5.30E-05,6.26E-05,2.50E-05,1.99E-05,2.03E-05,1.59E-05
4,9.44E-07,0,3.31E-06,0,0,1.49E-05,0,0,2.68E-06,3.45E-07,3.00E-07,0,2.81E-06,1.10E-06,5.07E-05,0.000763147,0.000312991,1.69E-07,4.83E-05,0.00022959
5,1.27E-05,0,3.31E-07,0,0,4.59E-07,0,0,0,0,2.99E-05,3.36E-05,1.85E-05,5.61E-06,8.61E-06,3.38E-06,2.83E-06,1.13E-07,1.49E-05,1.91E-05
6,2.83E-06,0,0,5.61E-07,6.23E-06,2.98E-06,0,7.87E-06,0,5.18E-07,1.05E-05,3.21E-06,1.17E-07,3.01E-06,1.77E-06,1.10E-06,3.58E-06,1.13E-07,0,2.92E-07
7,0.000327633,0.000288114,5.57E-05,2.05E-05,0.000331612,0.00011312,0.000201722,0.00014955,0.000377528,0.00143851,0.001961775,0.003414977,0.002630983,0.002153734,0.001630142,0.001202794,0.000182938,0.000224593,0.001425126,0.00034249
8,0.000506084,9.15E-05,0.000322996,8.92E-05,0.000131682,0.000279015,0.000177484,2.33E-05,8.76E-05,0.000147336,7.55E-05,0.000158194,9.00E-05,0.000156471,0.00088411,0.002052816,0.004295123,0.007393008,0.010661923,0.010751577
9,1.84E-05,2.14E-06,1.62E-05,4.93E-05,0.000130549,0.000164977,9.17E-05,2.02E-05,0.000215389,0.000163208,0.000636223,0.001094066,0.000213522,0.00040941,0.001006216,0.000664232,0.000742409,0.000648041,0.001617935,0.001252104
10,0.000332826,0.002067198,0.001280058,0.000819871,0.001536572,0.00111606,0.002529843,0.006669643,0.016091557,0.024129812,0.037913843,0.033911679,0.033438128,0.030179422,0.029825661,0.033034627,0.028452608,0.026594295,0.024110416,0.020244586
11,0.000729385,0.000605897,0.00031372,0.001350937,0.00122535,0.000365289,0.001018427,0.000477988,0.000507,0.000693722,0.00017132,0.000200701,0.002117312,0.001340224,0.002368454,0.002727829,0.001907827,0.001347785,0.001174326,0.001570828
12,0.000196391,0.001590702,0.001098518,0.000734351,0.000952074,0.00015511,0.000234975,0.000424858,0.000401245,0.000199611,0.000234327,0.000205959,0.000100674,9.96E-05,0.000132665,0.000170209,7.66E-05,5.98E-05,2.77E-05,3.21E-06
13,2.36E-06,0,0,2.80E-07,6.23E-06,0,0,0,0,2.76E-06,0,1.46E-06,0,6.21E-06,1.93E-05,2.31E-05,1.78E-05,2.45E-05,1.70E-05,2.14E-05
14,1.65E-05,7.51E-06,2.55E-05,5.24E-05,7.16E-05,1.70E-05,1.24E-05,1.43E-06,1.34E-06,6.04E-06,7.05E-06,0,0,3.01E-07,0,0,6.75E-07,0,0,0
15,0.000207721,0.000320285,0.000255084,0.000319088,0.000439506,0.002053606,0.001388619,0.001794958,0.002569607,0.002765915,0.002600248,0.00226818,0.00134704,0.001457327,0.002238451,0.001902123,0.001924623,0.001815768,0.003295454,0.003451972
16,0,3.57E-07,0,0,0,0,3.23E-05,0,0,0,0,0,1.93E-05,1.60E-06,1.77E-07,0,0,0,0,3.65E-06
17,0,0,3.98E-06,8.41E-06,2.95E-05,9.18E-07,1.74E-05,0.000920198,0.001876453,0.001824448,0.007814845,0.005089819,0.003061305,0.004672901,0.006677905,0.006477699,0.004461939,0.002984624,0.002889462,0.002718829
18,0,0,3.31E-07,0,0,0,0,0,0,0,0,0,7.05E-05,7.65E-05,7.21E-05,9.21E-05,6.19E-05,3.14E-05,1.60E-05,2.00E-05
19,0,5.86E-05,1.33E-05,4.77E-06,3.06E-05,7.80E-06,9.42E-06,1.68E-05,4.77E-06,5.18E-06,4.19E-05,8.95E-05,0.000223121,0.000333779,0.000415833,0.000532975,0.000823827,0.000740046,0.000745798,0.001115535
20,0.000196863,1.07E-05,2.32E-06,2.33E-05,2.32E-05,8.95E-06,1.10E-05,1.00E-05,2.83E-06,2.28E-05,8.40E-06,7.30E-06,7.15E-05,1.82E-05,4.48E-05,0.00066195,0.001271997,0.001833605,0.003392598,0.004087963
21,0,1.07E-05,0,0,1.98E-06,2.29E-07,1.24E-05,2.15E-06,1.94E-06,1.04E-06,0,3.80E-06,4.83E-05,1.57E-05,1.87E-05,4.56E-05,3.93E-05,4.96E-05,0.000113705,0.000129473
22,1.27E-05,0.00011689,0.000270985,3.67E-05,2.12E-05,5.74E-06,0.002830523,0.002213376,0.000462103,0.002006289,0.004304593,0.001186091,0.00061294,0.001438794,0.001771682,0.000862612,0.000991722,0.000212683,6.27E-05,0.000163445
23,0,0,4.64E-06,5.61E-07,3.40E-06,2.29E-07,0.000160256,0.001006064,0.000720451,0.00076877,0.001895467,0.002231954,0.00267137,0.001767865,0.001667945,0.001758905,0.00090855,0.001143682,0.002245361,0.002735985
24,0.000979594,0.001374081,0.002628359,0.002551023,0.002729922,0.002145846,0.002007808,0.002142,0.003002027,0.003968411,0.002723712,0.002803381,0.002769468,0.002291272,0.002267025,0.002578394,0.002044355,0.000731184,0.000587362,0.000356633
25,1.51E-05,1.79E-06,2.39E-05,5.61E-07,0.000705419,0.026997229,0.00697775,0.000109479,0.000108291,8.35E-05,6.74E-05,0.000118171,0.000163302,7.44E-05,0.000558969,0.00064574,0.000247964,0.000285102,0.000663678,0.002329925
26,4.72E-07,0,0,0,0,9.18E-07,2.00E-07,1.25E-06,8.95E-07,0,0,7.30E-07,3.51E-06,0,0,0.000104266,0.000219431,2.08E-05,0,4.86E-08
