Code,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
'01,1250,1156,10,77,72,104,151,98,407,257,55,64,443,3132,773,512,209,358,787,236
'02,0,226,179,0,0,0,0,23,121,126,13,80,31,580,54,38,0,1,4,0
'03,2846,13138,10133,5002,2955,2242,4032,2841,3133,1692,1154,721,465,672,597,796,371,353,357,328
'04,2,0,10,0,0,65,0,0,18,2,2,0,24,11,571,9698,4640,3,849,4724
'05,27,0,1,0,0,2,0,0,0,0,199,230,158,56,97,43,42,2,261,394
'06,6,0,0,2,22,13,0,44,0,3,70,22,1,30,20,14,53,2,0,6
'07,694,806,168,73,1171,493,1007,836,2531,8338,13077,23379,22475,21500,18370,15285,2712,3979,25042,7047
'08,1072,256,975,318,465,1216,886,130,587,854,503,1083,769,1562,9963,26087,63674,130978,187349,221222
'09,39,6,49,176,461,719,458,113,1444,946,4241,7490,1824,4087,11339,8441,11006,11481,28430,25763
'10,705,5783,3864,2924,5426,4864,12629,37284,107880,139863,252730,232160,285643,301271,336104,419801,421802,471157,423663,416548
'11,1545,1695,947,4818,4327,1592,5084,2672,3399,4021,1142,1374,18087,13379,26690,34665,28283,23878,20635,32321
'12,416,4450,3316,2619,3362,676,1173,2375,2690,1157,1562,1410,860,994,1495,2163,1136,1060,487,66
'13,5,0,0,1,22,0,0,0,0,16,0,10,0,62,218,293,264,434,299,441
'14,35,21,77,187,253,74,62,8,9,35,47,0,0,3,0,0,10,0,0,0
'15,440,896,770,1138,1552,8950,6932,10034,17227,16032,17333,15528,11507,14548,25225,24172,28532,32169,57907,71027
'16,0,1,0,0,0,0,161,0,0,0,0,0,165,16,2,0,0,0,0,75
'17,0,0,12,30,104,4,87,5144,12580,10575,52093,34845,26151,46648,75253,82318,66147,52877,50773,55942
'18,0,0,1,0,0,0,0,0,0,0,0,0,602,764,813,1170,917,557,282,411
'19,0,164,40,17,108,34,47,94,32,30,279,613,1906,3332,4686,6773,12213,13111,13105,22953
'20,417,30,7,83,82,39,55,56,19,132,56,50,611,182,505,8412,18857,32485,59614,84113
'21,0,30,0,0,7,1,62,12,13,6,0,26,413,157,211,580,582,879,1998,2664
'22,27,327,818,131,75,25,14130,12373,3098,11629,28694,8120,5236,14363,19965,10962,14702,3768,1102,3363
'23,0,0,14,2,12,1,800,5624,4830,4456,12635,15280,22820,17648,18796,22352,13469,20262,39455,56295
'24,2075,3844,7934,9098,9640,9352,10023,11974,20126,23002,18156,19192,23658,22873,25547,32766,30307,12954,10321,7338
'25,32,5,72,2,2491,117659,34833,612,726,484,449,809,1395,743,6299,8206,3676,5051,11662,47940
'26,1,0,0,0,0,4,1,7,6,0,0,5,30,0,0,1325,3253,368,0,1
'27,20,33,0,0,0,1,0,6,0,852,61,0,3,774,1,90,1,0,3,1
'28,41,1,16,8,15,49,28,11,0,33,0,0,303,121,17,78,0,336,7915,5383
'29,0,110,17,1,0,0,44,59,17,0,0,0,976,7949,23464,13439,17157,22157,60018,71946
'30,547,1585,916,1230,2004,758,3312,3199,4623,2136,1771,2676,3777,4665,10688,8064,8086,11637,13046,18868
'31,4,0,209,1,20,66,99,155,115,12,21,0,0,69,2,218,45,64,15,63
'32,3,2,8,34,0,64,57,70,5,33,226,4,130,271,406,271,377,128,1930,1197
'33,78,31,0,17,18,4,76,25,18,20,37,17,102,222,169,207,148,1682,1612,101
'34,78,11,64,4,9,14,60,173,30,6,33,37,30,10,122,3,58,1251,930,1101
'35,8,0,24,56,4,0,18,22,12,163,157,21,36680,103487,64496,4972,83,3037,231,156
'36,0,0,0,0,2,2,0,0,11,0,0,0,0,0,141,118,672,804,3164,3651
'37,23,4,26,36,45,12,3,114,2,0,0,0,0,0,0,68,190,229,116,80
'38,7,0,0,0,1,0,16,22,21,31,20,663,2009,257,811,1485,2349,2604,3045,2528
'39,1504,1984,1640,3734,2725,690,2106,8286,10709,15636,21592,19447,71703,120080,150147,195264,239545,308901,410794,395513
'40,34794,38329,36601,46116,42977,33701,51688,86864,192218,167759,173985,142931,163341,164586,255846,224518,224559,281848,422062,530885
'41,220,332,210,2143,370,216,807,462,490,874,1864,559,9669,2448,3265,3830,11220,19439,24510,25701
'42,63,258,203,211,401,647,283,867,2790,7957,16749,37005,95839,149748,277455,571569,1104101,1008780,1581488,1860516
'43,0,0,30,0,0,0,0,0,0,0,0,0,166121,176354,292309,299949,289646,200031,474855,162729
'44,9461,9428,9576,9962,8998,3553,4768,37904,52214,21016,62926,111550,15813,41109,115864,154761,151906,215941,331345,282192
'45,0,0,0,0,28,0,0,0,0,3,0,0,0,0,0,0,0,28,0,97
'46,47,29,36,39,231,5,816,422,262,182,249,370,1055,1012,1397,930,472,699,2044,1882
'47,62,6,74,118,124,234,170,510,138,1215,2161,815,111,148,847,139,40,266,89,0
'48,72,999,966,1589,889,838,394,1120,3623,3819,4446,3215,7237,9344,11759,11606,15136,13549,22744,36067
'49,344935,611923,580378,652192,563947,902592,2001611,1777015,1576096,638795,1073,97374,577,1610,2080,1812,2644,383764,4779,6632
'50,162,55,3,1,10,5,2,4,6,0,9,9,0,7,3,7,3,15,49,36
'51,0,0,0,0,0,7,0,0,0,96,48,6,50,138,0,95,4,0,3,204
'52,224,134,375,113,907,103,333,673,396,785,1298,650,1143,1422,2040,1241,2833,9392,12784,11794
'53,0,0,0,0,2,2,0,0,0,14,0,0,0,0,0,0,6,159,215,1826
'54,1068,1112,1258,633,112,111,30,232,829,1210,190,105,347,799,1860,3482,4458,2634,1211,474
'55,10718,15108,15935,11559,7470,1919,1949,3466,6455,11096,10285,12371,12776,7512,5582,7201,8492,13517,14705,10414
'56,2071,1194,27,7,75,14,10,19,10,22,144,263,937,1088,867,2166,3302,4718,4780,5354
'57,204,1,195,268,214,114,44,99,6,64,91,37,269,82,182,81,6,33,0,2
'58,81,163,153,152,185,205,189,407,533,1040,1670,1963,1874,2219,1270,1257,1204,2570,3165,2615
