Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,82,103,107,132,93,117,27,167,126,361,2244,11739,7911,7999,10914,17086,11850,15488,12343,14848
China,38,63,86,115,70,56,11,49,33,132,1923,11602,7783,7708,10661,16935,11686,15264,11609,13978
Viet Nam,0,14,0,0,0,26,0,69,60,206,278,0,0,11,0,3,0,34,630,510
Thailand,5,8,3,3,11,2,0,24,13,1,3,45,5,14,25,22,35,85,13,204
Japan,0,1,0,0,0,0,1,1,0,0,4,9,58,245,102,72,74,77,81,97
India,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,9
United Kingdom,2,0,0,0,0,5,0,0,1,0,0,1,1,0,2,1,1,0,1,8
"Hong Kong, China",0,12,0,3,0,1,1,1,3,2,3,27,1,3,32,4,0,0,0,5
Poland,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,23,3,5,5
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,5
Malaysia,0,0,14,0,0,8,1,1,0,1,3,13,32,11,28,15,0,0,1,2
Germany,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1
"Taipei, Chinese",0,0,0,0,1,0,0,0,0,0,2,0,0,0,9,15,0,0,0,1
Spain,0,0,0,0,0,0,0,0,0,0,0,1,6,1,6,1,4,0,0,1
Indonesia,31,0,1,0,0,2,0,3,1,0,0,0,19,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,9,3,0,0,0,0,3,0,0,5,2,9,1,1,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United States of America,0,0,0,0,0,0,1,0,0,0,0,7,0,3,7,0,0,0,0,0
Australia,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,6,6,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,6,1,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,4,5,1,10,11,7,9,18,13,18,27,7,1,1,12,4,3,12,0,0
HHI,0.282955846,0.398280787,0.665165889,0.774095339,0.542251883,0.314884543,0.265427112,0.307134764,0.297989238,0.458560927,0.792634668,0.984089643,0.977308757,0.948618821,0.969472044,0.988100705,0.980885779,0.979338136,0.910186827,0.921059449
