Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.339346511,0.277741032,1,0.535658312,0.726666311,0.560058878,0.670001595,0.944125687,0.966901544,0.97047391,0.936146623,0.947815096,0.705950739,0.984488702,0.483072343,0.762186976,0.900007118,0.94726115,0.792358718,0.508487846
2,0.358179354,0.22240615,0.1579798,0.075550198,0.156426422,0.368831191,0.551825784,0.211597628,0.071416629,0.261046458,0.328124202,0.244736733,0.506062391,0.499753843,0.564417346,0.435954688,0.336483431,0.202982414,0.339753376,0.375647455
3,0.095168898,0.744838076,0.683748473,0.57782151,0.940040474,0.849805042,0.888992363,0.560489624,0.665763816,0.713734795,0.700812861,0.488693327,0.772385778,0.789853997,0.748853154,0.435178977,0.326238653,0.596070219,0.789241474,0.729095211
4,0.800379584,0.668170643,0.540831414,0.583674855,0.239736353,0.246668088,0.195612876,0.213558,0.329656593,0.481141265,0.475283145,0.458054014,0.448958861,0.416911923,0.476296014,0.4126435,0.443255959,0.404807205,0.397003677,0.432665721
5,0,0.462442675,0.120277147,0.223837238,1,0.319090596,0.071222815,0.487310034,0.18597402,0.124218498,0.255097209,0.123354131,0.030706653,0.656136626,0.366834644,0.327958394,0.302929601,0.473373199,0.253872302,0.362661738
6,0.441328824,0.154700538,0.854586654,0.557307318,0.628667046,0.192786873,0.760174597,0.976660639,0.908227141,0.969891884,0.91323883,0.441415464,0.306616593,0.396402936,0.52144176,0.474291513,0.675962578,0.738951063,0.339561681,0.442238311
7,0.417261542,0.386773873,0.201478058,0.247709769,0.261780429,0.466351214,0.533028139,0.447582798,0.302336061,0.277873729,0.376795414,0.259209078,0.279877749,0.418875288,0.711399322,0.475203478,0.232127717,0.339171458,0.438366616,0.397697522
8,0.320837551,0.265447201,0.289926524,0.281467209,0.272104583,0.304805092,0.281752539,0.31948414,0.32186153,0.413828264,0.275047272,0.220174368,0.244672056,0.272218332,0.229846274,0.161595771,0.204000939,0.167864662,0.165112579,0.175282439
9,0.142118414,0.164646314,0.196517306,0.290979192,0.337492844,0.321962103,0.411653662,0.309796622,0.818547198,0.8416969,0.588500823,0.14987534,0.229656711,0.263985394,0.278756004,0.329578938,0.293513899,0.24002195,0.22201318,0.22986032
10,0.322723734,0.338043217,0.371084195,0.41716723,0.473035161,0.433110682,0.488915553,0.26689394,0.31204884,0.468048679,0.421136217,0.432602537,0.460462785,0.234489845,0.196321133,0.263902314,0.344668449,0.492132243,0.457624885,0.401280608
11,0.30935269,0.261017489,0.288221985,0.270282488,0.282875596,0.242981247,0.177509861,0.182270048,0.150814407,0.181090589,0.271155348,0.272547072,0.142026989,0.170847403,0.180287451,0.185456008,0.217327661,0.193644799,0.215894831,0.233353085
12,0.392524539,0.306476866,0.24384069,0.379667921,0.358252533,0.288679531,0.175192897,0.222186844,0.221235671,0.221376519,0.305861204,0.328196527,0.378062211,0.172964471,0.245261903,0.408108451,0.510480149,0.50715109,0.403970958,0.374172411
13,0.24653855,0.42388505,0.42009389,0.30750675,0.27778467,0.3750938,0.43362357,0.47983749,0.25549612,0.17562732,0.38605516,0.60394934,0.59856766,0.47021137,0.64903887,0.46647364,0.67985521,0.44863953,0.5647163,0.51042427
