Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,117,89,12,47,131,2183,916,2069,6836,8679,3095,3206,12461,6087,10477,6519,5876,50646,25480,8321
2,45,34,62,91,93,164,42,411,961,1059,1723,2576,3803,4885,6064,8667,12799,17192,32172,61641
3,32,9747,8159,2108,1115,987,2964,1447,1370,744,991,2044,2562,4080,3555,2490,4398,6285,20899,18889
4,5780,3287,2615,5011,2632,2772,4038,4678,7030,10556,15008,21342,19388,25610,28285,38682,40981,52219,59101,69254
5,1,24,24,19,1,20,27,6,10,268,476,1362,400,339,430,1196,1935,1434,5085,12263
6,37,7,32,25,11,49,200,1313,452,1458,434,227,150,220,335,1371,3427,2982,223,501
7,539,640,585,352,506,1188,2388,1848,2532,1859,4199,3434,2110,3601,9236,5747,3825,4057,7006,7527
8,2393,2657,4094,4797,4479,4600,4656,4958,4868,6479,9394,10761,10445,9034,7868,9414,10240,10451,13204,19488
9,86,98,98,153,153,195,266,299,1586,2807,2076,1905,1627,3102,4659,5223,5661,6018,5762,8656
10,11078,11664,8865,8218,12654,12068,7462,7065,9894,24413,14005,16821,20050,21982,15763,42029,55173,76514,92188,57808
11,3619,5811,6281,7054,10139,17874,18769,22392,27844,39674,44736,63326,49195,53106,59635,70554,95522,81220,88508,144318
12,390,267,162,393,373,331,662,1078,1449,1356,2442,2016,2570,1958,1939,2169,3137,4434,8371,9849
13,151,248,180,245,667,1020,1380,763,902,1092,1353,1764,1645,2329,2352,1822,4390,1684,2565,3125
14,23,10,3,0,4,25,0,28,43,2,0,0,0,16,56,99,44,107,161,100
15,9120,8039,9024,6489,7387,6894,5966,6290,7900,6239,11607,15345,14861,14864,17293,15958,16246,19019,20150,24277
16,3045,2121,1390,2123,2013,1476,1553,1823,2588,5127,4186,8605,6076,8160,10961,11467,16400,16117,17224,18992
