Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,2,0,19,530,0,0,4,0,0,43,0,0,46,53,17,17,35,18
Cameroon,2,0,18,477,0,0,0,0,0,43,0,0,25,21,4,17,35,18
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,18,30,9,0,0,0
HHI,1,0,0.825292244,0.773150503,0,0,0.284959256,0,0,1,0,0,0.225979225,0.271185679,0.113456657,1,1,1
