Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,187,0,42,0,0,0,0,0,0,4156,535,0,87676,2,7,677
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,7,77
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
France,0,0,0,0,42,0,0,0,0,0,0,4156,452,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87676,0,0,0
South Africa,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,1,0,1,0,0,0,0,0,0,1,0.649314575,0,1,1,1,0.178745635
