Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1311,0,0,132,2472,4703,5746,5045,3324,2862,1271,2579,3370,7002,11260,6444,9365,7462,11284,7651
China,40,0,0,0,71,1099,3393,2334,369,905,414,114,552,2202,1909,1310,2100,2141,1970,2426
Cameroon,105,0,0,132,932,499,317,487,600,523,33,1415,348,677,1618,183,3714,2766,6287,1638
Italy,4,0,0,0,0,9,54,13,4,2,0,0,240,61,80,13,0,156,0,1141
Tunisia,0,0,0,0,0,1,1,8,0,0,11,0,0,0,0,0,9,0,0,610
Denmark,0,0,0,0,0,0,0,36,12,0,1,402,0,0,0,1232,0,0,5,324
France,947,0,0,0,159,2615,1398,1330,1000,500,550,213,541,2511,1468,323,1624,1415,593,303
Germany,1,0,0,0,653,9,2,6,74,40,0,0,1,43,50,76,1,35,4,287
United Arab Emirates,0,0,0,0,87,20,27,44,22,273,0,43,62,349,388,256,199,56,374,240
India,0,0,0,0,0,0,0,133,3,164,0,0,0,349,9,303,0,16,892,182
United States of America,3,0,0,0,5,4,2,35,13,55,1,0,2,50,3691,386,279,169,476,162
Switzerland,0,0,0,0,2,1,2,9,0,38,4,15,206,138,136,13,68,68,35,118
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64
Senegal,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,35
Belgium,32,0,0,0,23,46,35,58,259,1,35,2,330,33,283,0,68,278,157,27
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Lebanon,31,0,0,0,23,12,14,0,0,119,126,7,157,114,33,4,28,36,45,17
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,33,0,0,16
Congo,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,34,75,23,10
Turks and Caicos Islands,0,0,0,0,55,26,12,41,106,81,10,78,23,22,869,0,0,43,24,10
Egypt,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6
Australia,0,0,0,0,187,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5
United Kingdom,1,0,0,0,0,45,0,2,1,5,0,253,587,85,3,2,17,11,0,3
Kenya,0,0,0,0,0,58,147,0,0,4,5,0,0,4,14,0,0,0,27,2
Netherlands,0,0,0,0,1,0,30,1,16,0,0,15,0,44,0,24,2,0,110,2
Singapore,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,19,0,0,2
Caribbean Nes,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,1,0,0,0,141,0,0,0,227,0,4,5,3,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0
Canada,0,0,0,0,0,0,0,0,37,0,0,23,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,25,363,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Hong Kong, China",26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,47,13,0,0
Indonesia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1941,573,0,0,0
Israel,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,7,0,0,0,0,77,105,35,0,48,0,0,0,0,0,0,167,0,0,0
Japan,10,0,0,0,5,5,2,0,447,3,1,0,85,0,0,2,4,0,91,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Malaysia,0,0,0,0,0,1,0,9,0,0,0,0,7,0,20,0,0,2,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,0,0
Namibia,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
