Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,13,0,4,42,2,5,21,6,13,2,14,20,8,13,66,4,20,1
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
China,0,0,0,1,1,0,2,5,5,0,0,0,8,11,0,1,0,0
France,4,0,0,24,1,1,17,1,8,2,13,10,0,0,61,0,20,0
Germany,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Lebanon,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0
Togo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HHI,0.172409813,0,1,0.37721214,0,0.401219067,0.565826249,0.487310034,0.063450001,1,0.765493476,0.191637529,1,0.486649621,0.823692112,0.284959256,1,1
