Code,2003,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0,0,11,32,6,13,13,1,0,1,0,0,0,0,0,1,46,152
2,52,0,113,159,281,328,363,776,490,2798,2458,2426,9290,8945,10661,11409,10998,16987
3,835,0,1444,1681,2775,3841,2990,2823,2426,3008,2792,2916,5282,3601,5504,4698,4717,6496
4,1279,1,976,1960,1665,1527,2905,2420,1652,2125,1845,2011,4559,4171,6086,5550,7029,6853
5,10,0,0,2,5,3,0,3,0,0,0,0,54,77,62,65,30,8
6,1,0,1,0,0,0,0,0,0,0,0,0,0,2,8,0,2,6
7,337,0,978,938,23467,1042,1229,693,1823,12808,2925,4565,4139,3621,5809,6377,6436,7509
8,15,0,0,1,30,2,10,569,0,105,150,88,590,562,1232,1382,1759,1623
9,22,555,17,44,25,9,3,38,23,27,41,213,185,144,657,77,806,452
10,560,0,563,2062,1466,933,683,2123,3593,15585,15483,6427,7101,9968,5256,11092,12294,10521
11,8133,0,14522,19968,24197,21077,26406,22299,14800,12560,9704,11167,8671,7874,13198,6022,6943,7560
12,10,0,185,116,51,110,481,26,269,12,553,79,148,313,545,250,496,115
13,94,0,205,574,237,276,184,66,57,78,286,0,144,52,267,268,142,0
14,3,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0
15,1178,85,2782,3392,7400,7341,4972,4760,4032,5341,5824,4816,8797,4981,3492,3803,4724,6858
16,307,0,1059,314,200,267,154,252,227,3099,4681,876,3971,842,1154,1566,3243,3457
17,4270,0,4238,5358,6312,7984,11858,11259,6563,5877,3956,6601,10212,7531,5811,7421,8342,3300
18,22,12,190,433,262,295,336,524,446,370,675,1002,1262,1012,1544,1239,1425,958
19,749,0,1310,1591,2571,1666,1340,2296,643,2088,1746,3421,2861,2145,3887,2583,2808,1391
20,228,0,432,345,234,539,383,514,162,320,721,764,2506,1387,2762,3022,2888,3964
21,1365,0,3803,3618,5491,4338,5129,5754,4825,7111,11187,10962,11197,16226,19087,14493,15643,13989
22,931,0,1346,1652,1444,1583,2111,2041,1370,4125,3183,2973,3635,1902,3362,3487,5204,9277
23,7,7,0,0,9,0,2,22,9,38,45,46,154,127,253,222,141,213
24,3071,6,3076,4492,5454,6160,6443,5391,3335,4277,3083,5051,3755,4087,4959,4946,4644,4993
25,2222,5,3898,5682,7269,8448,8112,6640,3029,1185,2537,3319,6592,4199,7008,10186,12319,12281
26,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
27,10987,15,1691,2475,1293,2155,1788,3303,931,1324,1964,1279,3341,22369,80720,70700,29723,28949
28,569,0,880,1527,892,2163,1337,1771,1099,764,638,707,1121,1188,1054,2719,1049,1444
29,206,0,167,357,577,401,593,293,394,297,363,211,711,696,643,548,1073,1098
30,13521,10,17507,17067,23303,23936,16049,18395,25918,47905,33564,42211,29880,18756,74831,52650,42057,60337
31,0,0,536,825,845,1097,1999,684,0,65,620,353,577,317,394,453,650,483
32,595,96,324,426,269,557,1084,517,228,229,580,491,1226,506,1119,479,1131,928
33,780,0,846,1329,927,1332,543,850,309,403,1217,601,1347,381,478,809,533,460
34,814,0,823,698,795,708,369,1064,400,811,831,3936,2718,1716,4099,2190,1901,1682
35,145,0,203,362,252,123,279,304,207,383,204,167,479,164,253,202,299,399
36,173,0,434,516,563,490,1001,454,244,285,270,226,117,83,527,154,69,94
37,17,0,23,62,98,14,19,16,10,16,181,81,10,5,13,83,2,9
38,714,0,783,1462,2125,2297,1900,1660,2296,3843,3317,2736,5110,2467,4700,5708,9262,6101
39,972,70,2600,3122,2214,4645,2313,2968,1599,5410,11187,10260,7213,5820,9561,12943,12608,15533
40,764,0,2771,2947,1272,2845,2853,3395,1997,1861,1744,2358,3526,2818,1909,3487,7574,3997
41,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
42,24,0,368,371,185,92,92,143,122,18,121,132,304,254,791,1023,1529,700
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
44,1768,68587,59,124,315,1456,201,221,62,43,1208,1697,2604,4204,2014,1404,2521,1204
46,49,0,236,14,5,55,21,50,0,13,56,0,91,10,274,124,310,87
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1
48,2123,23,2371,3749,3063,3028,3937,4129,1581,4311,3225,4076,4116,2470,3608,3785,4840,3693
49,545,3,1552,2078,1665,3817,1601,1277,596,448,2440,5463,751,1983,3861,8383,1903,3777
50,0,0,0,1,0,23,0,2,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,2,15,19,3,0,0,0,15,9,1,0,9,0
52,261,250,50,57,62,75,34,4,21,118,25,15,55,5,143,41,10,24
53,0,0,0,5,0,0,0,14,0,0,1,1,5,2,45,10,4,0
54,8,0,2,7,10,7,14,0,1,77,0,0,40,77,163,414,361,148
55,12,0,13,11,5,1,0,7,6,0,140,1,136,0,171,30,0,0
56,536,0,551,700,675,669,792,1022,446,741,642,498,627,1030,1068,1445,1012,888
57,15,0,0,180,11,477,28,10,1,0,436,11,220,22,65,14,73,34
