Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Total,63521,81219,67786,76399,63972,40282,28975,40316,56422,54476,44900,33127,60564,31194,20384,10087,1419,5774,6895,31875
Indonesia,644,93,1148,1510,6989,2484,848,2978,3230,5175,6382,6145,346,2106,3048,2005,0,2808,2169,16605
Türkiye,256,0,129,0,0,0,0,39,0,0,0,91,203,0,1999,4135,80,156,0,5244
India,3503,1297,259,0,655,3890,3474,278,0,4889,9433,12674,7745,11593,4862,0,0,0,198,4363
China,2826,25268,19577,29516,7402,7918,4699,2423,12172,23536,3751,3743,3169,716,371,0,43,0,0,2641
Thailand,403,3260,3674,5266,4771,5015,2514,3958,891,253,1683,550,1826,4694,390,0,0,288,1290,2191
Germany,14918,10471,10304,8496,9531,4787,3477,3218,11653,3145,2603,2960,1281,2838,1669,870,873,1952,1142,831
Congo,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,62,0,53,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,135,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,816,0,0,2903,0,0,0,0,0,0
Belgium,1507,0,0,0,272,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,63,0,0,0,0,0,0,0,3345,0,0,0,302,0,0,0,0,0,0,0
Croatia,1000,184,717,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,2905,2152,919,815,473,0,279,301,1537,955,332,1166,1231,902,132,0,0,11,0,0
Dominican Republic,0,0,0,0,162,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,2,22,0,4,0,0,692,220,0,605,0,344,60,0,0,0,0,0,0
"Hong Kong, China",241,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,900,487,390,163,0,0,0,0,4258,0,2655,181,2183,0,509,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",1302,5133,823,2889,834,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,176,0,0,415,0,107,0,0,1384,53,0,0,0,0,0,0,0,0,0
Mauritius,137,0,1178,3157,2573,1088,843,0,0,0,0,0,0,0,0,0,0,559,750,0
"Taipei, Chinese",2875,798,1825,0,429,0,0,674,0,783,403,0,0,0,0,0,0,0,0,0
"Moldova, Republic of",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,5153,2442,1802,1637,2732,1985,0,0,2472,949,0,0,0,178,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,346,663,2341,2098,569,0,0,0,41,0,0,617,175,0,0,0,0,0,0
Poland,2939,2431,2720,1119,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,15158,16786,11587,14815,16608,7302,4293,9527,10282,5019,5951,4800,3915,5029,7132,2975,423,0,1346,0
Romania,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,800,2123,7453,0,0,4598,0,10866,0,0,0,0,0,0,0
Slovenia,1032,1135,333,0,0,61,185,59,58,0,0,140,0,0,52,102,0,0,0,0
Spain,3641,1621,333,0,0,0,744,1022,915,237,800,677,292,0,159,0,0,0,0,0
Switzerland,253,171,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia, North",0,0,0,25,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,1824,6726,8729,4458,7231,3974,5242,7631,5389,5092,4317,0,26173,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,3018,0,0,0,0,0,0,0,0,0,0
HHI,0.20685894,0.260707235,0.231908576,0.273579108,0.196661858,0.12311658,0.128882988,0.186915711,0.147129682,0.288157388,0.133249792,0.246704604,0.333954564,0.223905678,0.274543604,0.185255818,0.373254219,0.328802048,0.08848079,0.280066512
