code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1,1,1,0.603553391,1,1,0.974942472,0.925595146,0.982814691,0,0.496023786,1,0.410464243,1,1,0.004718582,0.731045404,0.978523001,1,0
2,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.848501418
3,0,1,0,0.64056373,0,1,1,1,1,1,1,1,0,1,0,1,0.89713311,0.13059098,1,0
4,0,0,0,0,1,0,0.999398853,0,0.98160809,1,1,0,0,1,1,1,0,0.284959256,0,0
5,0,0.34754754,1,0.401219067,1,1,1,0,0,0,0,1,0.7805045,0.937370243,0,0.130590976,0,1,0.401219067,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,1,1,0,1,0,0.04781085,1,0,0,0,0.28495926,1,0.35895048,0.77571795,0.93156813,0,0.40121907,1,0
8,1,0.880321105,1,0.507365229,1,0.130590976,0,0,0,0.866275402,0.257892784,0,1,0.34754754,0.790564432,0.748292247,0,1,1,1
9,0.801244422,0.404878885,1,0.63487417,0,0,0,0,0,1,0.644260854,0.810808721,0.734434912,0.88238044,0.184917333,0.149253586,0.447376776,1,0.307007204,0
10,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0
11,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1
12,0.762790827,1,1,0.913607757,0.074300818,0.284959256,0.130590976,0.967225856,0,0.866229268,0.575231727,0.668086667,0.905165565,0.916502704,0.945939262,0.827160639,0.922888131,0.894887447,0.780756008,0.954614294
13,0.514171601,0.534521198,0.555386221,0.494834558,0.376189158,0.50443141,0.494103761,0.49128434,0.491614212,0.444968629,0.443580879,0.462259093,0.460177414,0.443970459,0.369130153,0.329948053,0.372164568,0.416250011,0.265614223,0.422983778
15,0,0,1,0,0,0,1,0,1,0.253881453,0,0,1,0,0,0,0,0.401219067,0.236212134,0.487310034
16,0,0,1,0.284959256,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,1,1,1,1,0,0.892831364,0,0,0,0,0.130590976,0,0,0.401219067,0.335787277,0,0
18,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
19,0.130590976,0,1,0.745178624,1,0.278160594,0.748269012,0,1,1,0,0,0,1,0,1,0,0,1,0
20,0,0,0,1,0,0,0,0.639381774,0,1,1,0.203418298,0.72838822,0.109335592,1,0.7805045,1,1,0,0.603553391
21,0,0,0,0,0,0,0.069335196,0.047810851,0.644260854,0.667114726,0.284959256,0,0,0,0,0,1,0.866275402,0.401219067,0.593567077
22,1,1,1,1,0.603553391,0,1,0.142025809,0.909005322,0.053589838,1,0,1,0,0.053589838,1,1,0.815895431,0.520577543,0.434981393
23,1,1,0,1,0.04781085,1,0.20118446,0,0,1,0.99154902,0.99560873,0,0.48731003,0.12730537,0.44947861,0.29636685,1,1,1
24,0,0,0,0,0.046572773,1,0,0.991994843,0,1,1,1,1,1,0,0,0,0,0,0
25,0,0,0,0.754609894,0.522099367,0.404838611,0.202626782,1,0.50500015,1,0.854586654,0.130590976,0.894518093,0.309723608,0.234660804,0.362221351,0.39250069,0.433943098,0.586072193,0.082863336
26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
