code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1.02E-05,8.43E-05,5.98E-06,3.84E-06,7.95E-07,1.53E-06,0.000438565,7.16E-05,0.000302731,0,3.97E-05,3.46E-06,6.85E-06,1.01E-05,8.21E-06,4.72E-08,5.30E-05,0.003455511,2.67E-06,0.00E+00
2,0,0,9.66E-06,0,0,0,0,0,5.18E-07,5.11E-06,0,0,3.34E-06,2.39E-06,0.00E+00,0.00E+00,,,,3.94E-06
3,,2.88E-06,,2.27E-05,,2.55E-07,0.002194372,3.23E-06,2.59E-07,6.01E-07,1.96E-05,0.000122727,,5.97E-07,,5.89E-07,6.57E-05,4.58E-07,6.69E-07,
4,,,,,1.19E-05,,0.002469141,,0.000260909,2.71E-06,6.23E-07,,,8.95E-06,5.22E-06,5.89E-07,,6.67E-07,,
5,,2.26E-06,9.20E-07,7.98E-07,3.98E-07,7.65E-07,2.61E-06,,,,,6.61E-06,4.89E-06,3.02E-05,,1.38E-06,,2.34E-06,1.34E-06,
6,,,,,,,,,2.59E-07,,,,,,,,,,,
7,,2.88E-06,4.60E-07,,7.95E-07,0,2.08E-07,1.29E-06,,,,3.59E-07,1.25E-06,9.84E-06,2.54E-05,7.53E-05,,1.18E-06,3.34E-07,
8,8.17E-05,1.78E-05,4.60E-07,3.17E-05,7.56E-06,9.99E-08,,,,6.51E-06,8.85E-07,,4.17E-07,3.72E-06,3.72E-05,5.73E-06,,4.68E-06,6.69E-07,2.11E-07
9,0.000801506,7.94E-05,6.76E-05,8.82E-06,,,,,,1.83E-05,5.42E-06,8.92E-06,6.74E-06,3.00E-05,2.20E-06,2.76E-05,1.11E-05,1.52E-05,6.17E-07,
10,2.04E-05,,,,2.11E-05,,,4.19E-06,,,7.47E-06,,2.34E-05,5.97E-07,0.00010522,,,5.27E-06,1.67E-05,
11,,,,,,8.67E-06,,,5.54E-05,,3.11E-07,,0.000391237,,5.97E-06,2.36E-06,,,3.34E-07,2.11E-07
12,0.000646248,1.15E-05,9.20E-07,1.42E-05,2.36E-07,5.81E-07,6.82E-07,9.70E-05,,0.002674424,0.003176059,0.004506224,0.008555849,0.013476968,0.018056896,0.012090556,0.025703037,0.039872011,0.034924635,0.023070442
13,0.048652323,0.005807756,0.008390593,0.007993448,0.00298048,0.004014358,0.004108489,0.002280292,0.002402241,0.003541943,0.004004401,0.003298156,0.005722647,0.006219624,0.007874856,0.005200714,0.005978967,0.004413189,0.001814794,0.002769656
15,,,2.71E-05,,,,4.35E-06,,6.22E-06,6.12E-07,,,4.59E-06,,,,0,1.18E-06,2.05E-06,6.19E-07
16,,,2.30E-06,4.53E-07,,,,,6.22E-06,,,3.15E-07,,,,,,,,
17,,,,3.18E-06,1.59E-06,5.10E-07,8.70E-07,,2.18E-05,,,,,2.34E-07,,,1.50E-06,4.33E-06,,
18,,,9.20E-07,,,3.06E-06,6.96E-06,,,2.10E-06,,,,,7.46E-07,5.30E-06,,,,
19,4.00E-06,,4.60E-07,2.29E-05,1.75E-05,5.62E-06,6.05E-05,,1.04E-06,5.08E-05,,,,5.97E-07,,1.77E-06,,,3.34E-07,
20,,,0,7.56E-06,,,,5.15E-06,,3.01E-07,3.11E-07,3.19E-07,3.65E-06,1.50E-06,1.49E-06,6.90E-06,7.47E-07,9.36E-06,,6.10E-06
21,,,,,,,8.74E-07,7.70E-08,1.50E-06,5.82E-06,3.56E-07,,,,,,1.72E-05,2.54E-05,6.70E-07,2.75E-06
22,5.10E-05,1.44E-06,3.68E-06,9.16E-06,1.15E-05,,2.61E-06,3.66E-07,1.75E-05,8.04E-08,7.47E-06,0,4.17E-07,0,2.00E-07,5.89E-07,1.49E-06,9.45E-05,3.13E-06,1.19E-06
23,8.17E-05,8.65E-06,,7.96E-07,1.90E-07,9.18E-06,2.09E-06,,,1.50E-06,0.000249201,0.000243437,,1.74E-05,4.39E-05,0.000125317,9.99E-05,0.000254538,0.000296525,1.27E-06
24,0,,,,2.81E-06,1.61E-05,,0.000136287,,0.000104317,3.11E-07,3.15E-07,4.17E-07,5.97E-07,,,,,,
25,,,,5.83E-05,2.70E-06,3.72E-06,3.26E-06,9.68E-07,7.16E-05,3.01E-07,8.52E-06,2.47E-07,3.18E-05,5.17E-05,1.77E-05,8.98E-06,1.11E-05,1.02E-05,6.27E-06,6.99E-08
26,,,,,,,,,,,0.005062929,,,,,,7.47E-07,,,
27,0.199554957,0.434743875,0.588930171,0.698756252,0.844144459,0.805075601,0.831518206,0.581214578,0.771429766,0.74703802,0.70178077,0.651596218,0.428243566,0.476897298,0.286019549,0.244490829,0.253391103,0.179510141,0.254582658,0.113220762
28,,,,7.56E-06,3.82E-05,2.30E-06,1.62E-06,0.025544655,2.59E-07,,,3.94E-05,2.09E-06,,,6.83E-06,2.29E-05,1.05E-05,,1.16E-05
29,1.02E-05,,7.36E-06,3.15E-05,7.36E-05,,1.04E-05,,,,8.51E-07,,4.17E-07,0.000180409,4.25E-05,5.89E-07,1.84E-05,4.68E-06,8.42E-06,8.69E-05
30,2.04E-05,1.44E-06,,8.83E-05,3.58E-06,1.04E-05,2.84E-05,,1.48E-05,2.73E-05,0,3.15E-06,6.73E-05,,7.46E-07,1.96E-07,9.09E-06,4.95E-05,,5.58E-06
31,,,6.90E-06,,,,,0.000399261,,,0.000223919,8.50E-05,,0.011792579,,,,0.000292573,,9.91E-05
32,,1.55E-05,1.70E-05,1.59E-06,7.03E-06,1.46E-06,1.15E-05,4.84E-06,0.000360935,3.01E-07,5.14E-06,,,2.76E-06,2.31E-05,5.89E-07,5.23E-06,6.04E-06,5.32E-06,1.39E-06
33,,4.68E-06,,0.000306223,1.16E-06,2.55E-07,1.31E-06,2.45E-06,3.72E-05,1.83E-06,1.35E-06,2.83E-05,2.17E-05,2.39E-05,0.000318622,4.80E-06,1.38E-05,2.13E-05,3.37E-05,1.83E-06
34,0.000622652,,3.45E-05,3.68E-05,6.32E-05,,0.000297658,6.45E-07,,6.01E-07,3.11E-07,,5.34E-07,4.05E-06,1.49E-06,9.17E-06,6.73E-06,2.52E-05,5.84E-07,
35,,,,3.98E-07,,2.55E-07,,,,6.01E-07,,,2.29E-05,5.97E-07,,,,,,3.59E-06
36,,,,,,,,,,6.01E-07,,,,,,,,,,
37,,,,,,,0,0,7.77E-07,,,,,,,,,,,4.22E-07
38,8.17E-05,2.82E-07,,2.12E-05,3.98E-07,1.06E-05,8.95E-05,0.000254806,7.39E-06,,6.32E-07,1.81E-06,4.04E-05,3.87E-06,2.61E-06,1.32E-05,3.27E-05,5.85E-07,6.38E-06,4.22E-07
39,0.00305111,2.53E-05,0.000390962,0.000203705,2.92E-07,5.90E-06,0.001101443,0.000320724,1.27E-06,0.000984062,0.000849139,0.000156876,0.000113031,0.000336374,0.001228811,0.001877115,0.001000771,0.00088017,0.000372071,1.21E-05
40,0.002674343,6.63E-05,9.20E-07,7.05E-06,6.07E-05,3.12E-05,5.89E-05,3.23E-07,1.90E-06,2.04E-05,1.32E-05,8.66E-06,7.68E-07,2.63E-05,6.12E-06,5.99E-06,4.62E-05,0,2.93E-05,3.42E-07
41,0.003359892,0.000219724,0.000125816,0.0001465,0.000103388,0.000123068,2.07E-05,7.06E-05,5.06E-05,1.62E-05,4.77E-05,4.15E-05,0.000257693,0.000158467,0.000188731,0.000256726,0.00021343,0.000126122,0.000101132,3.60E-05
42,,6.81E-07,0,3.38E-06,2.31E-06,1.10E-06,0,9.36E-06,,3.01E-07,1.25E-06,7.90E-07,2.47E-06,1.53E-05,4.41E-06,6.80E-06,8.86E-06,3.84E-07,4.17E-06,2.91E-07
43,,,4.65E-05,,,,,,,,,,,,,5.89E-07,,,,
44,0.000993096,3.60E-06,3.75E-05,1.45E-06,0.000631544,3.91E-06,0.000314126,7.39E-06,8.68E-06,4.81E-06,5.54E-05,0,9.74E-05,4.63E-06,9.81E-06,6.00E-07,5.85E-07,,6.69E-07,
45,,,,,1.59E-06,2.04E-06,4.79E-06,,,2.10E-06,,3.15E-07,,,,,,,,
46,,,,7.96E-07,,,,,,,,,,,,,,2.34E-06,,
47,,,5.98E-06,,,,,,,,0.000151667,,,,,,,,,
48,0.000459334,4.06E-06,1.15E-05,1.48E-05,1.37E-05,2.53E-06,0.002463858,3.32E-05,1.96E-05,1.13E-05,1.10E-05,1.73E-05,3.10E-05,3.68E-05,1.96E-07,1.14E-05,8.52E-07,2.34E-05,2.38E-05,9.94E-06
49,1.04E-05,2.79E-06,4.60E-06,1.63E-06,1.32E-07,2.91E-07,2.22E-06,1.07E-07,3.60E-07,9.05E-06,1.03E-06,,1.63E-07,3.93E-06,1.50E-06,1.09E-06,,3.96E-06,5.05E-07,0
50,,,,,,,,,,9.02E-06,,,,,,,5.68E-05,,,2.11E-07
51,,,,,,,,,3.11E-06,,,,,,,,,,3.29E-06,
52,0.134124272,0.015260474,0.007230559,0.008321,0.005002804,0.001265071,0.001624629,0.002430299,0.002150568,0.00471913,0.001863264,0.002571793,0.008436043,0.004167237,0.004176188,0.001101472,0.000395767,0.001110901,0.000203949,0.001882816
