Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1.02E-05,8.43E-05,5.98E-06,6.37E-06,7.95E-07,1.53E-06,0.000449837,7.74E-05,0.000308025,2.41E-06,8.00E-05,3.46E-06,1.67E-05,1.01E-05,8.21E-06,1.00E-05,7.25E-05,0.003531354,2.67E-06,
2,,,9.66E-06,,,,,,5.18E-07,5.11E-06,,,3.34E-06,2.39E-06,,,,,,4.64E-06
3,,2.88E-06,,3.54E-05,,2.55E-07,0.002194372,3.23E-06,2.59E-07,6.01E-07,1.96E-05,0.000122727,,5.97E-07,,5.89E-07,7.32E-05,3.51E-06,6.69E-07,
4,,,,,1.19E-05,,0.002470626,,0.000265798,2.71E-06,6.23E-07,,,8.95E-06,5.22E-06,5.89E-07,,2.34E-06,,
5,,6.49E-06,9.20E-07,1.99E-06,3.98E-07,7.65E-07,2.61E-06,,,,,6.61E-06,6.26E-06,3.22E-05,,1.06E-05,,2.34E-06,3.34E-06,
6,,,,,,,,,2.59E-07,,,,,,,,,,,
7,,2.88E-06,4.60E-07,,7.95E-07,1.02E-06,4.35E-06,1.29E-06,,,,1.26E-06,1.25E-06,2.74E-05,3.28E-05,8.08E-05,,2.93E-06,3.34E-07,
8,8.17E-05,2.02E-05,4.60E-07,6.25E-05,7.56E-06,7.65E-07,,,,7.52E-06,3.43E-06,,4.17E-07,1.07E-05,4.70E-05,7.66E-06,,4.68E-06,6.69E-07,2.11E-07
9,0.001000327,0.000196032,6.76E-05,1.39E-05,,,,,,1.83E-05,8.41E-06,1.10E-05,9.18E-06,3.40E-05,1.19E-05,0.000185084,2.47E-05,1.52E-05,2.01E-06,
10,2.04E-05,,,,2.11E-05,,,4.19E-06,,,7.47E-06,,2.34E-05,5.97E-07,0.00010522,,,5.27E-06,1.67E-05,
11,,,,,,8.67E-06,,,5.54E-05,,3.11E-07,,0.000391237,,5.97E-06,2.36E-06,,,3.34E-07,2.11E-07
12,0.000847215,1.15E-05,9.20E-07,1.55E-05,3.18E-06,2.04E-06,5.22E-06,0.000100299,,0.003087432,0.005521355,0.006744969,0.009452248,0.014704777,0.019088854,0.014616938,0.027850653,0.044555336,0.044731817,0.024167292
13,0.094622734,0.010865343,0.015107673,0.016153779,0.007922824,0.007958184,0.008315032,0.004641492,0.004886435,0.007959983,0.009027442,0.007134864,0.012435741,0.014009095,0.021333548,0.01576222,0.016065385,0.010602255,0.006832444,0.006547901
15,,,2.71E-05,,,,4.35E-06,,6.22E-06,2.41E-06,,,4.59E-06,,,,1.49E-06,2.93E-06,8.69E-06,1.27E-06
16,,,2.30E-06,1.59E-06,,,,,6.22E-06,,,3.15E-07,,,,,,,,
17,,,,3.18E-06,1.59E-06,5.10E-07,8.70E-07,,2.44E-05,,,,,1.79E-06,,,3.74E-06,1.29E-05,,
18,,,9.20E-07,,,3.06E-06,6.96E-06,,,2.10E-06,,,,,7.46E-07,5.30E-06,,,,
19,3.06E-05,,4.60E-07,3.07E-05,1.75E-05,2.02E-05,8.09E-05,,1.04E-06,5.08E-05,,,,5.97E-07,,1.77E-06,,,3.34E-07,
20,,,4.60E-06,7.56E-06,,,,8.06E-06,,3.01E-07,3.11E-07,1.57E-06,5.01E-06,1.37E-05,1.49E-06,8.84E-06,7.47E-07,9.36E-06,,1.01E-05
21,,,,,,,1.26E-05,1.61E-06,2.33E-06,8.72E-06,1.25E-06,,,,,,1.72E-05,2.93E-05,1.67E-06,4.64E-06
22,5.10E-05,1.44E-06,3.68E-06,9.16E-06,1.91E-05,,2.61E-06,2.58E-06,1.92E-05,1.50E-06,7.47E-06,6.29E-07,4.17E-07,1.19E-06,3.73E-06,5.89E-07,1.49E-06,0.000115859,6.02E-06,2.74E-06
23,8.17E-05,8.65E-06,,7.96E-07,3.98E-06,9.18E-06,1.04E-05,,,1.50E-06,0.000251325,0.000244511,,3.58E-05,0.000344764,0.000278805,0.000336999,0.000254538,0.000296525,1.27E-06
24,0.000612445,,,,6.04E-05,1.61E-05,,0.000137387,,0.000104317,3.11E-07,3.15E-07,4.17E-07,5.97E-07,,,,,,
25,,,,7.72E-05,5.17E-06,9.18E-06,1.61E-05,9.68E-07,0.000141707,3.01E-07,9.97E-06,1.89E-06,3.55E-05,0.000167059,7.54E-05,2.48E-05,2.84E-05,2.34E-05,1.07E-05,8.44E-07
26,,,,,,,,,,,0.005062929,,,,,,7.47E-07,,,
27,0.199554957,0.897742825,0.928937914,0.944340006,0.957029299,0.974754358,0.959085673,0.883648254,0.975548655,0.955767651,0.939426725,0.919696354,0.908371758,0.834681937,0.859355143,0.873081151,0.757888665,0.806559015,0.686943138,0.774982194
28,,,,7.56E-06,3.82E-05,2.30E-06,4.35E-06,0.025544655,2.59E-07,,,4.47E-05,2.09E-06,,,1.06E-05,3.29E-05,1.05E-05,,1.37E-05
29,1.02E-05,,7.36E-06,3.15E-05,7.36E-05,,1.04E-05,,,,4.05E-06,,4.17E-07,0.000285194,6.64E-05,5.89E-07,2.09E-05,4.68E-06,1.84E-05,0.000101869
30,2.04E-05,3.60E-06,,9.24E-05,3.58E-06,1.61E-05,8.09E-05,,4.82E-05,6.70E-05,6.23E-07,3.15E-06,7.01E-05,,7.46E-07,2.36E-06,1.87E-05,8.72E-05,,8.44E-06
31,,,6.90E-06,,,,,0.000399261,,,0.000223919,8.50E-05,,0.011792579,,,,0.000292573,,9.91E-05
