Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1,117,13,16,2,6,1034,240,1189,8,257,11,40,17,11,17,97,6035,8,0
2,0,0,21,0,0,0,0,0,2,17,0,0,8,4,0,0,0,0,0,22
3,0,4,0,89,0,1,5044,10,1,2,63,390,0,1,0,1,98,6,2,0
4,0,0,0,0,30,0,5679,0,1026,9,2,0,0,15,7,1,0,4,0,0
5,0,9,2,5,1,3,6,0,0,0,0,21,15,54,0,18,0,4,10,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,4,1,0,2,4,10,4,0,0,0,4,3,46,44,137,0,5,1,0
8,8,28,1,157,19,3,0,0,0,25,11,0,1,18,63,13,0,8,2,1
9,98,272,147,35,0,0,0,0,0,61,27,35,22,57,16,314,33,26,6,0
10,2,0,0,0,53,0,0,13,0,0,24,0,56,1,141,0,0,9,50,0
11,0,0,0,0,0,34,0,0,214,0,1,0,938,0,8,4,0,0,1,1
12,83,16,2,39,8,8,12,311,0,10270,17729,21434,22662,24646,25580,24798,37272,76144,133807,114586
13,9270,15076,32846,40576,19924,31198,19113,14392,18862,26478,28987,22673,29815,23480,28588,26741,21500,18119,20438,31046
15,0,0,59,0,0,0,10,0,24,8,0,0,11,0,0,0,2,5,26,6
16,0,0,5,4,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,8,4,2,2,0,94,0,0,0,0,3,0,0,5,22,0,0
18,0,0,2,0,0,12,16,0,0,7,0,0,0,0,1,9,0,0,0,0
19,3,0,1,77,44,79,186,0,4,169,0,0,0,1,0,3,0,0,1,0
20,0,0,10,19,0,0,0,25,0,1,1,5,12,23,2,15,1,16,0,48
21,0,0,0,0,0,0,29,5,9,29,4,0,0,0,0,0,23,50,5,22
22,5,2,8,23,48,0,6,8,74,5,24,2,1,2,5,1,2,198,18,13
23,8,12,0,2,10,36,24,0,0,5,807,777,0,60,462,473,451,435,887,6
24,60,0,0,0,152,63,0,426,0,347,1,1,1,1,0,0,0,0,0,0
25,0,0,0,194,13,36,37,3,547,1,32,6,85,280,101,42,38,40,32,4
26,0,0,0,0,0,0,0,0,0,0,16257,0,0,0,0,0,1,0,0,0
27,19550,1245646,2019629,2372048,2406699,3821272,2204562,2739952,3765690,3179255,3016487,2922589,2177844,1398972,1151578,1481204,1014268,1378390,2054864,3674475
28,0,0,0,19,96,9,10,79207,1,0,0,142,5,0,0,18,44,18,0,65
29,1,0,16,79,185,0,24,0,0,0,13,0,1,478,89,1,28,8,55,483
30,2,5,0,232,9,63,186,0,186,223,2,10,168,0,1,4,25,149,0,40
31,0,0,15,0,0,0,0,1238,0,0,719,270,0,19765,0,0,0,500,0,470
32,0,28,37,4,21,16,31,15,1437,1,32,0,0,11,47,1,7,17,56,17
33,0,13,0,781,6,1,3,26,147,15,467,90,88,48,436,22,43,100,169,30
34,61,0,75,185,159,0,696,2,0,2,1,0,7,13,2,22,9,43,14,0
35,0,0,0,1,0,1,0,0,0,2,0,0,55,1,0,0,0,0,0,17
36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,2
38,8,3,0,58,1,45,245,927,65,0,8,40,193,13,17,29,92,1,50,2
39,359,85,850,737,41,88,2688,1058,58,3803,5111,934,556,802,2000,3487,1838,1654,1201,143
40,262,92,2,123,317,129,232,1,27,227,83,69,6,72,39,36,73,4,143,8
41,451,326,587,417,340,586,139,219,308,156,525,511,926,563,602,1090,603,241,446,501
42,0,8,2,16,9,13,2,48,0,9,4,17,20,37,39,40,27,6,40,10
43,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,102,5,85,17,1600,23,738,60,49,16,178,3,250,88,45,5,6,0,2,0
45,0,0,0,0,4,8,11,0,0,7,0,1,0,0,0,0,0,0,0,0
46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
47,0,0,13,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0
48,45,35,25,161,57,66,5804,103,144,122,75,55,81,118,6,29,4,47,155,69
49,5,7,10,18,4,4,15,4,9,49,14,0,3,14,5,6,0,10,16,2
50,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,76,0,0,1
51,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,22,0
52,63521,81219,67786,76399,63972,40282,28975,40316,56422,54476,44900,33127,60564,31194,20384,10087,1419,5774,6895,31875
53,0,0,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,32,0,0,10,0,554,1,11,57,44,21,10,33,40,3,5,5,0
55,11,0,98,27,361,0,48,72127,20,97,0,117,87,38,1,21,22,0,0,450
56,529,0,0,0,434,284,186,171,0,526,343,500,254,170,89,272,256,222,541,1
57,0,0,0,2,0,39,0,0,0,1,2,6,0,38,14,0,10,3,13,5
58,2,12,0,0,1,0,0,0,0,0,7,0,0,5,3,6,54,0,0,2
59,0,0,0,0,0,0,1,3,0,1,11,3,8,0,2,0,20,0,0,5
60,8,0,4,80,0,1,51,30,0,30,0,18,59,22,0,0,0,97,117,0
61,19,4,462,460,62,17,9,16,4,93,54,53,68,27,12,11,8,21,27,41
62,455,60,127,164,14,50,23,7,20,38,80,32,14,10,14,20,5,29,14,46
63,4,2,5,35,25,820,146,627,133,28,4,1,8,25,15,12,6,20,12,26
64,0,12,203,193,142,87,18,57,6,642,1352,86,3,70,16,10,0,1,11,15
65,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
66,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,0,7,0,0
67,0,1,0,10,1,0,0,0,0,0,0,0,0,1,4,0,3,3,1,2
68,1,6,14,4,1,10,0,6,0,61,24,0,3,204,0,5,5,0,3,7
69,6,8,7,0,1,20,1,72031,42,0,0,0,32,10,48,2,0,3,2,14
70,109,17,15,42,30,28,27,2,5,30,18,16,48,25,62,57,7,115,24,1
71,0,0,39,160,563,651,20,9124,0,42483,67598,167005,72462,168801,100788,137549,252594,216794,764690,882944
72,0,1,22,353,0,0,363,0,8,12,2511,5,247,91,78,60,112,4,410,326
73,2,628,53,6,38,117,245,55884,427,358,402,284,607,385,150,84,68,24,128,65
74,28,109,39,17,14,0,0,5,0,0,2,6,0,0,3,120,0,1,0,1
75,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,4
76,387,120,1,0,25,1,91,0,66,56,25,39,15,7,30,25,46,53,11,68
78,0,0,0,0,0,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,1,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0
82,0,30,84,39,32,207,623,122,68,25,0,23,5,19,78,23,7,2,47,9
83,2,15,1,8,7,6,13,7,2,88,19,13,0,21,105,6,2,4,42,24
84,1009,466,1877,2984,10887,4402,2209,1221,1181,986,612,1498,1508,901,969,3000,2881,1171,3049,646
85,297,411,631,1406,964,955,5730,2474,1035,2265,1675,953,1814,738,1178,2006,1316,699,481,681
86,0,0,15,3,0,18,0,13,424,3,1,173,29,3,0,48,2,2,2,0
87,249,64,177,287,325,163,945,662,546,580,256,213,446,641,1392,1681,1208,514,969,160
88,110,37622,42107,5197,18,2283,182,124,1706,93,416,577,917,587,841,1280,103,32,59,337
89,0,0,0,0,0,0,0,0,0,0,0,0,8956,0,0,0,0,0,5,0
90,98,434,281,306,165,1219,243,37,1089,407,970,1869,1150,299,1157,892,804,331,470,294
91,14,14,43,58,28,5,44,237,64,40,645,3,105,3,0,2,0,13,7,1
92,125,0,80,0,7,0,0,789,0,1,0,0,60,0,1,0,0,0,0,0
93,0,0,0,1,0,1,0,494,23,9,1,0,0,0,0,0,0,50,0,0
94,78,41,18,93,10,234,64,53,4893,26,72,16,239,66,37,108,8,134,113,52
95,0,22,2,42,39,101,105,12,1,79,0,2,1,17,1233,75,24,5,11,892
96,3,1,0,42,49,56,87,10,7,75,9,0,9,12,7,56,3,0,8,44
97,2,120,1,3,6,894,3500,3480,880,201,0,11,13288,20,7,16,0,8,397,9
99,458,2966,5176,7269,6602,13446,8052,1724,779,1177,333,977,598,1878,1349,354,599,486,195,206
TOTAL,97968,1387531,2174127,2511858,2514760,3920241,2298608,3100727,3860074,3326389,3210987,3177776,2397525,1676054,1340049,1696525,1338281,1708976,2991316,4741367
