Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Total,545,827,1011,1250,1839,1219,2057,2697,2391,1878,3858,4523,4837,2946,2374,1669,2206,3039,3389,3709
United Arab Emirates,0,0,0,0,5,60,0,0,0,30,1,92,370,472,454,407,569,1012,1447,1150
China,0,0,7,4,35,15,383,1104,274,261,906,871,538,162,553,329,562,1296,804,915
Italy,58,70,122,101,443,304,505,483,573,562,230,494,195,161,130,169,549,294,295,763
France,353,655,661,581,697,760,721,925,1254,600,1495,2612,3070,1565,732,534,322,244,232,291
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,289
Spain,0,0,0,0,0,0,0,0,0,186,128,0,197,384,290,56,0,1,385,236
Türkiye,1,0,0,0,0,0,0,8,0,1,1,51,27,8,100,5,28,8,9,19
Netherlands,17,2,9,6,0,22,0,11,19,4,2,35,51,12,3,4,1,25,0,12
Senegal,0,0,1,0,0,0,2,11,6,3,0,0,0,0,0,0,0,0,0,8
United States of America,44,0,5,22,19,11,0,27,35,7,21,144,149,0,9,5,39,37,28,6
Belgium,0,10,9,0,0,7,10,15,21,129,145,53,104,10,2,4,8,51,7,5
Canada,0,0,12,0,30,0,0,0,0,0,2,2,17,0,3,16,0,5,6,5
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,1,1,3
Morocco,0,0,0,0,0,1,2,0,3,0,0,1,0,47,36,50,8,42,49,2
Germany,9,6,111,484,545,22,144,13,0,4,7,7,2,0,0,1,0,1,7,1
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
India,17,0,21,14,13,0,3,5,0,1,817,0,8,25,1,1,1,1,0,1
Tunisia,0,0,0,0,0,0,7,29,0,0,0,5,6,37,0,17,7,12,4,1
Burkina Faso,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Australia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,5,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,9,0,4,1,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0,0,1,2,6,8,0,0,0,0,1,0,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0
Ireland,0,0,0,0,0,0,79,0,0,1,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,70,27,0,1,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Taipei, Chinese",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
Poland,0,0,0,0,0,0,9,0,16,34,0,0,0,0,0,0,4,0,0,0
Portugal,4,0,0,0,0,0,0,0,0,0,1,2,52,10,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,29,5,0,4,0,0,14,0,0,0
South Africa,0,1,9,17,4,13,138,20,65,3,0,1,0,1,7,3,2,0,0,0
Sweden,0,0,0,0,0,0,22,0,0,1,2,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,14,0,1,0,32,117,15,10,13,0,1,7,21,0,2,2,0
Kuwait,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cameroon,42,81,36,3,47,0,5,2,4,6,9,5,13,36,18,29,73,6,39,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,1,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HHI,0.501278957,0.694732296,0.557106278,0.443042758,0.340580619,0.54896444,0.323168584,0.418303128,0.433903985,0.337521211,0.372583605,0.514163022,0.552723361,0.453645824,0.291346754,0.32060208,0.315828556,0.419244873,0.364622316,0.304902147
