code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0.552622199,0.511016441,0.34754754,1,1,1,0.705097496,0.473854394,1,0.938865113,0.189423053,0.560661855,0.22328576,0.214454705,0.744964681,0.887995521,0.345081704,0.121419911,0.249790001,0.505359031
2,0.303113075,0.299550509,0.482411743,0.76017807,0.30386937,0.289781675,0.599328214,0.67561593,0.360879654,0.381167287,0.356548469,0.505314885,0.516065376,0.517767846,0.354926751,0.378867442,0.473524768,0.459683933,0.543284867,0.783061267
3,0.355841622,0.409222474,0.548969191,0.62313379,0.765412739,0.643219774,0.695855643,0.787247733,0.825317382,0.250920187,0.179659133,0.259737592,0.278696486,0.171765129,0.210436704,0.773366289,0.335824982,0.640980295,0.581509868,0.526395293
4,0.794418866,0.618205925,0.696041032,0.703223341,0.712778536,0.73454271,0.346402622,0.525311417,0.615425191,0.577737856,0.192770926,0.329425934,0.515898813,0.430196818,0.277740419,0.333710436,0.375063938,0.387284975,0.524314726,0.500643003
5,0,0,1,0,0.263045652,1,0.871309362,0.105392913,0.269259092,0.815203793,0.695730144,0.610384804,0.423351247,0.773995159,0.846838611,0.235111622,0.373679774,0.26908889,0.870086692,0.649934759
6,0,1,0,1,1,0,1,0.677488313,0.9962001,1,1,1,0.130590976,0.074300818,0.552622199,0,0.906515305,0,0,0.401219067
7,0.68822286,0.886558343,0.204864252,0.531159537,0.448317905,0.337173865,0.285092257,0.675789466,0.693845699,0.881179365,0.325615034,0.638275727,0.242571096,0.514083662,0.413479109,0.778954834,0.509229428,0.264439691,0.367630358,0.586350941
8,1,0.203418298,0.259340105,0.765493476,0.254278116,0.793195497,0.440148431,0.283858572,0.750260139,0.401038941,0.668921204,0.533314814,0.328266731,0.257609998,0.246918802,0.247991723,0.160096682,0.718730966,0.163254284,0.163083412
9,0.251728962,0.766902593,0.233781164,0.295890974,0.178849793,0.178712669,0.332434568,0.846305491,0.559034335,0.656771206,0.75937499,0.719558167,0.389380422,0.529704972,0.298947811,0.492805766,0.310798548,0.384756721,0.524466424,0.410200622
10,0,0.338563108,0.434654398,0.827420378,0.408304693,0.561488638,0.236448344,0.365044664,0.497117732,0.53791653,0.444618997,0.927075951,0.531696632,0.482012766,0.385372158,0.536804204,0.510328494,0.875731802,0.800317486,0.711824073
11,0.420812423,0.364859313,0.327968223,0.374714273,0.55303697,0.50898649,0.53436895,0.530640717,0.44755658,0.42501456,0.413225994,0.436797941,0.430144388,0.412734576,0.48636982,0.246502405,0.202059277,0.176025694,0.417649867,0.211554654
12,0.153939023,0.191298771,0.592587775,0.567406146,0.330991457,0.487596396,0.500634951,0.327211129,0.44661664,0.414506052,0.519771509,0.311201852,0.374387446,0.35218505,0.641166759,0.308359864,0.603941573,0.473530732,0.221977832,0.374519996
13,0.005358971,1,0.777639268,0.312806294,0.415687146,1,0.545619646,0.276088946,0.055600287,0.364133589,0.332173944,0.061384963,0.312160984,0.649484578,0.418747258,0.195651701,0.304897999,0.277428831,0.315362696,0.016105923
14,0,0,0.748292247,1,0.72838822,1,0,0.85492792,1,1,0,0.330084606,0,0,0,0,1,0,0,0.611393987
15,0.700446127,0.13015608,0.481995327,0.602787522,0.583407539,0.195361637,0.548845564,0.846815056,0.625175009,0.16976814,0.164517472,0.191735705,0.122219545,0.339082262,0.121444161,0.684677785,0.539424851,0.778342569,0.591615617,0.72011551
