Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,7,19,18,15,34,49,99,99,2,166,149,100,146,138,267,2430,192,94,505,324
2,673,432,1642,1617,375,1002,1718,1477,617,2119,4069,2186,1648,2053,1718,2252,3027,3893,4670,5041
3,118,63,48,93,58,147,613,275,708,83,414,266,237,134,158,1116,415,865,118,356
4,5611,2625,2488,4771,5479,7950,5210,7184,6899,5919,4051,11776,9423,5244,2697,4061,5149,7963,14113,15566
5,0,0,6,0,37,12,26,52,41,533,158,168,85,68,115,95,77,129,103,286
6,4,2,0,70,21,0,14,10,1796,4,1,15,3,8,7,0,36,0,0,5
7,290,676,1402,992,935,3695,1820,840,5240,2401,695,895,268,179,163,2163,470,320,263,221
8,55,5,32,56,70,251,195,72,1988,464,849,740,827,454,224,258,718,8650,999,777
9,640,174,646,178,218,195,488,1569,492,596,2542,1933,2473,970,1865,2299,2123,3709,4105,4049
10,24,1432,3539,6654,10742,7444,625,7968,7609,10839,457,4445,7040,9995,9600,13801,11970,9779,21065,110
11,12111,10322,9884,13251,20292,26734,27070,23257,30584,19029,29908,23942,20565,21602,10117,10852,7189,5316,13726,5305
12,105,211,404,109,163,814,1412,1686,1222,287,822,272,281,389,263,378,1422,2280,744,694
13,45,95,414,24,270,535,1748,3424,1263,1891,891,898,951,1347,1117,431,256,135,127,271
14,2,0,13,11,12,8,0,23,25,7,0,12,0,0,0,2,19,0,0,46
15,903,2479,3052,4565,3987,1349,1653,1064,2620,240,895,563,638,844,1044,2190,9445,8668,4794,4748
16,1203,754,1572,1757,4507,11921,16736,6571,2158,2807,2902,3875,1351,1267,1485,838,2369,2058,1645,1737
17,2337,774,536,903,9003,4029,13550,19523,9351,5464,7274,5562,7450,2412,4123,6111,6310,9979,8768,6684
18,248,31,135,172,444,837,1024,1147,527,760,873,1489,1033,1120,1352,1381,1671,9125,3433,2227
19,2512,3420,4310,5837,5087,8107,7280,11563,13826,18209,15593,18790,20844,12251,17723,13516,28029,39517,34885,48591
20,647,941,1283,1561,2001,2655,3168,3314,1845,2843,5767,9130,6926,6929,2951,5251,6218,7871,12026,11399
21,3806,3585,3496,5241,8361,15675,13888,24935,19428,27084,22168,28103,30788,17008,19127,26851,33174,32808,32445,29230
22,4196,3864,3636,6763,4470,7163,10683,10608,10108,10247,14090,13135,8872,9342,5116,5386,5771,8339,6587,8541
23,0,16,4,92,76,5,18,5,75,12,29,26,249,67,125,432,266,369,188,372
24,3493,9059,10072,9953,359,36365,31487,24462,13422,4505,34965,12430,26664,19672,27841,27957,25887,24736,20055,9021
25,11596,899,1535,9903,14301,16078,14405,4277,2728,12707,12270,6866,4113,3077,6358,6062,4774,9310,14497,1257
26,0,0,0,6,0,10,1,0,0,29,0,33,16,83,45,48,8,33,117,0
27,19249,20855,16431,9707,69297,7158,15860,298250,25299,20393,19692,40907,38568,24154,11621,73740,28697,21830,30208,36663
28,324,306,2654,2598,912,3179,2220,2425,3267,3072,3553,6386,6001,1107,1018,2384,1645,1973,3024,1275
29,1675,485,5933,495,1164,943,5686,4406,1578,1964,3617,3285,2670,505,1784,4537,4718,3114,4188,3862
30,15758,16741,17201,12016,29223,21880,30846,30965,37632,44389,63561,52191,52689,53414,41241,56750,53207,84828,70255,118181
31,3427,2924,14923,9905,6174,2265,6040,2865,11390,1455,10133,11030,8559,14448,824,11114,6224,10616,1644,2885
32,1728,747,1189,1070,1404,1204,1286,7535,3928,1521,3301,4238,9148,6324,4284,19058,44668,13093,17845,26780
33,1274,1196,1952,2757,3827,3859,4267,4779,5286,8504,12627,8829,12150,8643,9564,8534,15178,21285,25541,24584
34,4741,3646,6200,4047,4339,13329,14088,19900,21518,22462,36907,29005,23518,24578,19114,26230,23223,25509,31484,5492
35,176,218,284,419,985,1081,562,729,823,801,1022,2595,904,630,740,907,1079,941,888,1499
36,1305,2255,1314,1231,6836,913,3344,1951,1708,3636,3373,2774,850,706,178,419,70,489,733,354
37,156,96,134,392,176,428,732,490,661,509,337,350,500,104,122,243,407,318,68,140
38,3434,5220,4431,4972,5609,4334,3523,12027,9053,15524,23100,27657,29418,19005,9318,62365,50404,19410,22283,41771
39,5249,5077,5314,11494,8477,16614,21951,21511,20249,24159,60578,43263,29174,26879,16232,18247,28011,38596,32729,29467
40,2564,1882,1831,2222,2779,2813,6906,3821,4917,7162,9877,7197,12570,12018,6442,8883,10416,11134,11163,9884
41,0,12,0,18,6,0,1034,13,0,11,0,0,64,0,0,490,36,76,1,5
42,49,91,90,236,145,507,180,215,1232,2108,626,542,579,1067,754,1082,677,1878,12288,634
43,0,30,0,0,82,134,17,0,0,0,0,0,0,0,0,0,4,0,0,0
44,409,533,550,641,1469,2456,2170,3801,7871,11827,9807,7614,4485,2697,1819,1793,1961,2901,3567,364
45,5,88,26,0,219,0,0,32,0,4,95,338,74,119,7,105,2,156,4,8
46,30,545,529,0,18,60,0,4,8,17,46,65,21,35,0,3,9,311,198,10
47,338,0,109,88,45,104,72,0,0,0,0,94,20,4,0,0,0,12,3,0
48,4594,3384,4108,5543,5459,5911,6189,6788,7949,6107,10781,9125,6050,4750,4183,5330,5378,4393,5312,3696
49,1694,1382,2429,7399,4534,4528,6468,8498,8713,6166,4930,14321,8634,7061,2093,1739,2847,4313,2085,3083
50,0,0,0,2,0,0,7,1,35,0,26,1,2,0,2,11,2,0,0,6
51,0,3,0,4,0,576,0,0,0,277,116,7,0,0,0,7,0,5,22,1
52,724,943,1547,843,1469,1579,1215,991,1923,1741,2669,3878,3530,2174,2538,2422,8605,5115,2095,4280
53,10,11,27,4,12,0,2,17,0,14,41,152,48,1,0,23,5,19,45,220
